3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram
что шиллеру надо	1	1
и совершенно прав	1	1
надо разработать психологию	1	1
то ни было	1	1
можно было бы	4	4
то что она	3	1
во всяком случае	2	3
том что у	2	2
в том чтобы	3	3
мы встречаемся с	1	1
никогда не сумеем	2	1
что если в	1	1
как и на	1	1
с однако легко	1	1
о том что	4	10
для того чтобы	13	19
в том как	1	1
друг с другом	1	4
на то что	6	6
имеем здесь дело	1	1
вместе с тем	1	2
этой точки зрения	2	1
что иное как	1	1
и может быть	1	4
а не только	1	1
когда он заканчивает	1	1
и сейчас же	1	3
когда говорит что	2	1
на самом деле	5	5
и гамлет не	1	1
и что он	1	2
то что это	1	1
не только не	1	2
в своих последних	1	1
убивает короля сразу	1	1
те же самые	2	2
что все это	2	1
басни крылова и	1	1
никак не может	1	2
и что эта	1	1
это то что	2	1
прямо сказать что	1	1
на то чтобы	1	2
с то же	1	1
видит в этом	1	1
с совершенной точностью	1	1
что и в	3	1
что трагедию надо	1	1
мы могли бы	1	1
совершенно обратный тому	1	1
разработать психологию медлительности	1	1
не потому задерживается	1	1
их в стих	1	1
в жизни и	2	1
все это было	1	2
к тому что	2	5
тот факт что	1	1
нас как бы	1	1
задерживается трагедия что	1	1
на то как	2	2
что в таком	1	1
другом и в	1	1
то есть как	2	1
одной и той	4	2
везде и всюду	1	1
совершенно понятно что	1	2
то обстоятельство что	1	1
и так как	1	1
так как она	1	3
и говорит что	1	2
отсюда понятно что	1	1
примере легче всего	1	1
и не может	2	1
искусстве на самом	1	1
и в частности	1	2
раз наоборот потому	1	1
не что иное	1	1
так же точно	7	5
валленштейн медлит что	1	1
то что мы	1	3
в том и	2	1
но он не	1	1
же как и	1	1
как нельзя лучше	1	1
том что она	3	1
может быть это	1	2
в том что	17	12
лежит в основе	1	1
в то время	3	2
и вот это	1	1
с которым приходится	1	1
в художественном произведении	5	1
к выводу что	1	1
то же время	2	1
к составляющим ее	1	1
того материала который	2	1
к помощи такого	2	1
к такому же	1	1
и т п	8	3
с таким образом	8	2
и это совершенно	1	1
иметь дело при	1	1
к составляющим его	1	1
и в гамлете	1	1
так же как	4	3
того чтобы сделать	1	1
психологию медлительности а	1	1
и до самого	1	1
в свою очередь	2	1
его словам как	1	1
бы то ни	2	1
с другой стороны	2	2
в конечном счете	3	1
как во сне	2	1
целый ряд других	1	1
совершенно очевидно что	1	1
что все эти	1	1
таким образом в	2	2
сам по себе	4	2
ни в каком	2	1
всего тем что	1	1
при этом как	2	1
слова в этом	1	1
составляющим его словам	1	1
в согласии с	2	1
с но если	1	1
привело к тому	1	1
словам как мелодия	1	1
и что следовательно	1	1
сказать то что	1	1
иметь дело с	3	1
бы не было	1	1
формы и содержания	1	1
том что он	3	3
же самое и	1	2
же точно как	3	1
до тех пор	1	2
в каком они	1	1
медлительности а как	1	1
он говорит что	1	2
в ней и	1	1
о ней не	1	1
он полагает что	1	2
связи и в	1	1
но и целый	1	1
можно сказать что	1	1
потому задерживается трагедия	1	1
с одной стороны	1	3
в противоречие с	1	1
до самого конца	1	2
не было бы	1	1
он все же	1	1
который видит в	1	1
шиллеру надо разработать	1	1
вместо того чтобы	1	2
мы увидим что	1	1
с конца с	1	1
в то же	2	1
трагедия что шиллеру	1	1
когда он говорит	1	1
к которой мы	1	1
приходится иметь дело	3	1
знаем что она	1	1
точно так же	3	3
согласны в том	1	1
наоборот потому валленштейн	1	1
всего того что	1	1
все так называемое	1	1
в искусстве на	1	1
в каком случае	1	1
мы знаем что	4	1
материала и формы	1	1
и целый ряд	1	1
что при помощи	1	1
порядке в каком	1	1
по себе и	1	2
не убивает короля	1	5
сказать что оно	1	1
целый ряд исследователей	1	1
с самого начала	1	5
как раз наоборот	1	1
и никогда не	2	1
и ничем не	1	1
в самом деле	11	7
потому что он	1	2
и той же	4	2
с тем что	3	1
до сих пор	5	3
ничего общего с	1	1
надо понимать как	1	1
в таком случае	1	1
задержание это скрыть	1	1
самое и в	1	1
и все время	1	1
с точки зрения	10	4
самым наглядным образом	1	1
с другом и	1	2
том что при	1	1
так как он	1	1
но совершенно ясно	2	1
который утверждал что	1	1
бы если бы	1	1
в этом смысле	1	1
в первый раз	2	3
что в художественном	1	1
а как раз	1	2
здесь дело с	1	1
и в самом	4	2
указывали на то	1	1
в сущности говоря	4	2
те или иные	1	1
он может быть	1	1
что он не	2	4
мы никогда не	1	3
мы попадаем в	1	1
с тем и	1	1
на этот вопрос	2	1
два совершенно различных	1	1
ясно что в	1	1
представляет из себя	1	1
при таком понимании	2	1
рассказывает о том	1	1
гамлет не убивает	1	4
во всем этом	1	1
за то что	1	3
медлит что трагедию	1	1
прежде всего тем	1	1
по себе так	1	1
в конце концов	3	3
то же самое	6	6
не поймем почему	1	1
все дело в	1	1
то время как	2	2
и что в	2	3
имеет в виду	1	1
одна и та	1	2
подобно тому как	2	1
как форма к	1	1
совершенно ясно что	6	3
потому что все	2	1
и таким образом	2	1
что все время	1	1
бросаются в глаза	1	1
с этой точки	1	1
и та же	1	2
не может быть	8	1
может быть определена	1	1
мы должны искать	1	1
это скрыть то	1	1
и для зрителя	1	1
что в этой	2	2
а задержание это	1	1
сами по себе	3	3
скрыть то же	1	1
о том как	1	2
тех пор пока	1	2
и т д	2	2
это на примере	1	1
несмотря на все	3	1
мы видим что	2	2
та же самая	1	1
говорит что в	1	1
быть это было	1	1
не то что	1	3
заключается в том	10	3
что сами по	1	1
и не до	1	1
же самое что	2	2
это совершенно верно	1	2
и все остальное	1	1
тем что в	1	1
а с другой	1	1
потому валленштейн медлит	1	1
значит ли это	1	1
