4gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_4gram
заключается в том что	4	13
не только не исключает	2	1
в том что в	1	1
с теоретической и практической	1	1
с этой точки зрения	4	4
в том числе и	1	2
слова к мысли и	1	1
собственном смысле этого слова	3	4
слово почти всегда готово	1	1
мы могли бы сказать	2	2
быть не чем иным	1	1
в то время как	2	1
сомнения в том что	1	1
не содержит в себе	1	1
состоит в том что	3	3
но вместе с тем	1	2
если мы обратимся к	1	4
прежде чем перейти к	2	1
не чем иным как	2	1
в самом деле если	1	1
и нежный процесс души	1	1
как мы уже говорили	1	2
только в том что	1	2
все больше и больше	2	1
в процессе детского развития	1	1
в собственном смысле этого	3	4
новых понятий есть такой	1	1
точно так же как	2	1
образование новых понятий есть	1	1
понятия не заканчивается а	1	1
не что иное как	1	1
совершенно понятно что в	1	1
в меньшей мере чем	1	1
в процессе образования понятий	1	1
заканчивается а только начинается	1	1
с одной стороны и	3	2
к мысли и образование	1	1
такой сложный таинственный и	1	1
в том что они	1	2
в том что это	1	1
почти всегда готово когда	2	1
одну и ту же	1	1
со всеми присущими ему	1	1
таинственный и нежный процесс	1	1
в этом случае в	2	1
одной и той же	2	4
одном и том же	1	1
мысли и образование новых	1	1
но для того чтобы	1	1
так же как и	1	4
слова не только не	1	1
есть такой сложный таинственный	1	1
может быть так же	1	1
одно и то же	3	6
слова и его значения	2	1
понятий есть такой сложный	1	1
отношение слова к мысли	1	1
что с точки зрения	1	1
готово когда готово понятие	1	1
виду одно и то	1	1
не в меньшей мере	1	1
природы слова и его	1	1
развития в школьном возрасте	1	1
внимание на то что	1	1
в такой же мере	3	1
тот момент когда ребенок	1	1
с точки зрения нашей	1	1
в том же самом	1	1
заключается только в том	1	1
и образование новых понятий	1	1
всегда готово когда готово	2	1
в виду одно и	1	1
возможным только тогда когда	1	1
и то же слово	1	3
не заканчивается а только	1	1
в том что он	2	1
одним и тем же	2	3
сложный таинственный и нежный	1	1
могли бы сказать что	2	2
может быть не чем	1	1
мы могли бы в	1	1
