2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram
когда они	1	1
в последнее	2	4
все же	2	4
его в	6	1
пиаже вне	1	1
речи и	5	15
том и	1	1
пиаже не	1	3
в собственном	1	3
подобно тому	1	2
для ясности	1	1
у пиаже	1	3
пиаже что	1	2
быть понято	1	1
цели и	1	1
эти факты	1	1
общего с	1	2
даже в	1	4
так точно	2	2
интерес к	2	1
мы имеем	4	3
и к	6	6
быть поставлены	2	1
другого мы	1	1
самое понятие	2	1
процесса образования	1	1
тенденцию к	1	1
равно что	1	1
независимо от	3	4
в наших	4	1
в данной	1	1
в развитии	24	26
он совершается	1	1
это общий	1	1
отчета в	1	2
что при	4	3
нашей гипотезы	1	1
располагаются в	1	1
ребенок делает	1	1
обнаруживает свою	4	1
в исследовании	4	4
так и	6	8
в другой	3	2
что факт	1	2
когда мы	6	1
еще и	1	1
до лет	2	2
за пределы	1	2
у них	2	2
один и	1	1
для логики	2	1
даже самый	1	1
исследования не	1	2
может усвоить	1	1
есть нечто	1	2
в известном	1	2
тем самым	8	3
то что	28	20
но как	3	1
от ребенка	2	1
рассматривается как	2	3
исследования в	3	1
в более	1	2
и от	2	1
из того	5	4
путь объяснения	2	1
имеет в	1	1
возникает вопрос	2	1
не удивительно	1	4
ребенок приходит	2	1
этой ступени	1	1
пиаже склонен	1	1
и понятиями	2	1
самой природой	1	1
об одном	2	1
для развития	5	1
самому своему	1	1
тот факт	1	1
в одном	2	2
изменяется в	1	1
и различные	1	2
в высшей	2	7
языка у	2	2
противоположным тому	2	1
той же	4	2
аутистического мышления	1	1
мышления и	7	16
формальной логики	2	1
иначе говоря	3	2
большую часть	1	1
к которому	2	6
от развития	2	1
значение этого	1	1
прийти к	1	2
связи с	3	9
он овладел	2	1
общее понятие	1	1
ни в	1	2
силу этого	1	1
же точно	3	1
между собой	9	1
и той	3	2
основе ее	1	1
что в	17	14
в руках	1	1
нас в	2	2
является необходимым	1	2
для объяснения	2	1
друг от	1	2
в начале	1	4
что их	3	1
за ним	2	1
пиаже в	1	8
в своей	2	4
как раз	6	4
форм и	2	1
но если	4	2
как возникает	1	3
сказал бы	1	1
друг с	5	2
на первый	1	1
