2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram
когда они	1	1
и тех	1	1
все же	3	4
его в	2	1
речи и	6	15
вытекает из	3	3
об отношении	2	3
самой природе	2	1
являются с	1	1
связь с	1	2
по нашему	1	1
между которыми	1	2
что наличие	1	2
пиаже не	1	3
в собственном	1	3
подобно тому	4	2
и независимо	1	1
быть понято	1	1
известном смысле	7	1
общего с	2	2
есть функция	1	2
речи по	1	1
так точно	4	2
на основании	2	1
он прежде	1	2
мы имеем	1	3
и к	2	6
с языком	1	1
речи для	1	2
то почему	2	1
процесса образования	2	1
в наших	1	1
равно что	1	1
независимо от	1	4
в развитии	28	26
а есть	1	1
которое он	1	1
все обучение	1	1
это общий	1	1
отчета в	2	2
что при	1	3
с необходимостью	5	1
и умственного	2	1
нашей гипотезы	5	1
его психологическую	1	1
которым мы	1	5
исследования пиаже	2	3
то мы	1	1
так и	7	8
это очевидно	1	1
не является	5	9
еще и	3	1
речи есть	2	1
до лет	3	2
за пределы	4	2
границу отделяющую	1	1
один и	3	1
в известном	8	2
есть нечто	1	2
тем самым	8	3
пиаже показал	1	1
на общее	1	1
то что	26	20
но как	3	1
он действует	1	1
от ребенка	3	1
сейчас в	1	2
в более	2	2
и от	2	1
что исследование	1	1
из того	11	4
мы вынуждены	2	1
ребенок приходит	1	1
бы то	1	1
исключительно в	1	1
для развития	6	1
самой природой	2	1
это представление	1	3
же ребенок	1	1
появляется у	1	1
в одном	3	2
тому же	2	1
в воображении	1	1
или на	1	1
в высшей	2	7
чем для	1	2
к речи	1	2
несмотря на	1	4
той же	4	2
же есть	1	1
мышления и	4	16
если бы	8	8
иначе говоря	1	2
от развития	5	1
к которому	4	6
и общей	1	1
язык взрослых	1	2
в обоих	1	1
заключенное в	1	1
связи с	3	9
общее понятие	1	1
ни в	1	2
силу этого	1	1
детского разговора	1	1
же точно	1	1
и которые	1	1
существующую между	1	1
и той	1	2
между собой	13	1
что в	16	14
речи к	2	7
нигде не	1	1
нельзя допустить	1	1
для объяснения	4	1
однако в	1	1
он является	1	2
допустить что	3	1
в начале	1	4
друг от	4	2
за ним	1	1
пиаже в	3	8
в своей	2	4
языка не	2	1
как раз	1	4
форм и	2	1
уже и	1	2
но если	6	2
которые являются	2	1
друг с	7	2
на первый	1	1
к числу	1	1
в основе	8	3
означает не	1	1
что можно	1	3
с его	1	4
детской психологии	1	5
этих двух	3	2
как только	1	2
речь есть	3	1
мы пытались	2	1
процессе развития	4	7
что она	2	3
все более	1	1
как правило	1	1
в той	6	1
не влияет	2	1
из ничего	1	1
что если	4	2
развития речи	1	8
зависимости от	2	6
сказать так	1	1
и что	12	8
показал что	3	5
и богатый	1	1
есть совершенно	2	1
потребности в	2	1
выяснить как	1	1
не происходит	1	1
такое объяснение	1	3
в применении	1	2
и все	1	3
содержания и	1	1
мы говорим	2	1
проб и	1	5
или менее	1	2
никто не	2	1
на этот	4	6
ребенок не	6	2
на протяжении	2	2
и заключается	1	1
сам пиаже	3	6
которая и	1	1
помощью которого	2	2
что на	1	2
и о	1	1
видим таким	1	1
его книги	1	1
раз навсегда	1	1
он начинает	1	1
после того	1	1
длится до	1	1
ставит вопрос	1	1
и притом	1	1
из которых	3	3
как можно	1	1
мысли как	2	1
что эта	3	6
в них	2	4
это положение	1	1
функций и	5	1
только не	3	1
или нет	1	1
первом месте	1	1
мы приходим	1	1
место в	1	1
образом как	1	2
но тем	1	1
иметь в	1	1
на деле	1	5
всеми своими	1	1
не есть	4	1
что все	6	4
объяснения в	1	1
между этими	1	1
не то	4	2
действия и	1	3
попытались сделать	2	1
те же	2	3
не может	18	9
могут быть	4	2
следующим образом	1	2
которого мы	1	1
язык и	2	1
речи у	1	6
там где	1	6
позволяет нам	1	1
к внутренней	3	5
мы видели	3	6
предметов в	1	1
ко всем	1	1
что пиаже	1	7
сказать что	13	6
словесной плоскости	1	1
того или	1	1
не могло	1	2
вместе с	4	6
его мысли	3	4
виде в	1	1
он должен	5	2
сознания и	2	1
дети не	1	1
но развитие	1	1
должна оказаться	1	1
образующих ее	1	1
зрения была	1	1
мы знаем	3	7
в том	18	33
этими процессами	1	1
относятся к	1	2
о языке	1	2
является то	2	2
в речевом	2	1
в его	11	2
все равно	2	2
верно что	2	1
с развитием	2	4
и т.п	1	7
процессов в	2	1
зрения которые	1	1
является общим	1	1
на всем	2	2
как они	3	1
речевом развитии	2	1
от внешней	1	5
себе отчета	1	2
не существует	1	3
и может	3	1
когда индивид	1	1
приводит к	7	5
от того	3	2
о том	8	9
речи в	6	6
между тем	3	1
чем он	2	1
утверждая что	1	1
моментов в	1	2
речи как	4	3
он принимает	1	1
ими в	1	1
на вопрос	5	4
то обстоятельство	2	1
в виду	2	6
на то	1	6
который мы	2	1
падают на	1	1
другом месте	4	2
самую существенную	1	1
да и	1	1
в самой	1	3
с помощью	10	5
которых он	2	3
ребенка к	4	1
понятие о	1	2
что между	4	2
в сферу	1	1
должны быть	2	1
при отсутствии	1	1
для этой	1	1
как мы	10	6
речи является	2	3
это верно	1	1
а потому	3	1
двух лет	1	1
в детской	1	1
к которым	2	4
по мере	2	1
моменты которые	1	2
известно что	1	1
может быть	9	9
основной вопрос	1	1
находим в	1	1
и его	3	4
содержатся в	1	1
что значит	3	1
не можем	1	3
развития в	6	6
мысли но	3	1
ребенка который	1	2
вдаваться в	1	1
на ту	1	1
в сфере	5	1
с таким	3	6
и обратно	1	2
уже говорили	1	3
как его	1	1
речи все	1	3
в отношении	9	6
ибо она	1	1
эту мысль	2	1
первостепенное значение	1	1
были бы	1	2
внутренняя речь	7	3
развития мы	2	1
вовсе не	2	6
она не	1	1
вопросу о	1	1
для всей	1	2
себе мы	1	1
есть не	2	1
процессы развития	1	1
развития одной	1	1
ребенка не	3	5
к ним	2	1
же самого	3	1
это как	1	1
ответить на	4	1
мышления является	1	2
в виде	1	1
роль подражания	1	1
с тем	3	1
на развитие	2	1
это есть	4	2
ребенка эта	1	1
я не	2	1
который в	1	4
переход к	3	1
момента в	1	1
речи что	2	1
обратиться к	2	1
за собой	1	2
эта теория	4	2
из этого	2	1
только один	2	1
том смысле	1	1
нас интересует	2	2
детской речи	2	19
той или	1	2
равным образом	1	1
бы в	4	1
вслед за	2	1
своей мысли	2	1
отличие от	2	3
на которых	1	2
теории которая	3	2
сравнению с	5	5
она в	1	1
на пороге	4	1
тот же	5	7
эту общую	1	1
для обозначения	1	2
этой теории	5	3
и ко	1	1
на которые	3	1
и других	1	2
одном и	1	1
которых в	1	1
чтобы увидеть	1	1
со стороны	1	3
свою собственную	1	2
как он	6	6
же мы	2	1
уже сказано	1	3
не касаясь	2	1
уже на	2	1
мы хотели	1	2
должны будем	1	2
наталкивается на	1	2
развития из	2	1
сказать по	1	1
ее главнейших	1	1
нас к	3	2
проблемы в	1	1
перед ним	1	1
в частности	3	6
связаны между	3	1
учения о	2	2
взаимная зависимость	1	1
и внутри	1	1
сейчас нас	1	1
ребенка на	4	2
говорит штерн	1	1
с которой	1	2
как процесс	3	2
в следующем	1	3
показывает что	5	1
ответ на	3	1
к логике	2	2
и даже	2	5
может не	1	1
вопроса о	3	1
следует сказать	1	1
пиаже с	1	1
нет у	1	1
являются в	1	1
того чтобы	17	12
во внимание	2	1
то это	2	1
в своих	2	1
только в	10	4
в смысле	3	1
речи мы	3	4
мышление ребенка	3	7
в этой	6	6
так сказать	1	1
об умственном	1	1
другой стороны	2	1
развитие как	4	1
что является	2	1
роли в	1	2
отношению к	12	5
само по	2	2
после этого	1	2
если верно	2	1
что уже	1	1
их развития	5	1
к выводу	1	6
внешняя речь	1	1
