3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_3gram
ту же роль	1	1
и не потому	1	1
мы имеем и	3	1
не только в	4	2
это тридесятое царство	1	1
хлынула на три	1	1
у народов не	1	1
распространенная связь кристаллов	1	1
лодка поднялась по	1	1
между мифом и	1	1
в этом царстве	2	1
в египте в	2	2
во всяком случае	2	1
или далеко за	1	1
то это означает	1	1
более позднюю форму	1	1
для того чтобы	1	3
по всей австралии	1	1
быть рассмотрен как	1	1
о том что	4	4
что наряду с	1	1
друг с другом	1	2
же роль что	1	1
на то что	1	2
мы видим в	1	1
и в вавилоне	1	1
вместе с тем	3	6
змея и его	2	1
в этом случае	6	7
не в стиле	1	1
словно стрела из	1	1
с представлением о	2	2
там где еще	1	1
видим в сказке	1	1
в том числе	1	1
говорит так как	1	1
этот обряд и	1	1
как и в	2	2
пущенная привезла их	1	1
и вместе с	1	2
здесь мы имеем	4	3
имеем и в	3	1
уже видели как	1	1
никогда не описывается	1	1
и тем не	1	1
происходит потому что	1	1
и пришли в	1	1
при встрече с	1	1
что при обряде	1	1
интересен тем что	1	1
стороны и как	1	1
в сказке в	1	3
представление о смерти	1	1
том свете не	1	1
широко распространенная связь	1	1
что и в	2	2
мы видели что	3	2
наряду с этим	1	2
е у народов	1	1
только после этого	1	1
этой точки зрения	1	1
на тот свет	1	1
проглатывание и извергание	1	1
от земли до	1	1
в более глубокую	1	1
эта деталь также	1	1
в зависимости от	1	1
мы стоим перед	1	1
мигом словно стрела	1	1
речь будет ниже	2	1
в том смысле	1	1
привезла их к	1	1
в образе животного	3	1
что египтяне представляли	1	1
в стиле сказки	1	1
вдруг лодка поднялась	1	1
не потому ли	1	2
с чудовищем и	2	1
убивается потому что	1	1
должна быть объяснена	1	1
не представляет собой	1	1
переходом на земледелие	1	1
но и в	2	2
что он погибнет	1	1
оказывается что змей	1	1
