2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
знаком то	1	1
все же	1	8
его в	6	3
и свои	1	2
необходимо чтобы	3	1
огромное значение	1	1
и всякого	1	1
моменты этого	1	1
мы указали	1	1
символ и	8	1
подобно тому	2	2
и знак	1	4
обозначаемого но	2	1
есть функция	2	1
это вовсе	2	2
до последнего	1	1
кроме того	2	5
некоторого рода	5	7
чтобы ее	1	2
и этих	1	1
на язык	1	1
нашего исследования	2	3
и т	11	6
не является	5	7
для такой	1	1
в ту	1	1
и акт	2	1
в известном	1	1
то что	42	38
с понятием	1	2
двух предметов	1	1
нет никакой	2	2
или на	3	1
несмотря на	3	3
мышления и	4	2
общей форме	1	1
связи с	5	5
не имеющий	3	1
же деле	1	1
и которые	5	2
и той	1	4
то время	1	1
только результат	1	1
не всякий	4	1
до наших	1	2
собственно говоря	2	2
он является	1	2
сейчас назвали	1	1
уже и	3	3
которые являются	2	1
на первый	2	4
этом случае	2	7
мы скажем	1	3
мы говорим	3	4
из которых	1	2
общие понятия	1	1
не есть	29	33
оказался бы	1	1
или иное	1	2
обозначений существует	1	1
в значении	1	1
сознания и	2	2
мало ли	1	1
и значит	1	1
в его	6	7
раз уж	1	1
все равно	5	3
нечто единое	1	1
символа с	2	1
мы бы	1	3
только знак	2	1
известной мере	1	1
мы конечно	1	2
и языковедческих	1	1
знак есть	2	11
логика и	1	1
во всей	3	1
да и	3	10
уже о	1	4
имеется в	1	3
есть только	8	8
понимать и	1	1
для этой	1	1
это ясно	1	1
особого рода	2	1
не можем	2	4
или его	2	2
мы получаем	3	1
вовсе не	35	37
который является	2	1
кроме их	1	2
много охотников	2	1
здесь нет	2	1
наше внимание	1	1
ни было	1	1
всего как	1	1
в отдельности	4	1
образом что	1	1
знака мы	2	2
ни о	5	4
и нет	1	1
сами не	1	1
других знаков	1	1
самое же	1	2
есть знак	8	10
невозможно добиться	1	1
связаны между	1	2
