4gram	Vinokur_KulturaYazyka_partition_part1_wordlist_4gram	Vinokur_KulturaYazyka_partition_part3_wordlist_4gram
заключается в том что	1	2
в том смысле что	1	1
одного и того же	2	2
в прямой связи с	1	1
с этой точки зрения	1	1
и т п так	1	2
в тех случаях когда	1	2
т п и т	2	1
и в то же	1	1
до сих пор сказанного	1	1
и т д и	1	2
я имею в виду	2	1
в той мере в	1	5
и т п т	1	1
ради которого собственно и	1	1
в том что не	2	1
и т п все	2	1
п и т п	2	1
в том что на	1	1
в самом деле в	1	1
д и т д	1	2
лишь после того как	1	1
ничего нельзя возразить против	1	1
только в том случае	1	1
ни в какой мере	2	1
понятно при этом что	1	1
вовсе не в том	1	1
не в том что	2	1
в том чтобы выяснить	1	1
на эту сторону дела	1	1
и т п для	1	1
в собственном смысле слова	1	1
только для того чтобы	1	1
и пр и пр	1	1
то легко убедиться что	1	1
смысл только в том	1	1
т е как бы	1	2
т д и т	1	2
в то же время	1	2
и в самом деле	3	2
и т п и	4	1
в том-то и дело	1	1
а с другой стороны	1	2
том-то и дело что	1	1
общем смысле этого слова	1	1
самом деле в общем	1	1
в общем смысле этого	1	1
той или иной литературной	1	1
я хочу сказать что	1	1
можно было бы сказать	3	1
и вместе с тем	1	1
т п т е	1	1
в силу того что	1	2
заинтересован в том чтобы	1	1
но дело не в	1	1
можно говорить о языке	1	1
уже само по себе	1	1
только тогда когда он	1	1
той мере в какой	1	5
