2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram
и сами	1	1
когда они	2	1
широко распространен	1	1
им не	1	1
все же	2	5
его в	8	1
праздник в	2	2
приводят нас	1	1
вытекает из	1	1
и свои	1	1
так называемая	1	1
насмешливых песен	1	1
в семик	2	2
к тем	1	3
масленицу сжигают	1	1
смоленской губернии	4	2
из основных	2	1
зимний солнцеворот	1	1
так например	1	6
этих случаях	4	1
обрядовых празднеств	2	2
и обрядам	1	1
макаренко сообщает	1	2
подобно тому	3	1
довольно много	1	2
же происходит	1	1
на урожай	2	2
по свидетельству	1	1
в советской	2	1
на основании	1	1
ко всему	1	1
внезапный переход	1	1
животных и	1	4
то кроме	1	1
мы имеем	6	4
гродненской губернии	1	1
виду что	1	1
происходило в	1	1
независимо от	1	2
на масленицу	8	14
в максимов	8	3
в развитии	1	1
тем это	2	1
чучело масленицы	4	1
кроме того	2	1
советской науке	1	1
плачем и	1	1
на ивана	6	3
нет но	1	1
поступали с	1	1
мы здесь	2	1
время масленицы	1	1
губернии здесь	1	1
сообщает о	1	4
своих предшественников	1	1
из владимирской	4	1
так и	1	7
в иных	1	1
и т	5	10
не является	1	1
крестьяне не	1	1
так называемый	1	2
влияние на	2	1
совсем точно	1	1
русские обряды	1	1
думает что	1	1
связывали с	1	1
он же	1	3
губернии накануне	1	1
означает что	1	2
этой неделе	1	2
на весь	1	2
то что	5	6
аналогичных обрядов	1	1
с места	1	1
на землю	3	1
многих отношениях	1	1
рассматривается как	2	1
д к	3	8
чтобы сделать	1	1
пытается объяснить	1	1
с в	8	4
п калинский	4	5
на смерть	1	1
чтобы у	1	1
отметим пока	1	1
в г	2	4
с плачем	1	1
плача к	1	2
в особенности	1	2
не единственный	1	1
этот праздник	3	1
в говорится	1	1
скрупулезного изучения	1	1
в эти	1	4
дерево или	3	1
и песни	1	2
обрядовых действий	1	2
в русских	4	1
в одном	1	3
в свою	1	3
и обрядов	2	6
иное как	2	2
некоторых местах	4	1
тому же	1	1
или на	8	3
кто же	1	1
шейн сообщает	8	1
несмотря на	1	3
сибири что	1	1
если бы	1	1
та же	2	2
можно больше	2	1
о божествах	1	1
связи с	2	4
же деле	2	1
умерших родственников	1	1
то время	2	1
между собой	2	2
что в	22	19
в руках	2	1
совершенно очевидно	2	1
калинский пишет	2	2
зимнего периода	1	1
при всех	1	1
огромных костров	2	1
из смоленской	1	2
в сказке	1	1
как средство	2	1
песен и	1	3
в фольклоре	4	2
нас в	1	1
кн vii	12	8
можно встретить	2	1
сообщает и	2	1
ниже в	2	1
по всей	3	1
но если	3	1
величальные песни	1	2
древнее архаическое	1	1
к числу	2	1
вокруг этого	2	2
в основе	1	1
зимой и	1	1
обеспечить урожай	1	1
как только	1	1
этом случае	6	5
что она	3	2
как правило	1	3
что если	1	1
разгула и	1	1
о чем	4	3
домах на	1	1
и что	5	4
б зерновой	3	1
солярной теории	2	1
которые как	1	1
не противоречит	1	1
со скотом	1	1
многие другие	2	2
афанасьев и	1	3
что души	1	1
в период	1	1
и все	4	1
i ч	9	3
масленицы в	1	1
только молодежь	1	1
по представлениям	2	1
делали с	1	1
сообщает что	8	4
в ночь	2	1
всем этим	1	1
что на	2	4
продуцирующий обряд	1	1
и о	3	1
в аничков	5	5
хороший урожай	1	1
так п	1	1
народа в	1	1
сомнений в	1	2
некоторые из	1	1
также на	1	3
после того	2	2
подробно описывает	1	1
русские праздники	1	3
из которых	2	1
как можно	2	2
в них	4	6
афанасьев в	1	1
в окошко	1	1
могилах в	1	1
место в	1	1
при изучении	1	5
обрядах и	1	1
иметь в	1	1
этому поводу	2	2
что все	1	1
и так	1	1
древнем риме	1	2
обряд который	1	1
других местах	8	3
с обрядом	1	1
пели песни	2	2
не может	5	4
перепрыгиванием через	1	1
могут быть	2	2
это имеет	2	2
следующим образом	5	4
и за	1	1
там где	2	2
связано с	2	1
аграрных обрядах	1	1
в праздник	1	3
масленицу и	3	1
на семик	3	3
мы видели	7	1
под образа	1	1
отнюдь не	1	2
сказать что	1	1
проводов масленицы	1	1
можно будет	2	1
за святками	1	1
вместе с	6	10
он должен	1	1
записан только	1	1
сахаров сообщает	4	1
а к	2	1
делалось для	2	1
в том	22	17
из своей	1	1
здесь говорится	1	1
год и	1	5
приписывалась особая	2	1
относятся к	1	2
к церковным	2	1
изображается как	1	4
новый год	3	25
в его	1	2
этот день	10	10
это время	2	2
на две	2	1
речь будет	1	1
и другим	1	2
что русские	1	2
из всего	1	1
м снегирев	7	9
на стол	1	4
приводит к	1	3
говорится о	1	2
не раскрывает	1	1
о том	9	8
между тем	3	7
ii на	1	1
а макаренко	2	6
а н	3	18
оставляет сомнений	1	1
этих обрядов	4	1
в разные	2	2
возможно что	1	1
поле и	4	2
во двор	1	1
в виду	2	1
на то	1	1
сахаров ii	12	9
не отличаются	1	1
во всей	1	1
эти дни	1	4
увидим не	1	1
еще в	2	4
что между	1	1
время святок	1	4
ряда других	1	1
детей и	1	2
на санях	3	1
в некоторых	9	4
быть не	1	1
шейн по	1	1
не все	4	1
главным образом	3	2
как мы	3	10
в духе	1	1
также в	2	3
относится к	1	1
известно что	1	1
может быть	13	8
ii кн	12	8
и его	1	1
случаях когда	1	1
не можем	2	3
м снегирева	1	2
а п	1	2
с таким	1	1
не связаны	1	1
только тогда	3	1
которых имеются	1	1
обычай этот	3	1
из мертвых	2	1
и состоит	1	1
многих случаях	2	2
весенних обрядов	2	1
шейн i	9	6
она не	3	2
празднование рождения	1	1
себя внимание	1	1
этот не	1	1
что означает	1	1
к ним	1	3
день ивана	1	1
уж ты	1	1
в тех	1	4
так на	1	2
и иногда	2	1
по улицам	1	4
не на	1	2
в хороводе	1	1
с тем	6	8
из собранных	1	1
это показывает	3	2
бабы и	2	1
настоящее время	1	3
который в	1	1
iii и	1	1
эта теория	4	1
время они	1	1
по всему	1	1
пишет в	3	3
что обряд	1	2
во многих	9	5
направление в	1	1
из других	1	1
каждый из	2	1
средоточие растительной	1	1
увидим что	1	1
так называемое	1	1
к живым	1	1
имел заклинательное	1	1
никаких признаков	1	2
для посева	1	1
отличие от	3	1
калинский снегирев	1	3
на которых	1	1
хорошего урожая	1	1
его к	1	2
она в	1	3
тот же	1	1
как праздники	1	2
а а	8	25
и действительно	1	1
для них	2	3
это имело	1	1
и других	3	7
которые исполнялись	1	1
природы и	2	2
как он	1	2
поводу пишет	1	2
в советское	3	2
одно из	2	5
должны будем	1	1
в таком	4	1
в древнем	1	3
передний угол	3	1
с пением	1	1
на новый	3	2
нас к	3	2
что здесь	3	1
иные формы	1	1
дома в	1	1
в первый	1	4
большое количество	1	1
такие обряды	1	1
рассматриваться как	2	1
ни одна	1	1
показывает что	8	5
на этой	1	2
не будем	3	3
ответ на	1	1
не во	1	1
к слову	1	2
скоту зернова	1	1
ее для	1	1
на первую	1	1
к хозяину	1	1
яичницы и	1	1
советское время	3	2
с песнями	11	1
на березе	2	1
и при	2	1
или с	3	1
в своих	2	2
у белорусов	1	7
только в	1	4
с ними	1	5
весенний праздник	1	1
в этой	3	1
изучить весь	1	1
этого праздника	2	3
сразу же	2	1
т е	24	17
после этого	2	4
максимов описывает	2	1
ассимилировались с	1	1
он видел	1	1
к выводу	1	2
то и	4	1
период зимнего	1	1
всяком случае	1	1
идут в	2	1
одиночку или	1	1
аграрных праздников	2	1
к этому	5	4
место при	1	1
и назначение	1	1
почему именно	1	1
в наступающем	1	2
к заключению	1	1
носили с	1	2
как в	7	5
перед петровым	1	1
и жены	1	1
во всяком	1	1
к весне	2	2
и не	1	6
что у	1	2
бросали в	7	1
мы уже	1	1
но вместе	2	1
их смешение	1	1
от этого	1	1
и объяснить	1	1
русский обряд	1	1
на украине	2	3
например на	1	1
таким образом	6	6
вера в	1	1
по своему	1	1
и вообще	1	1
ч с	4	1
однако как	1	2
что чем	1	1
показывают что	1	2
исконного смысла	1	1
в домах	1	3
представления в	1	1
связанные с	2	3
шейн из	1	1
и чичеров	2	13
а терещенко	4	3
тогда когда	4	1
тем что	3	4
у русских	4	8
это подтверждается	1	1
уже в	1	1
можно установить	1	1
целый год	1	1
н ф	2	1
губернии и	2	1
можно рассматривать	1	1
другие праздники	2	5
березками и	1	1
к новой	1	1
не только	10	22
на другой	2	1
с вечера	2	1
в основном	1	3
его жизнь	1	1
там же	12	5
все эти	3	2
уже указывалось	2	3
потом на	1	1
в данном	6	1
если предположить	1	1
как уже	2	4
же сведения	2	1
в пределах	1	1
яйцами и	1	1
в праздничные	1	1
петра i	1	4
и потому	1	2
ивана купалы	8	1
есть и	1	1
воротами во	1	1
случае не	1	1
в их	2	4
описывает его	1	1
пробуждения природы	1	1
убогих домах	1	1
калинский на	1	2
иногда и	2	5
т д	5	9
три дня	1	1
чем решить	1	1
не будут	1	1
представления о	2	1
из самых	1	1
на могилах	2	8
того в	2	1
из своих	1	1
весь год	1	2
с той	1	1
дело так	1	1
и другими	1	2
с этого	1	6
интересами и	1	1
как на	1	1
ефименко сообщает	1	1
например по	1	1
к праздникам	2	1
праздновалась в	1	1
можно показать	1	1
на основе	1	1
как у	1	1
домой и	1	2
церковь приурочила	1	1
обряды и	1	2
таким же	1	3
не оставляет	1	1
[т е	1	2
семик и	2	1
в поле	19	3
она как	2	1
плодородие земли	2	1
перед нами	1	1
в древней	1	2
чтобы решить	2	1
раньше чем	1	1
только как	2	1
русальная неделя	2	1
первый день	1	5
было обеспечить	2	1
зернова в	2	1
имеется довольно	1	1
исконный смысл	3	3
из них	4	8
последний день	1	2
при рассмотрении	2	1
не более	1	1
и для	2	2
и многие	2	2
этому времени	1	1
тем временем	1	1
для русских	1	1
до конца	3	2
по домам	3	3
христианского учения	1	1
в саратовской	1	3
празднеств в	1	1
шейн №	2	10
русских у	1	1
земли и	5	1
или души	1	1
иван купало	1	1
после чего	2	2
нескольку человек	1	1
не дают	1	1
не менее	2	3
заключить что	1	1
еще не	6	4
делается и	1	1
в году	3	2
с ним	1	2
не столько	2	1
в изучении	1	2
или вообще	4	1
церковью в	1	3
на масленице	1	2
так в	2	4
в римском	1	1
имели целью	1	1
сообщает в	1	1
представляют собой	7	7
этого обряда	2	3
следовательно и	1	1
на все	1	2
же а	2	2
а в	9	9
ивана купалу	6	4
церкви и	2	1
же можно	1	1
эта же	1	1
и более	1	2
представляет собой	2	4
только с	1	1
и парни	2	1
костров и	3	1
носит название	1	1
больших праздников	1	1
шейном в	1	2
на них	4	1
апреля в	1	1
или когда	1	1
в воскресенье	2	1
дело в	1	1
такую же	1	1
лентами и	2	1
в своем	1	3
поют и	2	1
на которой	1	1
но она	2	2
и на	6	10
делали из	2	1
в различных	1	2
которые в	1	1
считает что	1	1
в лес	3	1
кладут на	2	2
свет на	1	1
с козой	1	4
ф карский	1	7
ч №	2	1
от него	1	1
в дом	8	2
в приведенном	1	1
е на	1	1
чтобы они	2	2
на святках	5	11
этот обряд	6	3
и предшествующие	1	1
в одно	1	1
ф сумцов	2	1
в двух	1	1
расставлялись по	1	1
по его	1	1
п в	12	13
и п	13	16
не имели	2	1
в честь	3	3
существенного значения	1	2
своих целях	1	1
обычаев и	2	2
как и	11	10
тому как	3	1
должен был	3	1
совпадают с	1	3
потому что	5	10
и всех	1	1
воздействовать на	2	2
другие народы	1	1
снегирев сообщает	4	3
что для	3	1
да по	1	1
вывод что	2	3
многих местах	1	2
из праздников	1	1
этом обряде	1	1
по этому	2	3
мыслительная основа	1	2
тогда как	2	2
ходят по	1	3
будет ниже	1	1
троицы на	1	1
могут рассматриваться	1	1
в то	2	1
других праздников	1	2
и другой	3	3
цель как	1	1
становится ясным	1	1
чтобы вызвать	2	1
м е	1	4
этом отношении	1	1
всех этих	1	2
что есть	1	1
объясняет почему	1	1
крошили на	1	1
к их	1	1
приведенных материалов	2	1
обрядовой поэзии	1	1
и в	29	36
связаны с	3	3
так же	4	3
других губерниях	1	1
время которого	1	1
чтобы она	1	1
под названием	2	1
так что	4	2
костры и	1	1
не просто	1	2
так как	13	15
обряд и	2	1
в шейн	10	7
более поздний	1	1
заклинательное значение	1	1
значение в	1	1
но не	5	2
их так	1	1
на природу	2	1
с религией	2	2
а б	8	1
необходимо указать	1	1
такой же	1	2
был записан	1	1
петров день	2	1
и местами	1	1
в вологодской	1	1
становятся ясными	1	1
в земле	4	2
в калужской	3	1
для нас	6	6
как будто	1	5
на лето	2	1
макаренко о	1	1
есть в	2	1
собой как	1	1
на этом	3	3
мы должны	1	2
и во	1	1
бросается в	2	1
в которых	4	5
по существу	4	4
чаще всего	1	3
как знак	1	1
обряды с	3	1
и до	1	2
будут рассмотрены	3	1
вологодской губернии	2	1
не совсем	2	4
в пищу	2	3
верба и	1	1
как это	4	8
это без	1	1
зятьев о	1	1
что этот	1	4
с этим	2	2
от плача	1	3
до троицы	2	1
на место	1	1
iv в	1	1
но иногда	1	1
на жито	1	1
ветки или	1	1
эти отличия	1	1
и с	10	2
предположить что	4	2
но это	1	4
других вариантах	1	1
исходя из	1	1
xvi-xvii вв	1	1
шествия с	2	1
егорьев день	1	3
в шейна	1	2
ср сахаров	1	2
под влиянием	1	1
вс миллер	2	3
когда он	1	2
или другие	1	2
полагает что	2	6
говорится что	4	3
другие сроки	3	6
с земледельческими	1	1
тех случаях	1	1
за руки	7	1
скота или	1	1
не составляет	1	1
чтобы рожь	1	1
же в	6	1
е в	10	8
это сходство	1	2
шествие с	1	3
местах где	1	2
для этого	5	2
целью воздействовать	1	1
обряды на	1	1
этой же	1	1
в заключение	1	1
это не	5	10
№ эта	1	1
к таким	2	3
нет в	1	1
п сахаров	7	5
верят что	1	2
некоторое время	1	1
снегирев ii	2	8
и др	1	4
и как	2	2
дело не	2	1
на троицу	2	7
далеко не	4	3
уже знаем	1	1
того как	2	5
было бы	3	1
с ефименко	1	3
а иногда	2	4
сил земли	1	1
как бы	18	5
сходство с	1	2
в москве	1	3
обрядов к	1	1
с яйцами	1	1
вносили в	4	1
очевидно что	2	1
в глаза	2	1
и троицу	1	1
изучения материалов	1	1
сведения имеются	1	1
песне поется	2	1
а культ	1	1
возжиганием огромных	1	1
полагая что	1	3
однако такое	1	1
их не	1	2
русских народных	1	1
должно было	3	2
выводу что	1	2
что от	3	2
а с	2	4
имело место	1	2
рожь густа	2	1
что именно	1	2
тем и	2	2
веселье и	1	1
святок на	1	1
и ставили	1	2
видно что	2	6
к зеленин	3	5
у нас	4	8
но есть	1	2
но и	8	16
сообщает из	15	3
что этим	1	1
купалы с	2	1
а затем	4	1
губерниях в	1	1
vii в	1	2
и воскресения	2	1
и никифоров	1	2
в песнях	3	2
из теста	1	6
их на	1	4
песен в	1	1
в противном	1	1
губернии что	5	1
год в	1	2
будто бы	5	6
в большинстве	1	2
том чтобы	2	1
основа и	1	1
это приводит	1	1
мы не	6	6
своему происхождению	1	1
чем в	2	2
как символ	1	2
в виде	4	6
разницей что	1	1
последнего снопа	1	1
примерно в	1	1
имеет место	1	2
воскресение божества	2	1
летнего солнцеворота	1	2
только для	1	2
снегирев iii	8	6
этом не	1	1
здесь мы	2	1
праздники но	1	1
воскресения из	1	1
после обеда	4	1
на самом	2	2
мы рассмотрим	4	1
что масленица	1	1
и наконец	1	1
не был	2	1
и позднейшей	1	1
по нескольку	2	2
не к	2	1
саратовской губернии	3	4
можно объяснить	1	2
стоит в	1	2
но эта	1	1
место с	1	1
они становятся	1	1
видел в	1	1
землю и	1	1
русский материал	1	1
что эти	1	1
и пр	2	2
в субботу	1	4
а не	4	2
не что	2	2
бога а	1	1
переход от	2	2
говорить о	1	1
этот вопрос	2	2
все что	1	1
взявшись за	3	1
это раскроется	1	1
магическое значение	1	1
но можно	2	1
в этом	11	12
полу и	1	1
жизнь но	1	1
на русальную	1	1
быть назван	1	1
об этом	2	9
была обеспечить	3	1
что также	1	1
быть и	1	2
наступающем году	1	2
характер чем	1	1
нет никаких	2	1
в образе	2	2
по другим	1	1
других случаях	1	3
с празднованием	1	1
и ее	2	1
урожай на	1	1
и м	8	14
эта песня	1	2
снегирев iv	1	1
особое значение	1	1
торжественно вносилось	1	1
г в	1	4
праздник масленица	1	1
и под	3	1
которая должна	1	1
семицкую неделю	1	1
до того	1	2
встречаются и	1	1
одна из	11	4
в западной	1	2
употребление в	1	2
же как	4	1
собой и	1	1
обрядов и	1	2
из этих	2	4
очень много	1	1
других праздниках	1	1
приходился на	1	1
на некоторые	1	1
в середине	1	3
этого слова	1	3
все это	10	6
был обычай	1	1
состоит в	15	8
только одно	1	1
как например	3	3
в качестве	3	3
христианской религии	1	1
такого мнения	1	1
их в	4	3
находится в	1	2
теста в	1	2
вносилось в	1	1
вербное воскресенье	1	1
где говорится	1	1
в целях	2	3
что касается	1	1
е ф	1	7
п с	1	4
если в	1	3
состояла в	2	1
самом же	2	1
хотя и	1	2
не так	1	1
пинежском уезде	1	3
обрядового значения	1	1
и должна	1	1
в егорьев	1	2
только на	1	3
например в	1	2
№ в	2	1
зимнего солнцеворота	1	4
это делалось	4	6
содержится в	1	1
на радуницу	1	2
не соответствует	1	1
также не	1	1
н афанасьев	3	4
то же	4	3
этот обычай	4	11
в песне	1	3
должна была	5	2
другие обряды	2	1
русских аграрных	2	1
были у	1	1
обряды или	1	1
растительной силы	2	1
в самих	1	2
другой день	2	1
исключительная принадлежность	1	1
в одиночку	1	1
день масленицы	1	1
эта связь	2	1
от другого	1	1
обычно в	1	1
славян на	1	1
значение и	1	2
в какой	1	2
с последним	1	1
в в	1	2
на другие	1	2
представление будто	2	1
начиная с	2	3
можно говорить	1	2
нас не	2	2
домах и	1	1
в свете	3	2
поют песни	2	1
из ряда	1	1
случай этот	1	1
давали в	1	2
снегирев в	1	1
или не	1	1
в круг	1	2
с собой	1	4
в последний	3	2
например из	1	1
из сибири	1	5
ленты и	1	1
некоторых других	1	1
не объясняет	3	2
по народному	1	1
масленицу на	1	1
приказу петра	1	1
такие же	3	1
вопрос о	4	1
некоторые исследователи	1	2
в которой	2	1
весенним и	1	1
не всегда	3	1
уничтожение чучела	1	1
к нему	4	1
основана на	1	1
