2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram
и сами	1	1
а напротив	1	2
его в	2	1
а далее	2	1
художественную реальность	2	2
речи и	2	1
написана на	1	1
вулича как	1	1
такова что	1	1
времени и	1	6
является по	1	2
лирической поэзии	1	1
печорина в	4	3
эстетического отношения	1	8
словами гегеля	1	1
не следует	2	4
печорин и	2	1
и представляет	1	3
подобно тому	3	3
известном смысле	1	1
в состоянии	2	1
и соответственно	1	4
от шашки	1	1
с чужих	1	1
зависимость от	1	1
даже в	2	3
события печорин	1	1
за пределами	2	2
мы имеем	3	6
и к	5	3
эстетической модальности	2	1
конечном счете	2	4
не становится	1	2
получает от	1	1
наскучив бостоном	1	2
строение литературного	1	2
независимо от	1	1
муза ахматовой	1	1
эстетического субъекта	1	3
заперся в	2	1
таком случае	2	3
наиболее существенные	1	1
своей коммуникативной	1	1
того и	2	3
художественном тексте	1	4
данный отрезок	1	1
текста но	2	3
его и	1	2
от автора	2	1
так и	15	4
человека написана	1	1
быть признано	1	1
концентрирует внимание	1	1
раз случилось	2	2
не является	1	2
и т	1	3
при таком	2	1
речь идёт	1	1
анализа тексту	1	1
за пределы	4	2
максима максимыча	16	3
речь повествователя	1	1
один и	1	1
в известном	1	1
тем самым	4	7
я с	1	1
на всех	2	1
то что	7	6
не как	1	1
как единого	1	2
литературным произведением	1	2
и пошел	1	1
из того	1	4
составляет своего	1	2
мы вынуждены	1	1
его как	2	1
чужих слов	1	1
проекции текста	2	1
бытие человека	1	1
неосуществима без	1	1
искусства слова	1	1
в одном	2	1
в свою	1	1
вулича а	2	1
иное как	1	5
но одновременно	1	1
тому же	4	4
произведения а	1	1
несмотря на	3	2
той же	2	2
а скорее	1	1
понимать как	1	2
художественных значимостей	4	1
иначе говоря	11	9
от себя	1	3
если бы	3	3
в обоих	2	1
связи с	1	1
же точно	1	1
ни в	1	4
что в	2	5
текста с	1	1
слова о	1	1
сопереживания актуализация	1	1
собственно говоря	2	4
однако в	1	3
в начале	1	2
а как	2	2
о самом	1	1
скоро все	1	1
за ним	1	1
станице на	1	1
как раз	4	1
в своей	2	6
друг с	1	1
речи такова	1	1
художественное впечатление	2	1
читателя не	1	3
с его	1	3
неуместными замечаниями	1	1
целого если	1	1
этих двух	1	1
и адресата	2	2
адресата и	1	1
и больше	1	1
как правило	4	4
на наш	1	6
фаталиста к	1	1
о чем	2	1
убийца заперся	1	1
и напротив	1	1
и что	1	1
фиксации и	1	1
сотворчеству не	1	1
восходящая к	1	2
коммуникативным событием	1	1
и все	3	3
актуализация смысла	1	2
> и	1	1
или менее	1	1
в проекции	8	3
что случилось	2	2
и заключается	1	2
в карты	1	1
с иными	1	1
легко можно	1	1
художественного смысла	3	7
описания в	1	1
и о	1	2
борьбу с	1	1
но отнюдь	1	1
единого высказывания	1	1
себя и	1	4
в противоположность	2	2
в них	1	1
общей картины	2	1
равнопротяженным тексту	1	2
только не	4	2
не имея	1	1
лишь одна	1	1
ему жизни	1	1
место в	3	3
не есть	2	8
проекция текста	1	1
те же	2	1
что все	2	1
восприятия как	1	1
композиция в	1	3
без исключения	1	1
не может	4	22
могут быть	10	4
если не	1	1
эта модель	2	1
ко всем	1	1
то есть	9	11
следует понимать	1	1
отнюдь не	8	15
того или	3	3
что позволяет	3	1
произведения искусства	1	3
вместе с	2	4
факторы а	1	1
отталкиваясь от	1	1
это всегда	1	3
крайне существенное	1	2
такого рода	2	5
и одновременно	3	3
в том	12	27
другого как	1	1
эстетическим субъектом	2	1
все прочие	1	2
казачьей станице	1	1
оно в	1	1
в его	2	13
уровней и	1	1
все равно	1	1
полной мере	1	3
и т.п	8	5
организации художественного	3	3
его речи	1	1
в акте	1	2
прежде чем	1	1
организации литературного	2	3
в диалоге	2	1
организации текста	3	3
к смыслу	2	1
в связи	1	1
о том	7	5
речи в	2	1
испытать судьбу	1	1
полюс смысла	1	1
между тем	2	5
нас самих	1	2
в текст	2	3
произведения что	1	1
являет собой	3	1
все разошлись	1	1
в пустой	2	1
на вопрос	1	4
было не	1	1
центра этого	1	1
в виду	1	1
эстетического дискурса	3	10
бы с	1	1
это рассуждение	1	1
да и	1	1
еще в	2	2
внутреннего зрения	12	1
к самому	1	1
и произведением	1	1
субъективной данности	1	1
и бросив	1	1
природе своей	2	2
печоринского поведения	1	1
н и	2	1
и наоборот	2	1
говоря словами	1	1
в литературном	1	1
как-то раз	2	2
в нулевом	1	1
как мы	3	2
однако не	1	3
не все	1	2
от своего	2	2
особого рода	2	7
иного рода	2	2
может быть	6	29
и его	4	5
текст в	1	2
может показаться	1	1
ни с	2	3
и действия	1	1
более высокой	1	1
я как	2	1
у читателя	1	1
и фатализмом	1	1
с настей	1	2
на уровне	9	3
то самое	1	1
случилось прожить	1	1
вследствие этого	2	3
в самостоятельный	1	1
вулича над	2	1
в отношении	1	1
которое есть	1	1
вовсе не	2	2
может выступать	2	2
новеллистический сюжет	1	1
раздел второй	1	1
себя внимание	3	1
с автором	1	1
человеческого я	1	2
между двумя	4	3
себя самого	1	1
есть не	1	8
кульминации и	1	1
была бы	2	2
его от	3	1
совершенно особого	1	1
я не	1	1
отношением к	1	1
который в	1	2
обратиться к	1	3
из этого	1	1
конструкция в	1	1
смысл произведения	1	3
литературе нового	1	1
я один	1	1
о себе	2	1
вздумал испытать	1	1
в глубине	1	1
каждый из	1	2
и адресат	1	1
автором и	1	1
той или	3	6
ли он	1	2
вслед за	2	1
а о	1	1
культурной общности	1	1
которая является	1	1
я затворил	2	1
эстетическим объектом	1	4
отличие от	2	6
его к	1	2
для обозначения	1	1
тот же	1	1
это путь	1	1
или ином	2	3
ставит себя	1	1
со стороны	3	2
мира в	1	2
как он	1	3
тем как	1	1
эпизод а	1	1
текста и	2	8
этой причине	1	1
часа утра	1	1
сверхличного миропорядка	1	1
в таком	2	3
нас к	2	1
в частности	16	19
как говорит	2	2
еще а	1	1
форме композиции	1	1
то он	1	2
реальности если	2	1
анализа в	1	2
две недели	1	1
и даже	9	1
может не	1	1
вопроса о	1	3
нам не	1	1
о жизни	2	1
еще раз	1	1
и тем	4	1
установкой на	1	2
и при	1	1
один понимал	1	1
только в	4	6
в этой	9	5
означало бы	1	1
другой стороны	2	2
и печорин	2	1
или иного	3	3
предмета анализа	1	1
отношению к	4	5
собой систему	2	2
своим другим	1	1
субъектная организация	1	1
в присутствии	1	2
то и	1	1
в роли	2	2
с максимом	1	2
соответствии с	2	2
свидетельствует о	2	2
литературное произведение	3	12
самим собою	1	1
членения не	1	1
есть логическое	1	1
романа в	3	2
под диктовку	1	1
оно и	1	1
реальности в	2	4
высказывания в	3	1
как в	4	1
зачем же	1	1
не случайно	8	3
и не	12	21
мы уже	1	1
наш взгляд	1	6
текста как	2	1
и исторически	1	1
коммуникативном событии	1	1
не являющиеся	1	1
таким образом	2	3
вера в	1	1
первой части	1	1
тем более	1	2
к предмету	2	2
аналогичным образом	2	1
ценностного центра	1	1
к сотворчеству	1	1
собой лишь	1	1
в крепость	1	3
непосредственно к	1	1
текста наиболее	1	2
определенным образом	1	1
внутренней речи	4	5
тогда когда	1	2
одно и	1	1
недели в	1	1
эпизода с	1	1
своих других	1	1
своими неуместными	1	1
персонажа в	1	1
не только	16	15
повествования а	1	1
сюжетный ряд	1	1
объекта и	2	3
он не	2	3
существенная сторона	1	1
и читателя	3	2
что даже	1	1
именно здесь	1	1
все эти	1	2
между волюнтаризмом	2	1
противном случае	1	1
понимал темное	1	1
особенно в	7	2
в данном	8	2
как уже	3	2
в пределах	9	2
одну из	2	1
рассказ о	1	2
возвратясь в	1	1
коммуникативной событийности	1	1
высказывания и	2	1
может и	1	1
это еще	1	1
в литературе	1	4
и потому	1	2
как печорин	3	1
слова в	1	1
но о	1	2
в их	3	5
со своим	3	1
в специальном	1	1
внутреннее я	1	3
в себе	7	11
случилось однажды	1	1
с той	2	1
на примере	1	2
автором в	1	1
в рассказе	1	1
излагается с	1	1
на его	3	2
