2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram
и частной	1	1
стихотворение ахматовой	1	1
становится ритмической	1	1
а напротив	1	2
его в	2	3
художественную реальность	2	1
вполне самостоятельное	1	1
печорина в	4	1
эстетического отношения	1	3
себе не	2	1
словами гегеля	1	1
не следует	2	1
в одну	2	1
подобно тому	3	3
лирического сюжета	1	2
в значительной	2	2
известном смысле	1	1
оказывается шире	1	1
даже в	2	2
ко всему	1	1
где выбор	1	1
поэтической глоссализации	1	1
мы имеем	3	5
и к	5	4
эстетической модальности	2	5
определенных языковых	1	1
к другому	1	1
самом наличии	1	1
второй главы	1	1
не становится	1	1
конечном счете	2	2
жизни здесь	1	1
независимо от	1	1
однако к	1	1
как о	3	1
таком случае	2	1
и далее	1	1
что при	1	1
текста но	2	1
до этого	1	1
его и	1	1
жизненных позиций	2	2
так и	15	14
быть признано	1	1
сочетании с	7	3
не является	1	5
как нельзя	1	1
еще и	1	3
за пределы	4	1
ценностей жизни	1	1
один и	1	1
он же	2	1
в известном	1	1
тем самым	4	4
я с	1	2
на всех	2	1
то что	7	2
не как	1	2
героя нашего	3	2
углом они	1	1
стороны художественной	1	1
как единого	1	1
никак не	2	1
составляет своего	1	1
не наделены	1	1
его как	2	3
бы это	1	1
самого героя	1	1
имеет в	1	1
же слова	1	1
дистанция между	1	2
новеллы с	1	1
страсти и	1	1
всех сторон	1	1
адресата при	1	1
искусства слова	1	1
все его	1	1
но без	1	1
значимости в	1	1
в свою	1	5
в одном	2	4
представляется совершенно	1	1
иное как	1	1
тому же	4	3
в центральной	1	1
произведения заглавие	1	1
несмотря на	3	2
той же	2	5
от себя	1	1
если бы	3	1
иначе говоря	11	2
перекликается с	2	1
связи с	1	1
внешнего хронотопа	1	1
заглавия в	1	1
что в	2	9
текста с	1	4
однако в	1	5
в начале	1	6
хотя он	1	1
в своей	2	1
как раз	4	7
но если	1	1
частной жизни	1	1
для автора	1	1
с его	1	8
читателя не	1	1
языковых стилей	1	1
этих двух	1	1
и адресата	2	1
адресата и	1	1
неотъемлемо входит	1	1
этом случае	4	1
что она	2	2
как правило	4	5
на наш	1	2
бы и	1	2
о чем	2	4
его внутренней	1	1
связывается с	2	1
фиксации и	1	1
переходит от	2	1
восходящая к	1	3
коммуникативным событием	1	2
в применении	1	1
и все	3	2
> и	1	1
с героем	1	2
на этот	2	1
параллель между	1	1
с иными	1	2
что на	3	1
и о	1	1
себя и	1	1
в противоположность	2	2
в мировой	1	1
в них	1	2
случается в	1	1
только не	4	3
о смерти	1	3
первой строфе	1	3
место в	3	1
второй и	1	2
глубине своей	1	1
не есть	2	4
характеризуется тем	1	1
те же	2	2
без исключения	1	3
не может	4	2
могут быть	10	2
своем составе	3	1
но лишь	1	1
сказать что	2	2
то есть	9	10
от радостей	1	1
он именует	1	1
того или	3	1
отнюдь не	8	4
пребывание в	1	1
он ничего	1	1
вместе с	2	2
лишь однажды	2	1
далеко за	1	1
текста где	1	1
такого рода	2	5
является по-видимому	1	1
и одновременно	3	1
в том	12	9
может оказываться	1	1
в речевом	2	1
в его	2	7
полной мере	1	1
и т.п	8	5
от свободы	1	1
похож на	1	1
его речи	1	1
в акте	1	1
на две	3	1
с действительностью	2	1
в диалоге	2	1
организации текста	3	1
приводит к	3	4
в связи	1	1
о том	7	6
между тем	2	5
воспринимающим сознанием	1	1
мертвых душ	1	1
обратим внимание	1	2
моментов в	1	1
его не	1	3
в текст	2	1
противоречие с	1	1
являет собой	3	3
рецептивной компетенцией	1	1
облика и	1	1
на то	2	1
эстетического дискурса	3	1
к самому	1	1
да и	1	2
о возвращении	1	1
обратимся к	1	1
в заключительной	1	4
природе своей	2	1
говоря словами	1	2
не все	1	1
как мы	3	1
от своего	2	1
иного рода	2	1
лирическая героиня	3	1
так для	1	1
может быть	6	9
случаях когда	1	1
и его	4	13
нами и	1	1
вследствие этого	2	1
жизненная позиция	2	2
самостоятельное художественное	1	1
ключевого слова	1	1
в устах	2	1
вовсе не	2	1
может выступать	2	1
они могут	1	1
человеческого я	1	2
себя самого	1	1
есть не	1	2
к ним	1	1
в тех	1	2
ли не	2	4
я не	1	1
на смену	3	1
на жизнь	1	1
который в	1	3
из этого	1	1
смысл произведения	1	1
в отдельности	1	1
а вот	1	2
о себе	2	2
в глубине	1	2
каждый из	1	1
путь к	1	3
той или	3	3
например начальные	1	1
бы в	3	1
побуждает его	1	1
вслед за	2	1
а о	1	1
взглянула на	1	1
отличие от	2	2
персонажей то	2	1
висит на	1	1
тот же	1	1
это путь	1	1
с дудочкой	2	1
позволяет говорить	1	1
со стороны	3	9
свою собственную	1	1
диалогическим углом	2	1
это делает	1	1
тем как	1	1
при участии	1	1
одно из	2	1
в глазах	1	2
этой причине	1	1
остальных его	1	1
в таком	2	1
нас к	2	1
в частности	16	12
как говорит	2	3
свободы но	1	1
противопоставлены в	1	1
в следующем	1	1
ответ на	3	3
и даже	9	8
вопроса о	1	2
нам не	1	2
не ранее	1	1
или с	1	1
с ними	3	1
только в	4	2
в этой	9	6
так сказать	1	2
другой стороны	2	5
известно из	1	1
