4gram	Bakhtin_slovoVRomane_partition_part1_wordlist_4gram	Bakhtin_slovoVRomane_partition_part2_wordlist_4gram
никак нельзя отнести к	1	1
жанровых профессиональных и других	1	1
точка зрения на мир	1	1
ощущение языка и слова	1	1
на чужие языки на	1	1
к своему стилистическому пределу	1	1
и в то же	1	5
во всех областях жизни	2	1
или иной степени объектны	1	1
и с другой стороны	1	1
смысловые и экспрессивные пласты	1	1
этом случае перед нами	1	1
различные эпохи и в	1	1
чужим словом о нем	1	1
как мы уже сказали	1	2
во всех его моментах	1	4
многообразно скрещиваются между собой	1	1
все эти языки и	1	1
слова к своему предмету	3	1
гиппель и жан-поль в	1	1
стилизации жанровых профессиональных и	1	1
в той или иной	3	9
двух планах в плане	1	1
аналогично обстоит дело и	1	1
в нем новые стороны	1	1
о нем и в	1	1
о которых мы говорили	1	1
и т п в	2	1
может быть разной степени	1	1
можно прямо сказать что	2	1
всегда в той или	1	2
к чужому слову к	1	1
во всех сферах жизни	1	1
одно без другого невозможно	1	2
в различные эпохи и	1	1
дневники и т п	1	1
точки зрения на мир	1	2
национальных языков в пределах	1	1
в то же время	4	12
то же время и	1	1
во всех его многообразных	1	1
взаимоориентации с чужим словом	1	1
и тем и другим	1	1
с чужим словом в	1	3
чужому слову к чужому	1	1
в истории европейского романа	1	1
в точном смысле слова	1	1
той или иной степени	3	9
с чужим словом и	3	1
в этом случае перед	1	1
в двух планах в	1	1
в истории литературного языка	4	1
никогда не может быть	2	1
всех его моментах в	1	1
смысловых и экспрессивных интенций	1	1
так и вне его	1	1
между словом и предметом	2	1
не значит конечно что	1	1
и в истории литературного	2	1
социальных языков в пределах	2	1
но в то же	3	4
это не значит конечно	1	1
слово живет вне себя	1	1
письма дневники и т	1	1
единого и единственного языка	1	3
