2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram
и сами	2	1
все же	3	9
его в	3	6
времени и	2	1
как точка	1	1
не мир	1	1
себе не	1	1
в первых	1	1
не следует	1	1
том и	1	1
же самый	1	1
автора голос	1	1
идеи в	1	9
становится предметом	1	1
о мире	1	6
менее всего	1	6
героем достоевского	1	1
слова и	12	1
и имеет	1	1
даже в	3	4
идеологический вывод	1	1
за пределами	1	1
и старается	2	2
и к	3	2
будто и	1	1
к другому	5	2
его романе	2	1
автор действительно	1	1
слышим все	1	1
не становится	1	5
ведь мы	1	1
художественную форму	1	2
того и	3	1
вот он	1	1
кроме того	3	3
себе еще	2	2
его влиянием	1	1
иначе как	1	1
словесного целого	1	1
от нее	1	1
голоса в	1	2
с горы	1	1
в авторский	2	1
его и	2	2
от автора	3	3
так и	3	7
достоевского это	3	1
сознание и	2	5
дело идет	1	5
в другой	1	3
и т	13	4
как человек	2	1
авторская идея	1	2
своими собственными	1	1
чужие слова	1	1
далее и	1	1
за пределы	3	7
тон и	5	1
единство не	1	1
есть нечто	1	1
то что	7	15
оно лишь	1	1
но как	1	3
каждом романе	1	1
не как	6	14
и от	1	2
чтобы сделать	2	1
как слово	2	3
никак не	5	2
не укладывается	3	2
его как	1	4
героя между	1	1
в пределы	1	3
чужих слов	5	1
героев не	1	1
весь роман	1	1
самый факт	1	2
дух и	1	1
изображаются они	1	2
не завершен	1	1
должна быть	3	5
бы то	1	2
все его	2	3
в точке	2	1
в одном	12	10
социальных оценок	1	1
в чисто	1	2
так именно	1	1
несмотря на	1	6
той же	3	5
лишь для	1	1
самосознание героя	1	5
если бы	3	9
та же	2	1
его тон	1	1
структурные особенности	1	1
к которому	1	1
самосознания и	3	1
связи с	1	2
была бы	2	3
ни в	2	3
типа в	1	1
путь его	1	1
героя к	1	1
к одному	6	1
то время	2	1
как не	1	8
слова о	2	1
что в	4	8
в руках	2	1
смысле глубоко	1	1
при всех	1	1
ивана карамазова	2	4
нам важна	1	2
однако в	1	2
он является	2	1
в начале	1	1
а как	4	7
о самом	1	1
выражения в	1	1
к сожалению	1	1
европейского романа	2	2
как раз	4	6
за ним	1	3
уже и	2	2
внешнее и	1	1
произведения достоевского	1	3
в своей	4	8
друг с	4	2
он ищет	1	1
строится так	1	1
авторского слова	2	8
в основе	1	4
макара девушкина	8	1
и самая	1	1
для автора	2	2
с его	4	9
и голосов	1	1
на материале	2	3
художественного замысла	2	2
и больше	1	1
что она	1	6
бы и	2	4
в той	5	2
голоса но	1	1
весь в	1	1
и что	5	2
ощущаться как	1	1
эти три	1	1
увидим дальше	1	1
и все	6	1
сливается с	2	6
монологического романа	1	1
или менее	3	1
с героем	1	2
на этот	4	2
что достоевский	1	1
в авторском	1	4
нам кажется	5	2
слова он	2	1
и о	2	5
жизни и	1	2
авторской речи	2	1
где есть	1	1
сознания достоевский	1	1
не представлен	1	2
себя и	3	2
чужому слову	11	1
понимания мира	1	2
его слово	1	1
из которых	1	2
него в	3	2
в них	4	3
до своих	2	1
души в	1	1
кажется что	3	2
только не	1	1
их взаимоотношения	1	1
автором как	1	1
между сознаниями	1	1
достоевского а	1	1
образом как	3	1
слова его	1	1
иметь в	1	1
может стать	4	1
да так	1	1
не есть	2	2
для понимания	2	2
те же	1	2
и так	2	1
не то	1	1
что все	1	1
раскрыться и	1	1
построение его	1	1
сознания с	1	2
одном голосе	1	1
их мирами	2	4
не может	18	12
понятно что	1	1
этом рассказе	1	1
могут быть	3	6
в чужих	1	1
автора как	2	3
там где	4	10
сказать что	2	3
функции в	1	1
нет твердых	1	1
не могло	1	1
он должен	1	1
слова но	2	2
сознания и	3	5
установок и	1	1
что говорит	2	1
в рассказах	1	1
в том	6	8
себя как	3	2
окружающий его	1	1
места в	1	1
герои как	1	1
входящий в	1	1
не друг	1	1
рассказ и	3	1
в его	10	24
все равно	1	1
художественного видения	1	7
на почве	2	3
они даны	1	1
правда на	1	1
как объект	1	4
весьма различны	1	1
она может	1	1
важно не	1	1
нею и	1	1
не входит	2	3
произведений достоевского	2	6
ставит нас	1	1
с нею	1	1
достоевский прежде	1	1
приводит к	6	3
под его	1	1
о том	5	1
у тургенева	4	2
между тем	3	5
отношение к	2	2
и чужого	1	1
речи как	2	1
е вступить	1	1
достоевского он	2	2
роман в	1	1
в виду	3	1
самосознание бедного	1	1
бы с	1	1
к самому	3	1
во всей	1	2
с помощью	1	1
в самой	4	6
большинстве случаев	8	2
мире достоевского	2	7
слово слово	3	1
должны быть	2	1
впечатление что	1	1
и функции	1	1
единство романа	1	3
одного куска	2	2
в рассказ	2	1
наконец к	1	1
от своего	1	1
как мы	10	4
однако не	1	2
в духе	1	3
она имеет	1	1
одном сознании	1	2
иного рода	1	1
этого самосознания	2	2
так чтобы	4	4
может быть	23	24
другом случае	1	1
из героев	1	1
и его	8	14
то в	1	1
в одной	3	6
себе его	1	2
каждом атоме	1	1
человеке или	1	1
теоретического осознания	1	1
заключенных в	1	1
мысли но	1	1
что как	1	1
уже говорили	3	1
как его	4	1
к чужому	7	1
в отношении	3	2
были бы	1	4
не изображаются	1	3
сознании и	2	2
в устах	1	1
и могут	1	2
вовсе не	5	7
она не	3	7
они могут	2	2
слово то	1	1
всего на	1	1
всеми своими	1	2
совершенно иное	1	2
произведениях достоевского	4	5
себя самого	1	2
повести но	1	1
хоть и	1	3
не подчиняется	1	1
человека а	1	1
про себя	1	1
достоевского совершенно	2	1
каждая из	1	1
и иногда	1	1
всякое иное	1	1
не на	4	4
или наоборот	1	1
я не	4	3
здесь нет	3	1
настоящее время	2	1
героев в	1	3
ни было	2	2
обращено к	1	2
в особом	1	3
лишает их	1	1
достоевского мы	1	3
типа и	1	3
здесь не	6	1
его художественного	3	3
о себе	7	12
и самовысказывания	1	1
бы в	5	3
и тон	1	2
направлена на	1	1
неслиянных сознаний	1	4
и нет	4	2
другу как	1	1
уверенного и	1	1
достаточно чтобы	1	1
его к	2	2
у толстого	1	2
тот же	3	2
достоевского и	2	7
не сливается	1	2
и самое	2	3
к каждому	1	1
самой структуре	1	2
и действительно	1	1
ему не	1	1
же принципы	1	1
как он	2	1
тем как	1	4
бедного человека	1	1
слова героя	2	2
его слова	2	1
ведь эти	1	1
достоевского как	2	9
в таком	2	1
быть лишь	1	1
монологического контекста	3	1
мир где	1	1
то он	1	2
оглядкой на	2	1
поэтому-то и	1	1
в каждой	2	1
т п	9	3
и окружающий	2	1
быть весьма	2	1
не во	2	3
и отчасти	1	1
и сознает	1	1
к слову	1	1
и даже	3	2
например у	2	1
не было	1	4
того чтобы	1	1
то это	2	1
в своих	2	3
в произведениях	3	3
лучше сказать	1	1
только в	4	10
в смысле	1	2
появляется в	1	1
другой стороны	3	3
так сказать	6	4
и единого	1	1
тоже не	1	2
вводит в	1	2
чужим словом	13	1
достоевского с	1	3
видения и	1	10
отношению к	5	8
изображаемого мира	1	2
т е	26	21
