2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram
годунова и	3	6
трагедия его	1	1
к пушкину	1	3
его в	1	2
все же	4	6
времени и	2	4
нет не	2	1
смотреть на	1	1
лирической поэзии	1	2
связь с	4	2
политическое содержание	1	1
которые были	2	1
что ему	1	3
самим пушкиным	1	1
этой трагедии	4	1
была не	2	2
в значительной	1	2
известном смысле	1	1
годунова с	1	1
в числе	1	2
и пытался	1	1
единства слога	1	2
уступает место	1	2
даже в	1	2
но пушкин	1	2
драмы в	1	1
язык бориса	2	1
почему пушкин	1	1
и к	4	4
в рукописи	4	2
легендой о	1	1
драматической литературы	2	2
работы над	2	4
независимо от	5	1
но вообще	1	1
в развитии	2	1
б с	1	1
является и	1	1
кроме того	3	4
как историк	1	1
и далее	3	1
его через	1	1
его размышления	2	1
из таких	1	2
шекспира но	1	3
так и	5	9
связан с	3	3
и т	8	9
не является	3	3
царя бориса	1	4
двадцатых годов	1	2
для такой	1	1
годунов и	1	1
он чувствует	2	1
создании бориса	1	1
действующие лица	3	3
для кого	1	1
один стих	2	1
ср в	3	1
к своей	2	1
за пределы	1	1
еще и	1	3
в последнем	2	1
сказался в	1	1
конечно в	1	2
предисловии к	2	2
до нас	2	1
в известном	1	3
в выражении	1	1
г и	12	1
то что	12	11
но как	2	1
пушкин по	2	1
пушкина был	1	3
не как	2	1
в каком	4	2
карамзина в	3	3
как слово	1	1
как политик	1	1
пушкина он	2	3
пушкин с	1	3
его как	3	2
была напечатана	2	2
именно то	1	1
в г	12	7
не укладывается	1	1
строки но	1	1
в особенности	4	2
царем и	2	3
церковнославянизмов в	1	1
начала xix	1	2
в пушкинское	1	2
в одном	1	6
в свою	2	1
булгарин писал	1	1
и сам	1	2
можно найти	2	1
в чисто	2	2
пушкин совершенно	1	1
пушкин решительно	1	1
с о	3	1
несмотря на	3	2
той же	2	1
пушкиным для	2	1
если бы	4	2
прочим и	1	1
жизни пушкина	2	1
к которому	3	1
нет никакого	3	2
связи с	3	4
как пушкин	1	2
и такие	2	1
трагедии на	3	1
ни в	5	3
бориса годунова	34	74
роли дворянства	1	1
и которые	2	1
то время	4	1
и той	1	1
понятно почему	1	1
он с	1	1
что в	19	19
феодализме о	1	1
из писем	1	2
один общий	1	1
xvii века	2	1
согласно которой	1	1
них и	1	1
на пушкина	1	2
принадлежат к	1	1
в начале	4	3
взялся за	1	1
а как	4	4
иноческою простотою	1	1
но совершенно	1	1
к сожалению	2	2
с абсолютной	1	1
ниже в	1	2
как раз	3	8
в своей	4	7
бориса и	1	3
карамзин есть	1	1
на возможность	1	1
о феодализме	1	1
годунове пушкин	2	1
из бориса	1	6
языке пушкина	1	1
на материале	1	1
писал в	1	1
напр у	1	1
с его	3	2
начале xix	3	1
этих двух	2	1
значения как	1	1
что она	1	1
в той	1	5
пушкина например	2	1
и я	1	2
о чем	1	5
но важно	1	1
и что	3	6
никакого успеха	1	2
в сей	2	1
этом стиле	1	1
фольклорный материал	1	1
у кюхельбекера	1	2
и все	1	1
в период	1	2
такие слова	1	1
или менее	1	2
года пушкин	1	3
раза на	1	1
между царем	2	3
представляет собою	2	1
трагедии был	1	2
через посредство	1	1
еще одно	1	1
и народом	2	2
и о	1	4
жизни и	1	1
к дельвигу	1	2
пушкина борис	1	1
себя и	2	1
трагедия пушкина	2	5
произведений пушкина	1	1
найти в	2	1
пушкина это	8	2
становится понятным	1	1
в царском	2	1
что эта	2	3
в них	5	2
с ума	1	1
только не	1	2
борисе годунове	40	32
в свет	1	5
место в	6	1
иметь в	1	3
этому поводу	2	2
и русская	1	1
что все	3	1
пушкина что	4	1
те же	1	1
ему все	1	1
сам же	1	1
борис годунов	26	28
не может	7	2
это имеет	1	1
если не	1	2
между царской	1	1
сцен в	1	4
связано с	5	1
там где	1	2
сказать что	4	2
мы видели	1	1
пимена о	1	2
тему о	2	1
пушкина о	2	2
в значении	1	4
еще до	1	4
в трагедии	6	17
не могло	1	3
вместе с	2	7
виде в	1	1
отвечал на	1	1
свое выражение	1	2
такого рода	5	2
по тому	2	1
большей части	1	1
а к	1	2
языке бориса	5	2
в том	20	27
языка с	1	1
места в	1	1
и который	1	2
ср у	1	3
в его	12	13
на почве	5	2
бюрократической монархии	1	1
его примечаний	1	1
и прочие	2	1
разного рода	1	1
