4gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_4gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_4gram
с точки зрения ее	1	1
в нем как в	1	1
не выходит за пределы	1	1
к действительности и ее	1	1
формальный метод в россии	1	1
за его пределы в	1	1
в данном случае действительно	1	1
с этой точки зрения	1	1
в том числе и	1	1
в химическом соединении с	2	2
и в данной социальной	1	1
ведь на самом деле	2	1
в целом идеологической среды	1	1
в идеологическом кругозоре в	1	1
и пр все это	2	1
начала и до конца	1	2
и в то же	2	1
сводится к тому чтобы	1	1
то же время не	1	1
как бы ни были	1	2
не одна а несколько	1	1
метод в истории литературы	1	1
все более и более	1	2
конструктивное значение то же	1	1
с начала и до	1	2
и не может быть	3	2
в данной социальной группе	2	1
убедиться в этом достаточно	1	1
из ложного предположения что	1	1
упускается из виду что	1	1
исходили из ложного предположения	1	1
на самом же деле	2	1
и пр и пр	1	2
но ведь на самом	1	1
пр и пр все	1	1
значение то же что	1	1
и т п в	2	1
т е она не	1	1
с точки зрения самого	2	1
в его целом так	1	1
мы ни взяли мы	1	1
с точки зрения своей	1	1
эпоху и в данной	1	1
до сих пор недостаточно	1	1
в первый период развития	1	1
бы то ни было	4	1
в зависимости от того	1	1
в то же время	7	8
его целом так и	1	1
что в данном случае	1	1
чтобы убедиться в этом	1	2
отсюда отнюдь не следует	1	1
то же время сами	2	1
мы уже знаем что	2	1
в настоящее время в	1	3
нет и не может	2	2
не может и не	1	1
какого бы то ни	1	1
