2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
мы станем	1	1
есть как	1	2
своими словами	1	2
все же	5	5
его в	2	3
соединение и	1	1
времени и	1	2
назначение что	1	1
все дело	2	2
это совершенно	1	3
не следует	1	1
нас совершенно	1	2
в одну	1	1
ничего такого	1	1
и основной	1	1
совершенно новую	1	1
том и	2	1
над этими	1	1
подобно тому	5	1
она есть	1	2
цели и	1	1
есть к	2	1
слова и	1	4
даже в	2	2
так точно	3	1
зависимость от	2	1
читателя с	1	1
мы имеем	4	2
и к	3	2
конечном счете	3	1
наглядным образом	1	1
независимо от	2	1
художественную форму	1	1
с такими	1	1
психологическую проблему	1	1
а есть	1	1
таком случае	2	1
это понятие	1	1
мы совершенно	2	4
что при	3	2
иначе как	2	1
таком понимании	1	1
располагаются в	1	1
то мы	1	1
нашего исследования	3	1
его и	3	2
шекспира но	1	1
исполнения и	1	1
так и	3	3
решительно все	1	1
в другой	2	1
и т	26	6
не является	5	2
как нельзя	4	2
в ту	1	1
при таком	1	3
нас от	1	3
можно определить	1	1
когда мы	3	6
и у	4	1
за пределы	1	1
он же	2	1
и почему	1	2
приходится иметь	1	1
то что	32	44
тем самым	2	3
но как	2	1
очень нетрудно	1	1
гамлет шекспира	1	1
в каком	2	8
и от	2	2
трагедии шекспира	1	2
никак не	4	6
психология и	1	1
именно то	1	1
в монологе	1	1
имеет в	2	1
в особенности	1	1
можно выразить	1	1
легче всего	3	1
бы то	1	2
согласии с	2	1
в одном	2	3
в свою	1	1
иное как	1	1
можно найти	1	2
тому же	3	3
в воображении	1	1
нет никакой	3	2
мы обратимся	1	1
подходят к	1	1
несмотря на	5	1
той же	3	4
мы найдем	2	1
иначе говоря	5	2
та же	3	3
если бы	6	10
связи с	1	2
и такие	1	1
же точно	3	7
ни в	9	3
нигде не	2	1
и той	3	2
то время	5	2
как не	1	1
только после	1	5
совершенно очевидно	3	1
что в	23	21
для объяснения	3	1
того почему	1	1
в приложении	1	2
но совершенно	2	4
а как	1	2
за ним	1	1
в своей	3	4
приложении к	1	2
как раз	2	9
хотя он	1	1
но если	1	3
все в	1	1
же самая	2	1
в основе	2	3
напротив того	2	2
очень легко	2	4
на других	1	1
с его	1	2
произведения является	1	1
говорит нам	1	2
совершенно иначе	1	3
остались бы	1	1
как только	1	2
что она	6	10
бы если	1	1
бы и	2	2
в той	1	3
этот закон	1	2
что если	1	3
смысл в	1	1
и что	8	25
в не	1	1
что самое	3	5
и все	5	12
же мало	1	1
содержания и	1	1
шекспир создал	1	2
сама собой	1	1
на этот	1	3
никто не	1	4
которое мы	1	1
и заключается	1	1
бы мы	2	3
загадкой и	1	1
и другую	2	3
что на	3	1
этой общей	1	1
и о	4	4
жизни и	3	4
внешнюю звуковую	1	1
себя и	2	1
содержание и	1	1
найти в	1	1
из которых	3	3
указать что	1	1
него в	2	1
что эта	3	6
в них	2	2
что форма	1	2
о смерти	1	5
мы хотим	1	1
только не	3	2
мы приходим	1	1
для понимания	1	2
и психологии	2	1
на деле	3	1
в основу	2	3
что все	3	11
те же	4	2
и так	4	4
не то	2	4
действия и	2	2
понятно что	1	3
не может	17	10
этом рассказе	1	2
в несколько	1	1
с психологической	3	2
иметь дело	1	2
там где	4	1
сказать что	7	13
то есть	26	13
вместе с	8	8
поэт создает	1	1
он должен	1	1
закон и	1	1
а чем-то	2	1
что говорит	1	2
простейший пример	1	1
в том	30	21
мы знаем	3	2
вот эта	1	1
составные части	1	1
психологии и	3	1
этого материала	2	1
та что	1	1
в его	6	10
другой линии	1	1
д все	1	1
верно что	1	2
это время	1	2
объяснения его	1	1
идет от	1	1
в нас	2	1
возникает как	3	1
вступить в	1	1
как они	2	1
это можно	2	1
из этой	1	3
бы как	1	1
мысль о	1	1
и может	2	5
с конца	1	2
к другой	1	2
самой своей	1	1
надо сказать	3	3
представьте себе	1	1
о том	7	20
за ней	1	2
между тем	4	1
построения этой	1	1
совершается в	1	2
что самая	1	2
как липпс	1	1
именно эти	3	1
его не	2	2
противоречие с	3	1
с вот	1	1
совершенно точно	6	1
в виду	4	2
на то	10	10
во всей	1	3
в музыке	2	1
обратимся к	1	3
есть только	2	2
и смысл	1	2
утверждал что	2	1
ясно как	1	1
главным образом	2	1
как мы	2	4
это верно	1	1
этот новый	1	1
и искусства	1	1
в деле	1	1
двух планах	1	1
относится к	1	1
может быть	22	22
и его	7	5
может показаться	2	1
в одной	3	2
не можем	3	3
моментов и	1	1
произведения и	1	1
так мы	1	1
с совершенной	1	2
с таким	11	2
или его	3	3
мы получаем	2	1
эту мысль	1	1
другим путем	1	2
и состоит	2	1
вовсе не	6	5
она не	5	3
самый материал	1	1
исходили из	1	1
то совершенно	2	1
конца и	1	2
что целью	1	1
есть не	2	1
планах с	1	1
была бы	1	2
других которые	1	1
искусства в	9	1
в тех	1	2
с тем	3	4
какой мере	3	2
это есть	5	1
я склонен	2	1
я не	1	4
совершенно верно	2	6
ни было	1	1
только один	1	1
обратиться к	2	3
из этого	2	5
и анализа	1	1
задачи и	3	1
и верно	1	1
от тех	1	1
бы в	2	1
увидим что	2	3
вслед за	6	3
читая ее	1	1
показать как	1	2
на которых	1	1
которое автор	1	1
она в	2	1
тот же	2	3
или ином	1	1
и действительно	1	1
же мы	1	2
и других	3	4
стоящей перед	1	2
и новое	1	1
шаг в	1	1
со стороны	4	2
то чтобы	2	2
как он	2	5
тем как	1	1
и между	1	1
мы хотели	1	1
одно из	2	2
хоть сколько-нибудь	1	1
наталкивается на	1	1
весь свой	1	1
в таком	3	4
в частности	3	4
рассказе может	1	1
перед ним	1	2
как говорит	2	2
в первый	1	3
мы примем	1	1
это мнение	1	4
т п	16	3
для своей	1	1
мышь и	1	1
всякий раз	8	6
и даже	6	1
от этой	1	1
может не	1	1
и очень	2	1
не было	3	3
еще раз	1	3
того чтобы	7	22
то это	1	3
в своих	4	3
только в	14	4
в этой	3	9
и значение	1	1
одна и	1	2
из тех	1	1
другой стороны	5	2
не могли	1	1
когда она	2	1
к выводу	1	1
идет о	2	3
бы что	2	1
в трех	2	1
все то	3	12
его с	1	1
всяком случае	6	3
чтобы понять	4	1
говорит толстой	1	3
к этому	4	4
вот это	1	1
литературы и	1	2
психологический закон	1	1
но для	1	1
выходит что	1	1
как в	9	3
выразить то	1	1
во всяком	8	3
и не	16	13
что у	3	4
здесь же	1	1
и та	1	2
который он	1	2
лежит в	1	2
и вообще	1	1
нам придется	2	3
таким образом	20	13
мире в	1	2
жизни в	1	1
совершенно понятно	1	2
если же	2	1
с так	2	1
он как	1	1
мнения придерживается	1	1
тогда когда	5	1
столько сколько	1	1
стих есть	1	1
уже в	3	2
в жизни	2	4
это и	3	5
раз он	1	1
не только	13	7
на другой	1	1
который должен	1	1
он не	3	11
гамлете и	1	1
что даже	2	1
смысле этого	2	3
но у	1	1
в самых	1	3
вот что	2	1
примере легче	1	1
и кажется	1	2
тем же	3	1
только обратиться	1	2
в пределах	1	3
основу этого	2	1
ряд очень	1	1
совершенно ясно	19	8
и потому	2	2
слова в	3	1
так если	1	2
пор пока	1	2
в их	1	2
с самого	1	5
в точном	1	1
сказать то	1	1
т д	8	2
из самых	1	1
материала в	1	3
что нужно	1	1
в себе	4	6
на примере	3	2
в рассказе	1	8
на его	1	1
как на	3	6
к тому	4	12
знаем о	1	1
мы находимся	1	1
ровно столько	2	1
не оставляет	1	1
что вся	1	1
реакции в	1	1
формы в	4	1
исследования и	3	4
и этот	1	3
художественное произведение	10	1
автор не	1	2
которая пытается	1	1
чтобы создать	1	1
перед нами	1	6
перед ней	1	1
