2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
годунова и	6	3
трагедия его	1	1
к пушкину	3	1
его в	2	1
все же	6	4
времени и	4	2
нет не	1	2
смотреть на	1	1
лирической поэзии	2	1
связь с	2	4
политическое содержание	1	1
которые были	1	2
что ему	3	1
самим пушкиным	1	1
этой трагедии	1	4
была не	2	2
в значительной	2	1
известном смысле	1	1
годунова с	1	1
в числе	2	1
и пытался	1	1
единства слога	2	1
уступает место	2	1
даже в	2	1
но пушкин	2	1
драмы в	1	1
язык бориса	1	2
почему пушкин	1	1
и к	4	4
в рукописи	2	4
легендой о	1	1
драматической литературы	2	2
работы над	4	2
независимо от	1	5
но вообще	1	1
в развитии	1	2
б с	1	1
является и	1	1
кроме того	4	3
как историк	1	1
и далее	1	3
его через	1	1
его размышления	1	2
из таких	2	1
шекспира но	3	1
так и	9	5
связан с	3	3
и т	9	8
не является	3	3
царя бориса	4	1
двадцатых годов	2	1
для такой	1	1
годунов и	1	1
он чувствует	1	2
создании бориса	1	1
действующие лица	3	3
для кого	1	1
один стих	1	2
ср в	1	3
к своей	1	2
за пределы	1	1
еще и	3	1
в последнем	1	2
сказался в	1	1
конечно в	2	1
предисловии к	2	2
до нас	1	2
в известном	3	1
в выражении	1	1
г и	1	12
то что	11	12
но как	1	2
пушкин по	1	2
пушкина был	3	1
не как	1	2
в каком	2	4
карамзина в	3	3
как слово	1	1
как политик	1	1
пушкина он	3	2
пушкин с	3	1
его как	2	3
была напечатана	2	2
именно то	1	1
в г	7	12
не укладывается	1	1
строки но	1	1
в особенности	2	4
царем и	3	2
церковнославянизмов в	1	1
начала xix	2	1
в пушкинское	2	1
в одном	6	1
в свою	1	2
булгарин писал	1	1
и сам	2	1
можно найти	1	2
в чисто	2	2
пушкин совершенно	1	1
пушкин решительно	1	1
с о	1	3
несмотря на	2	3
той же	1	2
пушкиным для	1	2
если бы	2	4
прочим и	1	1
жизни пушкина	1	2
к которому	1	3
нет никакого	2	3
связи с	4	3
как пушкин	2	1
и такие	1	2
трагедии на	1	3
ни в	3	5
бориса годунова	74	34
роли дворянства	1	1
и которые	1	2
то время	1	4
и той	1	1
понятно почему	1	1
он с	1	1
что в	19	19
феодализме о	1	1
из писем	2	1
один общий	1	1
xvii века	1	2
согласно которой	1	1
них и	1	1
на пушкина	2	1
принадлежат к	1	1
в начале	3	4
взялся за	1	1
а как	4	4
иноческою простотою	1	1
но совершенно	1	1
к сожалению	2	2
с абсолютной	1	1
ниже в	2	1
как раз	8	3
в своей	7	4
бориса и	3	1
карамзин есть	1	1
на возможность	1	1
о феодализме	1	1
годунове пушкин	1	2
из бориса	6	1
языке пушкина	1	1
на материале	1	1
писал в	1	1
напр у	1	1
с его	2	3
начале xix	1	3
этих двух	1	2
значения как	1	1
что она	1	1
в той	5	1
пушкина например	1	2
и я	2	1
о чем	5	1
но важно	1	1
и что	6	3
никакого успеха	2	1
в сей	1	2
этом стиле	1	1
фольклорный материал	1	1
у кюхельбекера	2	1
и все	1	1
в период	2	1
такие слова	1	1
или менее	2	1
года пушкин	3	1
раза на	1	1
между царем	3	2
представляет собою	1	2
трагедии был	2	1
через посредство	1	1
еще одно	1	1
и народом	2	2
и о	4	1
жизни и	1	1
к дельвигу	2	1
пушкина борис	1	1
себя и	1	2
трагедия пушкина	5	2
произведений пушкина	1	1
найти в	1	2
пушкина это	2	8
становится понятным	1	1
в царском	1	2
что эта	3	2
в них	2	5
с ума	1	1
только не	2	1
борисе годунове	32	40
в свет	5	1
место в	1	6
иметь в	3	1
этому поводу	2	2
и русская	1	1
что все	1	3
пушкина что	1	4
те же	1	1
ему все	1	1
сам же	1	1
борис годунов	28	26
не может	2	7
это имеет	1	1
если не	2	1
между царской	1	1
сцен в	4	1
связано с	1	5
там где	2	1
сказать что	2	4
мы видели	1	1
пимена о	2	1
тему о	1	2
пушкина о	2	2
в значении	4	1
еще до	4	1
в трагедии	17	6
не могло	3	1
вместе с	7	2
виде в	1	1
отвечал на	1	1
свое выражение	2	1
такого рода	2	5
по тому	1	2
большей части	1	1
а к	2	1
языке бориса	2	5
в том	27	20
языка с	1	1
места в	1	1
и который	2	1
ср у	3	1
в его	13	12
на почве	2	5
бюрократической монархии	1	1
его примечаний	1	1
и прочие	1	2
разного рода	1	1
с нею	3	1
говорится о	1	1
если принять	2	1
до меня	1	1
я считаю	1	1
о том	17	8
между тем	5	6
точно также	2	1
отношение к	1	4
возможно что	1	1
пути к	1	1
его не	3	2
и шуйского	1	1
пушкин и	9	3
на вопрос	3	3
было не	1	1
то обстоятельство	4	5
на то	2	5
занимает в	1	1
обратить внимания	1	1
в виду	7	2
свидетельствуют о	2	1
вышел из	1	1
слова бориса	1	3
уже о	1	1
время пушкин	2	2
которая не	1	1
в заключительной	2	1
пушкин получил	2	1
мы и	1	1
других источников	1	1
в литературном	1	1
в некоторых	2	3
быть не	1	2
о царе	3	1
что история	1	1
он писал	3	2
в духе	2	2
как мы	1	2
историк а	1	1
к которым	1	1
iii стр	1	1
может быть	2	19
известно что	1	2
находим в	2	1
и его	6	3
из следствий	1	1
что значит	1	1
в одной	2	2
в выборе	1	2
пушкин признавался	2	1
и боярством	1	1
бахчисарайском фонтане	8	1
что действующие	1	1
языке трагедии	2	1
отказался от	1	1
что как	1	1
годуновым не	1	1
х годов	1	2
этой почве	1	1
как его	1	1
в отношении	2	2
которую пушкин	2	1
простотою дают	1	1
давно уже	3	1
в устах	2	4
последнем отношении	1	1
стиха в	1	8
могу творить	1	1
вовсе не	6	2
себя внимание	2	1
можно назвать	1	4
была бы	5	4
его от	1	1
ответить на	1	1
не на	2	2
с тем	7	4
пушкина пушкин	1	1
здесь нет	1	2
от пушкина	1	1
который в	1	1
к власти	2	1
из этого	1	4
том смысле	2	2
пушкин в	5	10
на немецкий	7	1
здесь не	1	1
сумарокова кроме	1	1
несомненно является	1	1
бы в	1	1
своеобразия и	1	1
эти два	1	1
пушкин подражал	1	1
б в	2	3
и ему	1	1
не признавал	1	1
свой замысел	1	1
говоря уже	1	1
письмо пушкина	1	1
свою трагедию	12	3
из печати	2	1
трагедию на	2	1
языка пушкинской	1	3
которых в	1	1
со стороны	2	3
свою собственную	1	1
как он	2	1
не те	1	1
одно из	1	2
к образу	1	1
пушкина все	1	2
с автографа	1	1
языке самого	1	1
в литературных	2	1
что вы	1	1
нас к	1	2
в частности	4	1
как говорит	2	1
пребывания в	2	1
его повествованию	1	1
в каждой	1	2
т п	3	6
отчет в	1	2
на этой	1	1
евгений онегин	1	1
ответ на	1	5
по языку	1	2
не было	3	4
и очень	1	1
из рук	1	1
и тем	1	4
в эволюции	1	1
того чтобы	6	1
во внимание	2	1
области трагедии	1	1
годунов был	1	1
в своих	1	8
только в	2	6
в этой	2	14
годунова не	6	3
другой стороны	3	5
о борисе	3	2
т е	10	8
не могли	2	1
идет о	3	1
пушкина нужно	1	1
то и	1	2
в трех	1	1
всяком случае	3	4
и среди	1	1
с большой	1	1
к этому	4	3
диалог между	2	1
им самим	1	1
но для	1	1
над борисом	5	7
изображен как	1	1
как в	3	6
нет ни	1	1
до него	2	1
не случайно	1	1
во всяком	3	4
и не	9	10
что у	4	2
что трагедия	3	1
годунова до	1	1
легенду о	1	1
смущало современников	1	1
представляла собою	1	2
и вообще	2	1
таким образом	10	10
не говоря	1	1
отомстить за	1	1
своею иноческою	1	1
замечательно что	1	1
драматическая литература	1	4
в связь	1	1
века и	2	1
года в	3	2
пушкина с	7	5
по-французски и	1	1
тем что	3	19
мотивы в	1	1
же касается	1	1
уже в	1	3
с теми	1	1
русской трагедии	1	3
была подсказана	1	1
для самого	1	1
трагедии не	3	3
такое же	2	2
которыми пушкин	1	2
не только	19	12
первая глава	2	1
у фонтана	1	3
он не	9	5
в черновой	1	2
к борису	3	2
русских поэтов	1	1
академического издания	4	2
в слоге	1	2
xviii века	2	1
все эти	2	3
было указано	1	1
вот что	3	3
по содержанию	1	1
что из	1	2
это был	2	2
особенно в	2	1
в данном	2	1
в пределах	1	1
в истории	2	1
тем же	2	1
истории государства	2	1
на рубеже	3	1
с самого	3	2
драматического языка	6	1
в их	3	3
классическая трагедия	3	1
что когда	1	1
своих современников	1	1
т д	6	2
издания сочинений	2	1
не были	1	1
это обстоятельство	1	1
что является	1	1
выражение под	1	1
поэзии но	1	1
и смущало	1	1
и он	3	1
поэмы пушкина	2	1
вряд ли	3	1
важно отметить	1	2
на его	2	4
как на	9	6
как известно	2	1
трагедии пушкин	3	2
к тому	10	2
когда пушкин	1	2
в классической	2	1
пушкина по	2	1
как у	3	1
коротких сцен	1	1
ли ты	1	1
формы в	1	2
утверждать что	2	2
период работы	1	1
академии российской	2	1
в эту	3	4
в поле	1	1
интересно что	3	6
раньше чем	4	3
пушкин имел	2	1
историк и	1	1
существенно отметить	1	1
из них	3	1
и для	1	4
трагедией в	1	1
живом языке	1	1
размышления своею	1	1
в области	2	6
был автором	2	1
печатном тексте	1	2
а что	1	1
до конца	3	3
статье о	1	1
язык в	1	1
черновой редакции	1	2
пимена и	1	1
отличается от	1	4
в первом	1	1
обстоятельство что	4	5
данном отношении	1	1
речи борис	1	1
и эти	1	1
подчеркнуть что	3	3
по себе	3	1
не потому	2	2
идей и	1	1
не менее	3	2
повествованию всю	1	1
еще не	1	2
ни одного	3	1
в году	3	5
целый ряд	1	1
не столько	7	2
так в	1	1
сцене в	1	3
представляют собой	1	1
в конце	2	6
в черновике	1	1
дева жуковского	1	1
пушкина можно	1	1
того времени	4	3
к новым	1	1
годунова пушкин	1	1
здесь следует	1	1
тому что	7	3
а в	1	6
можно судить	1	1
с легендой	1	1
в статье	2	2
своей трагедии	12	4
том в	1	1
и более	2	3
в указанном	1	1
представляет собой	1	1
нравственные его	1	1
в каждом	1	4
нужно сказать	1	2
гости дорогие	1	1
в русской	5	6
трагедия не	2	1
на которую	1	1
годунов как	1	1
пушкина но	4	3
эти попытки	1	1
годунова на	1	1
остановиться на	1	1
очень важно	1	1
не связанный	1	1
дело в	4	1
поэтому и	1	1
по преимуществу	1	1
не годится	1	1
в своем	9	1
одного из	1	2
судить по	2	1
жанровые особенности	1	1
и на	6	6
трагедии которые	1	1
вплоть до	1	1
в сторону	1	1
литературного языка	2	1
к другу	1	1
копию с	1	1
в деревне	1	1
в польше	1	1
и последний	1	2
них как	1	1
знакомства пушкина	2	1
с которыми	1	2
что один	1	1
место из	2	1
так или	1	1
в двух	1	1
п в	1	1
который сам	1	1
к будущему	1	1
такое отношение	1	1
для того	7	2
была написана	1	2
издании бориса	1	1
властью и	2	1
как и	2	4
о рассказе	1	1
должен был	4	2
потому что	9	5
воспоминания в	1	1
поэтического текста	1	1
что для	1	3
у которого	1	3
царской властью	1	1
в самом	7	2
например или	1	1
а то	1	2
на том	1	1
трагедию пушкина	4	1
по этому	2	3
же время	1	3
выше было	1	1
чем борис	1	1
при его	1	1
по словам	4	1
смысле что	1	1
нужно отметить	1	2
поэтому в	1	1
