2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
душу а	1	1
имеется еще	2	1
и ночи	1	1
все же	9	6
его в	6	3
уже несомненно	1	1
так например	1	1
на дне	1	1
с полным	1	4
она ни	1	2
и тоже	1	3
вся эта	1	3
или ее	1	1
чем иным	2	1
цели и	1	1
и имеет	1	1
даже в	1	1
но тогда	1	3
из него	1	2
мы имеем	2	2
и к	4	6
всю ее	1	1
как о	4	5
мы читаем	6	2
а есть	1	1
таком случае	2	4
кроме того	2	3
некоторого рода	4	10
глубоко и	1	1
от нее	1	1
то мы	1	1
на существование	1	1
так и	7	10
чем не	1	3
только еще	3	3
и т	1	13
в ту	1	1
символ получает	1	1
является именно	1	1
когда мы	1	15
еще и	4	7
и у	5	2
и справедливости	3	1
у них	1	2
тем самым	1	5
то что	18	23
до некоторой	4	1
не как	1	1
в более	1	1
и от	1	9
с разными	1	1
не прямо	2	1
внутри него	1	1
никак не	8	9
а мы	1	2
мифологии но	1	1
есть символом	1	1
эти мифологические	1	1
от всякого	1	2
отвлечься от	1	1
бы то	2	4
к совершенству	1	1
в одном	3	1
тот факт	1	1
на который	1	1
иное как	3	4
в те	2	1
тому же	1	1
нет никакой	3	1
несмотря на	6	1
а скорее	2	1
нет никакого	3	4
это уже	2	3
говорил о	1	1
связи с	7	8
пока только	1	2
ни в	4	8
этом стихотворении	2	2
необходимо сказать	4	3
то время	3	4
к свободе	1	1
что в	5	8
нас в	4	4
собственно говоря	1	5
однако в	3	2
что их	1	2
в начале	3	2
и они	2	1
а как	1	2
в своей	22	5
как раз	5	8
все в	3	1
на первый	1	4
свой собственный	2	3
тоже имеет	2	2
и миф	1	1
символ здесь	2	1
понятии символа	1	1
как только	1	3
что она	1	1
бы и	1	1
что если	1	1
обратить внимание	3	1
о чем	1	2
себе в	1	1
и что	6	7
и все	9	3
модель и	1	1
никто не	1	2
которое указывает	1	1
и речи	2	1
человеческой жизни	2	2
представляет собою	2	1
и о	5	5
жизни и	2	6
как символа	6	2
но когда	1	2
это у	1	1
себе с	1	1
себя и	1	1
и притом	5	4
из которых	1	2
в них	2	1
образом как	2	1
мере не	1	1
раз только	1	1
не то	2	2
модель эта	1	1
а он	1	1
или иное	1	2
степени он	1	1
не может	5	7
могут быть	1	2
цельном виде	1	1
которого мы	2	1
и за	2	2
если не	4	3
там где	1	1
сказать что	9	16
то есть	21	34
отнюдь не	4	10
того или	1	6
вместе с	7	2
слова но	1	1
такого рода	2	6
в том	12	21
все прочие	1	1
в его	12	9
это просто	1	1
эту проблему	1	1
этот образ	2	1
и прочие	2	1
и земли	2	1
именно о	2	1
разного рода	4	2
сам собою	1	1
личной и	1	1
от того	1	2
о том	12	6
поздней античности	1	1
xx в	1	2
чем он	1	2
на месте	2	1
а никакого	1	1
его не	2	2
самое большее	1	1
то обстоятельство	1	1
в виду	3	10
который и	1	1
на то	2	3
который мы	1	1
на кавказе	12	1
которые здесь	1	2
в самой	3	2
да и	2	5
есть только	3	4
имеется в	1	4
не назвал	1	1
мы и	2	2
об этих	1	1
эта картина	1	2
является символом	2	3
не все	2	1
как мы	2	8
однако не	1	1
от своего	1	1
чтобы этот	1	1
не должен	1	1
находим в	2	3
может быть	7	28
и можно	1	2
то в	1	3
и его	6	5
результате этого	1	1
правда в	1	1
то понимание	1	1
то самое	1	1
только тогда	3	2
как его	1	1
в отношении	3	2
он состоит	1	1
были бы	1	2
и состоит	1	2
от которой	1	1
вовсе не	8	37
она не	1	3
себя самого	2	1
была бы	2	1
возражать против	1	1
для мифа	1	1
в тех	1	3
в виде	10	6
не на	1	1
с тем	5	5
стороны это	2	1
настоящее время	3	2
который в	9	2
ни было	1	3
мы встречаем	1	1
из этого	4	3
том смысле	1	3
и мощь	1	1
по всему	2	1
них мы	1	1
в символе	2	13
здесь не	7	8
он сначала	1	1
даже если	1	2
этот поэт	1	1
той или	1	12
от тех	1	2
бы в	1	2
ни о	1	3
другой же	1	1
и нет	2	2
иным как	2	1
это конечно	2	1
для них	3	2
же мы	1	1
и других	1	1
сравнении с	3	2
являются и	1	1
то чтобы	1	1
состоит из	1	5
i у	1	1
здесь были	1	1
есть с	1	2
в таком	2	5
нас к	1	2
что здесь	2	5
в частности	4	2
с которой	1	2
менее в	1	1
то он	1	2
не обладает	1	1
здесь можно	1	1
к самой	1	1
и даже	14	14
не было	1	5
и очень	1	3
значение но	1	2
и тем	3	9
