2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
во сне	1	2
мы опять	1	2
все же	8	4
его в	3	1
которые заставляют	1	1
в область	1	1
волка и	1	1
это совершенно	1	2
все дело	1	1
самой природе	1	1
к фабуле	1	1
из приемов	1	1
не ту	1	1
так например	2	1
раз противоположный	1	1
от действительности	1	1
не следует	1	1
том и	2	2
в одну	1	1
своих собственных	1	1
лессинг считает	1	1
басне о	4	1
станем разбираться	1	1
рассказа он	2	1
подобно тому	1	2
басенного сюжета	1	1
в собственном	1	1
и каждый	1	1
на основании	1	1
и вместо	1	1
человеке и	2	1
это утверждение	1	1
мы имеем	1	4
и к	3	3
каждый раз	1	1
и оно	1	1
нее в	2	1
с он	1	2
остается без	1	1
независимо от	1	1
того и	1	2
которое он	1	3
кроме того	1	1
лессинга и	2	3
прямо говорит	1	2
что при	1	9
иначе как	2	1
у всех	4	2
развитию и	1	1
создан его	1	1
имеет два	1	1
нашего исследования	1	1
сюжета который	1	1
так и	1	3
том виде	1	3
в другой	1	1
дело идет	1	1
они дают	1	1
частный случай	1	2
и т	14	10
как нельзя	1	2
при таком	2	4
действующие лица	1	1
басню он	1	1
когда мы	2	2
и у	1	2
один и	1	1
у них	2	2
что басня	15	11
тем самым	1	1
построения басни	4	3
самому существу	1	1
то что	35	21
но как	2	3
собой напрашивается	1	2
не как	1	3
отражение в	1	1
о собаке	1	2
никак не	7	4
чтобы у	1	1
бы это	1	1
имеет в	1	1
наряду с	3	4
согласии с	1	3
свое отражение	1	1
в одном	8	2
в свою	4	3
тот факт	1	1
идет не	1	2
тому же	1	1
в высшей	1	1
подходят к	1	1
несмотря на	5	4
той же	2	8
басни а	1	1
поэтической басни	6	3
если бы	14	6
та же	3	3
иначе говоря	5	4
к которому	1	2
нет никакого	2	1
мы получим	1	2
в сборнике	3	2
заключенное в	1	1
же точно	2	10
уже как	2	1
ни в	3	2
знаменитой басне	1	1
из двух	3	1
и которые	3	2
этом совершенно	1	1
и той	2	4
то время	2	3
как не	1	2
он с	1	2
басня потеряла	1	1
