4gram	Ircho_Komedia_partition_part2_wordlist_4gram	Ircho_Komedia_partition_part1_wordlist_4gram
к тому же в	3	3
случаях речь идет о	1	1
в тех случаях когда	1	1
и к тому же	1	1
в то время как	4	2
поставленный на ленеях г	1	1
на которые делилась аттика	2	1
комедии iv в в	1	1
iii в н э	1	1
женщины в народном собрании	1	1
последней трети v в	2	1
примеров может быть увеличено	1	1
внешней и внутренней политики	1	1
число примеров может быть	1	1
v начала iv в	1	1
а то и вовсе	1	1
в комедии iv в	1	1
была направлена одноименная комедия	1	1
в той же комедии	1	1
в годы пелопоннесской войны	3	1
не говоря уже о	2	2
бы то ни было	2	2
в то же время	4	3
на ленеях г и	1	1
основную массу аттического населения	1	1
между небом и землей	1	1
средние и мелкие землевладельцы	2	1
при марафоне и саламине	1	1
всей последней трети v	1	1
современных ей политических деятелей	1	1
обращает на себя внимание	1	5
