3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram
и в эдде	1	1
из того что	1	1
не только в	1	2
мы имеем и	2	1
что он состоит	1	1
случаях мы имеем	1	1
во всяком случае	2	1
в животное и	1	1
на побоище и	1	1
более позднюю форму	1	1
русской сказке в	1	1
в самарской сказке	2	1
о том что	2	4
этой точки зрения	1	1
на то что	1	2
друг с другом	1	2
вместе с тем	1	6
мы видим в	1	1
в этом случае	5	7
на самом деле	1	1
видим что в	1	1
видим в сказке	1	1
в том числе	1	1
все еще не	1	1
образом мы видим	1	1
как и в	2	2
и вместе с	1	2
здесь мы имеем	3	3
имеем и в	3	1
же как мы	1	1
герой просится в	1	1
и это делается	1	1
видим что герой	1	1
аф неи в	2	2
чем перейти к	2	1
в сказке в	1	3
наводит на мысль	1	1
и приходит к	1	1
нидерландской новой гвинее	1	1
имеется и в	1	2
к сожалению однако	1	1
но и здесь	1	1
что и в	2	2
мы видели что	3	2
можно привести множество	1	1
как мы увидим	1	3
на тот свет	1	1
в лесу и	1	1
в том смысле	1	1
речь будет ниже	1	1
на том что	1	2
в образе животного	1	1
или птицу и	1	1
эти материалы позволяют	1	1
но и в	1	2
что здесь мы	1	1
а именно на	1	1
подробнее мы это	1	1
можно наблюдать что	1	2
то обстоятельство что	1	1
и т д.<неи	1	2
и в сказке	1	1
появлением земледелия и	2	1
имеются не только	1	1
в иной мир.<неи	1	1
и здесь мы	2	1
мы легко узнаем	1	2
в том что	5	2
по воздуху и	1	1
в то время	2	1
же можно отнести	1	1
видели что в	1	1
аф вар герой	1	1
в книге мертвых	1	2
некотором государстве жил-был	1	1
в вятской сказке	4	1
свете приведенных материалов	2	1
животное или птицу	1	1
к этому же	2	1
мы это увидим	1	1
о превращении человека	1	1
frobenius б в	1	2
в иное царство	1	4
на мысль что	1	1
уже знаем что	1	1
тем не менее	5	4
в русской сказке	2	3
нашей сказке в	1	1
но вместе с	1	3
в соответствии с	1	1
в свете приведенных	2	1
так же как	1	3
в связи с	3	4
примеров можно привести	1	1
то же в	1	2
пребывание в животном	1	1
в свою очередь	1	1
для нас это	1	1
мы увидим ниже	2	3
это не совсем	1	1
во время обряда	1	2
этого мотива с	1	1
по отношению к	2	2
с другой стороны	7	8
в одной сказке	2	1
мы и здесь	1	2
бывшей нидерландской новой	1	1
вместе с ней	1	1
большую роль в	1	1
сюда же можно	1	1
что и здесь	2	1
между героем и	1	1
в сказке о	3	1
они и не	1	1
гл viii §	1	1
в него а	1	1
выше таким образом	1	1
он состоит из	1	1
все эти материалы	2	3
в другой версии	2	1
эти случаи показывают	2	1
в данном случае	3	2
не исключают друг	1	2
в бывшей нидерландской	1	1
но все же	2	4
уходит из дому	1	1
в этих случаях	7	6
к сказке и	1	1
здесь дело происходит	1	1
и на них	1	1
ко мне на	1	1
с появлением земледелия	2	1
можно утверждать что	2	1
русская сказка сохранила	1	1
в царство мертвых	2	1
мысль что и	1	1
мы здесь имеем	1	2
можно сказать что	1	1
с одной стороны	2	7
он попадает в	1	1
каждого из них	1	1
также то что	1	1
но тем не	2	1
можно бы думать	1	1
с переходом на	1	1
и русская сказка	1	1
этого мотива но	1	1
превращается в животное	1	4
как мы видели	5	1
точно так же	2	1
уже выше мы	2	1
мы должны будем	1	1
в ином мире	4	2
мы имеем здесь	1	2
так как в	1	2
своих детей и	1	1
в животное или	2	1
но эти случаи	1	1
что представление о	1	2
мы знаем что	1	4
этом случае мы	1	1
таким образом мы	2	2
мы уже видели	3	1
с самого начала	1	1
одним из них	1	1
связь с обрядом	1	2
исключают друг друга	1	2
мы до сих	1	1
что там где	1	1
не будем здесь	2	2
с тем что	1	1
до сих пор	5	2
однако так же	1	1
к заключению что	1	3
неи в этом	1	3
с точки зрения	1	1
может быть в	1	1
прежде всего мы	1	1
мы уже говорили	1	1
в некотором государстве	1	1
есть представление о	1	1
после того как	1	3
все совершенно ясно	1	1
т д или	1	2
выше мы видели	3	1
здесь еще не	1	1
это может быть	1	1
змей или кощей	1	1
в белуджской сказке	2	1
и входит в	1	1
и в других	2	1
что в пределах	1	1
очень сложное явление	1	1
же можно сказать	1	1
приходит к заключению	1	1
то время как	2	1
т е мы	1	1
мы не будем	1	2
таких примеров можно	1	2
и в русской	1	1
в американских мифах	1	1
подобно тому как	1	1
в нашей сказке	1	1
с этой точки	1	1
не может быть	1	3
с обрядом посвящения	1	1
в обрядах посвящения	2	1
мы уже знаем	2	1
выше указывалось что	1	1
в пермской сказке	6	1
и тем что	1	1
герой попадает в	2	1
в северной америке	1	1
на мелкие части	1	1
а затем уже	1	1
состоит в том	2	1
в обряде оно	1	1
и т д	15	18
там где уже	1	2
в некоторых случаях	3	2
мы видим что	4	4
на том свете	2	1
viii § неи	1	1
раньше чем перейти	2	1
б неи в	1	1
в некоторых местах	1	1
герой в этих	1	1
в царстве смерти	1	1
женщинам и непосвященным	1	1
