3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram	Losev_DialektikaMifa_partition_part3_wordlist_3gram
во-первых это есть	1	1
не могут быть	2	2
и пр и	1	1
живого человеческого опыта	1	1
она не есть	1	2
то что с	1	1
смысле не есть	1	1
не есть ни	3	6
одному тому что	2	1
же это может	1	1
во всяком случае	2	2
так что оно	1	1
кроме того есть	1	1
зрения мифического сознания	2	1
что она есть	3	1
о том что	5	4
от абстрактно-изолированных вещей	1	1
не есть догмат	5	4
но он всегда	1	1
будет значить что	4	1
что иное как	6	3
есть не больше	1	1
не есть бытие	2	1
формы проявления личности	1	1
итак миф не	2	1
в таком виде	1	1
в виду что	1	2
на самом деле	1	1
в одинаковой мере	2	1
не менее в	1	1
что время может	1	1
это и есть	2	1
что все на	1	1
т е только	1	1
в мифе нет	1	1
несмотря ни на	1	1
более или менее	1	2
не говоря уже	2	2
есть не только	2	1
за пределы мира	1	2
той или иной	2	1
что и в	1	1
ни на что	1	1
никогда не воспринимает	1	1
и в то	1	1
по своему существу	1	1
значит? это значит	2	1
при всем том	1	1
в таком случае	10	3
я не буду	3	1
можно понимать как	1	1
к тому что	2	1
в зависимости от	2	2
так что в	1	1
и в этом	2	1
от того что	1	2
как и все	2	2
в том смысле	1	4
вовсе не есть	5	2
тех или других	1	2
о чем говорить	1	1
живое существо а	1	1
проявления личности в	1	1
не только о	2	1
это есть в	1	1
это значит? это	2	1
том что все	1	1
и не может	1	1
и в частности	1	2
тогда получится что	1	1
когда мы говорим	1	1
не что иное	6	3
же как и	1	1
то что мы	3	1
по одному тому	2	1
а потому что	1	1
что не есть	2	1
но что же	1	1
в том что	3	6
в то время	4	3
миф от поэтического	1	1
с тех пор	2	2
это не значит	1	2
и говорить о	1	2
в каком смысле	3	1
имеется в виду	3	2
то же время	1	4
не то же	1	1
есть нечто и	2	1
ведь это же	2	1
одной стороны и	1	1
того или другого	1	1
можно только тогда	2	1
и делает ее	1	1
так как все	2	1
тем не менее	10	2
и даже в	1	2
я думаю что	1	1
но даже и	2	1
с диалектической точки	1	1
души и тела	1	1
вопрос о filioque	1	1
и прежде всего	3	2
и как бы	1	1
в связи с	1	4
иметь в виду	2	2
за живое существо	1	1
и то же	2	4
по крайней мере	5	9
научной точки зрения	1	1
так же как	2	1
антитеза субъекта и	1	1
бы то ни	1	1
с другой стороны	2	4
и следовательно не	1	2
чтобы она была	2	1
ни в каком	3	3
сам по себе	5	3
связи с этим	1	1
сознания и бытия	1	3
точки зрения чисто	1	1
сказать что она	1	1
у вас в	1	1
мы уже сказали	1	1
не больше чем	1	1
как только мы	1	1
никто никогда не	1	1
но все эти	1	1
есть и в	1	1
что она –	1	5
но как только	1	1
это не может	1	1
оно не есть	1	1
вовсе не в	1	3
в данном случае	1	2
что в мифе	1	1
выйти за пределы	2	1
короче миф есть	1	1
отнюдь не утверждаем	1	1
того и другого	1	1
это – не	1	2
есть не что	3	2
есть ли нечто	3	1
одно из двух	2	1
всегда есть слово	1	1
каком смысле не	1	1
это вовсе не	1	2
я не могу	1	1
бы только один	1	1
и слова о	1	1
с одной стороны	3	1
не есть вообще	1	1
не ставится вопрос	1	1
прежде всего –	1	1
что он –	3	1
от всего прочего	5	1
или по крайней	1	2
если их брать	2	1
в то же	1	3
диалектической точки зрения	2	1
в этом отношении	1	1
это не просто	1	1
кроме того и	1	1
т е в	4	3
а не сама	1	3
к тому же	2	1
точно так же	2	1
нет никакой возможности	1	1
только потому что	1	1
т д я	2	1
значит что она	1	1
того или иного	2	1
– дерево а	1	1
точки зрения мифического	2	1
и что такое	3	1
как не есть	1	1
по себе и	1	1
том смысле что	1	3
мы говорим об	1	1
в самом деле	5	3
их брать как	1	1
есть не просто	1	2
не содержит в	1	1
не значит что	1	3
это было бы	2	1
из двух или	2	1
до сих пор	1	2
сама по себе	4	7
что же будет	1	1
т е это	1	1
так или иначе	2	2
и не только	3	5
конечно не есть	2	1
в последнее время	1	1
не есть просто	4	1
это будет значить	4	1
том что в	1	1
с точки зрения	14	8
на что не	1	1
речь идет о	1	1
только лишь как	1	1
есть одно и	1	1
субъект и объект	2	1
говоря уже о	2	2
может быть только	1	2
тогда когда есть	1	1
по себе вовсе	1	1
не есть мифология	1	1
и к ним	1	1
– все равно	1	1
всякую грань между	1	1
ничем не отличаются	1	1
но это значит	2	1
это не только	1	1
содержит в себе	1	3
что догмат есть	1	1
в мифе личность	1	3
мы никогда не	1	1
все что угодно	1	1
время никогда не	1	1
это может быть	1	1
мы отнюдь не	1	1
о мифической отрешенности	1	1
личность проявляет себя	1	1
дело вовсе не	1	1
я бы сказал	1	1
время как миф	1	1
она всегда есть	1	1
т д не	1	2
угодно но только	1	1
миф никогда не	1	1
только как вид	1	1
уже сама по	1	1
идея и что	1	1
что он есть	3	1
отрешенность от абстрактно-изолированных	1	1
все это есть	1	1
реальности как таковой	1	1
что это значит?	2	1
субъекта и объекта	3	4
в мифологии и	1	1
крайней мере в	3	2
– все это	1	1
то время как	4	3
а не просто	6	1
то же самое	1	2
и даже не	1	1
не отличаются от	1	1
одно и то	2	4
всего прочего и	2	1
одна и та	1	4
подобно тому как	4	1
личность есть не	1	1
не забудем что	1	1
но о том	1	1
это значит что	21	8
все на свете	1	4
и пр в	1	1
ибо никто никогда	1	1
не есть вечность	1	2
и та же	1	4
не может быть	6	3
не в том	1	1
на свете есть	1	1
само по себе	5	2
но что такое	4	1
сами по себе	3	3
и историчен догмат	1	1
и тогда –	1	1
религиозным опытом и	1	1
д и т	5	2
и т д	23	15
в каком-то смысле	1	2
итак личность есть	1	1
тем или другим	1	2
но только не	1	1
как я показал	1	1
чтобы не было	1	2
и в том	1	1
мы констатировали что	1	1
от поэтического образа	1	1
только тогда когда	3	4
миф не есть	5	19
того что она	2	1
все это не	1	1
и стало быть	1	4
т е он	1	1
т е что	6	1
хорошо но что	1	1
все то же	1	1
вечности и времени	1	1
т д и	6	2
то это значит	4	1
