3gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_3gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_3gram
могут рассматриваться как	1	1
расставлялись по домам	1	1
к этому времени	1	1
во многих отношениях	1	1
ii кн vii	12	8
жизнь но и	1	1
скрупулезного изучения материалов	1	1
и должна была	1	1
имел заклинательное значение	1	1
в максимов описывает	1	1
как мы уже	1	1
можно было бы	1	1
в егорьев день	1	2
на святках подражали	1	1
во всяком случае	1	1
пели песни и	1	1
и перепрыгиванием через	1	1
в других праздниках	1	1
возжиганием огромных костров	1	1
о том что	4	4
на то что	1	1
вместе с тем	4	6
е ф карский	1	7
в передний угол	1	1
такие же сведения	2	1
м снегирев сообщает	4	3
что иное как	2	2
в этом случае	6	5
во многих местах	1	2
много насмешливых песен	1	1
афанасьев и другие	1	1
шейн сообщает что	1	1
в саратовской губернии	1	3
в виду что	1	1
вопрос о том	1	1
в древнем риме	1	2
в этот день	10	8
как и в	1	1
а п минх	1	1
здесь мы имеем	1	1
п в шейна	1	2
в другие сроки	3	3
и другие праздники	1	1
в последний день	1	2
о том же	3	1
как и другие	1	3
на весь год	1	1
период зимнего солнцеворота	1	1
не только как	1	1
так как это	1	1
на себя внимание	1	1
i ч с	4	1
что в их	1	1
сообщает что в	6	2
и другие обряды	1	1
а а макаренко	2	6
и м снегирев	7	9
что в этот	1	1
i ч №	2	1
макаренко о том	1	1
она как мы	1	1
может быть и	1	2
имеет место с	1	1
можно показать что	1	1
был записан только	1	1
тех случаях когда	1	1
сведения имеются из	1	1
на самом же	2	1
это имело место	1	1
как мы увидим	1	5
в западной европе	1	2
каждый из этих	1	1
и в этом	1	1
сообщает из сибири	1	3
последний день масленицы	1	1
речь будет ниже	1	1
кроме того в	2	1
от плача к	1	2
в это время	1	2
в которых имеются	1	1
взявшись за руки	3	1
снегирев iii и	1	1
огромных костров и	1	1
с таким же	1	1
в советское время	3	2
и с ней	1	1
в других местах	7	2
влияние на урожай	1	1
и чичеров в	1	1
не что иное	2	2
же как и	2	1
как можно больше	2	1
имели целью воздействовать	1	1
д к зеленин	3	5
костров и перепрыгиванием	1	1
же сведения имеются	1	1
в том что	18	15
в то время	2	1
в шейном в	1	2
но это не	1	2
н афанасьев в	1	1
к выводу что	1	2
что по представлениям	1	1
в xix в	3	10
торжественно вносилось в	1	1
ничего общего не	1	1
оставляет сомнений в	1	1
славян на природу	1	1
но и других	1	1
к этому же	1	2
как это имело	1	1
ивана купалы с	2	1
тем не менее	2	3
может быть назван	1	1
аграрных обрядовых празднеств	1	1
но вместе с	2	1
на этой неделе	1	2
как это делалось	1	1
не совсем точно	1	1
так же как	4	1
губернии что здесь	1	1
иметь в виду	1	1
то кто же	1	1
