2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
в последнее	1	1
отсутствие в	1	1
все же	2	8
его в	2	3
времени и	4	1
и весьма	2	2
и хорошо	1	1
необходимо чтобы	1	1
в предыдущем	3	1
а каждый	1	1
и всякого	2	1
существует только	1	2
начиная от	1	1
и тоже	2	3
не говорить	1	1
для меня	1	5
символ и	8	1
чем иным	2	1
здесь может	1	1
и независимо	2	2
она есть	1	1
помощи того	1	1
самому предмету	1	1
известном смысле	1	1
общего с	2	2
в значительной	2	3
и каждый	2	1
слова и	1	4
даже в	1	2
это вовсе	1	2
взятое само	1	1
мы имеем	6	1
и к	3	3
каждый раз	5	3
уж тем	1	5
к другому	1	1
степени но	1	1
в наших	1	1
независимо от	3	2
могут сказать	1	3
новое качество	1	1
как о	3	3
уж во	2	2
таком случае	1	10
кроме того	4	5
некоторого рода	2	7
и далее	1	1
что при	1	4
мы здесь	2	3
самое это	1	1
от нее	1	1
из таких	1	1
то мы	2	1
человеческом сознании	1	1
таковое в	1	1
как систему	1	2
так и	10	7
и ввиду	1	1
чем не	1	1
вещи и	1	2
только еще	1	1
и т	4	6
не является	10	7
уже давно	4	5
может обойтись	2	1
сказать это	1	1
когда мы	5	6
еще и	3	5
вещь не	1	1
без особого	1	1
думает что	1	1
или другой	3	5
есть нечто	9	7
в известном	2	1
тем самым	4	7
то что	15	38
но как	3	6
сейчас в	1	1
отражение в	1	1
что тут	1	1
в каком	6	4
и от	6	3
пожалуй даже	1	2
никак не	4	11
с понятием	1	2
существует но	1	2
то такая	1	1
сейчас мы	1	1
на бесконечное	1	1
от всякого	1	2
множество других	1	1
бы то	1	2
тоже по	1	2
а потом	1	1
в одном	4	1
уже самого	1	1
иное как	2	3
нет никакой	4	2
требует доказательства	1	2
несмотря на	4	3
является только	2	3
но например	1	1
если бы	8	4
общей форме	1	1
нет никакого	3	1
связи с	3	5
же деле	2	1
ни в	17	6
необходимо сказать	3	6
между собой	2	5
то время	2	1
что в	3	11
одной категории	1	1
не всякий	3	1
нас в	1	3
он является	1	2
о самом	1	1
как раз	4	8
не указывает	1	1
нашего сознания	1	2
уже и	3	3
но если	6	4
которые являются	1	1
входить в	1	2
на первый	1	4
в основе	1	3
другого а	1	1
с его	2	1
значения этого	1	2
отношений то	1	2
диалектического понимания	1	1
что понятие	3	1
этих двух	1	1
лет назад	2	3
и больше	2	1
буквальном смысле	2	1
что она	4	4
в той	8	2
не знаем	1	3
бы и	3	7
о чем	1	6
что если	1	4
себе в	3	2
работу и	1	1
зависимости от	3	2
и что	2	13
которыми мы	1	1
всего этого	1	1
этом мы	2	1
в буквальном	3	1
самого предмета	1	2
и все	8	5
мы скажем	1	3
и логика	1	1
или менее	2	4
есть тоже	2	3
никто не	2	3
то для	3	1
бы мы	1	2
частей на	1	1
нам кажется	2	2
представляет собою	1	1
или иные	4	3
лишенный всякого	1	1
которая и	1	2
и о	5	4
это такого	1	1
еще только	2	1
но отнюдь	1	1
раз навсегда	1	1
спросим себя	1	2
все другие	1	2
ввиду их	1	1
если уж	1	1
и притом	2	3
из которых	3	2
что эта	1	1
ничего общего	5	3
в них	5	2
кажется что	2	1
только не	4	3
данную вещь	1	4
иметь в	1	1
этому поводу	1	2
не есть	12	33
мере не	5	1
и так	1	1
это то	1	5
не то	2	2
и ни	5	3
сам же	1	1
что все	1	6
не может	5	13
данного момента	1	1
если не	3	4
сказать что	7	24
здесь будет	1	1
не всякое	1	2
то есть	27	39
но который	1	2
отнюдь не	10	5
семантических оттенков	1	2
того или	3	7
