4gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_4gram
заключается в том что	4	13
понятий в школьном возрасте	3	2
ребенком в готовом виде	1	1
в том числе и	1	2
друг с другом не	1	1
состоит в том что	3	3
но вместе с тем	1	2
между тем и другим	1	1
в настоящей книге и	1	1
такой же мере опирается	1	1
сторонами одного и того	1	1
в самом деле если	1	1
в основе которых лежит	1	1
уже по одному тому	1	1
в школьном возрасте и	1	1
не что иное как	1	1
между обучением и развитием	11	2
развития научных и житейских	1	1
что научные понятия не	1	1
заканчивается а только начинается	2	1
единого процесса образования понятий	1	1
одно и то же	1	6
но и что оно	1	1
а с другой стороны	1	1
согласно которому научные понятия	1	1
на первый план в	1	2
развития в школьном возрасте	2	1
мы уже говорили выше	1	2
тот момент когда ребенок	1	1
по одному тому что	1	1
неспонтанных в частности научных	1	1
в том виде как	1	1
в том смысле что	1	1
одного и того же	3	5
в том что в	2	1
с этой точки зрения	4	4
процессе собственного опыта ребенка	1	1
и подобно тому как	1	1
было бы чудом если	3	1
в тот момент когда	2	1
в то время как	4	1
раньше усваивает слово цветок	1	1
бы чудом если бы	3	1
житейских и научных понятий	1	2
не повторяет пути развития	1	1
все более и более	1	2
в школьном возрасте есть	1	1
и с практической стороны	1	1
одни и те же	1	3
с одной стороны и	1	2
одной и той же	1	4
и не делает никаких	1	1
что в свою очередь	1	1
понятия мы могли бы	1	1
один и тот же	3	7
взаимного влияния этих двух	1	1
к одному и тому	2	4
в частности научных понятий	1	1
не заканчивается а только	2	1
спонтанные и неспонтанные понятия	1	1
проблемы обучения и развития	5	2
одной из основных задач	1	1
в ином отношении к	1	1
мы могли бы сказать	2	2
мы видим что все	1	1
и в частности научных	1	1
за отбрасывающим ее предметом	1	1
что сила и слабость	1	1
как тень за отбрасывающим	1	1
внутренние и внешние условия	1	1
мы видим таким образом	1	4
понятия не заканчивается а	1	1
процессы обучения и развития	1	1
в собственном смысле слова	1	1
в равной мере и	1	1
но само по себе	1	1
так же как и	1	4
не имеют ничего общего	1	1
в такой же мере	3	1
двумя сторонами одного и	1	1
усваивает слово цветок чем	1	1
одному и тому же	2	4
в том что он	2	1
в этой области является	1	1
же мере опирается на	1	1
в процессе собственного опыта	1	1
тем что должно быть	1	1
в том что ребенок	1	2
прежде чем перейти к	1	1
научных и житейских понятий	4	1
только в том что	1	2
неспонтанных и в частности	1	1
обучения и развития в	1	2
тень за отбрасывающим ее	1	1
видим таким образом что	1	4
на вопрос о том	2	1
с логической точки зрения	1	2
в школьном возрасте в	1	1
понятий но что они	1	1
но прежде чем перейти	1	1
он заключается в том	1	1
имеют ничего общего с	1	1
заключается в том чтобы	1	1
могли бы сказать что	1	2
