2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
которым приходится	1	1
есть как	2	2
во сне	2	1
мы станем	1	1
скрыть то	1	1
все же	4	5
его в	1	3
мы опять	2	1
которые заставляют	1	1
раз наоборот	1	1
речи и	1	1
времени и	1	2
жизнь а	1	1
все дело	1	2
смотреть на	1	1
к фабуле	1	1
это совершенно	2	3
так например	1	4
от действительности	1	3
не следует	1	1
том и	2	1
в одну	1	1
человека который	1	1
что ему	1	2
подобно тому	2	1
она есть	1	2
автор начинает	1	1
общего с	1	1
и каждый	1	1
этом как	2	1
делается совершенно	1	1
что им	1	1
и вместо	1	1
эмоционального действия	1	1
мы имеем	4	2
и к	3	2
конечном счете	3	1
к другому	1	1
наглядным образом	2	1
с языка	1	1
дальше не	1	1
того не	2	2
независимо от	1	1
художественную форму	2	1
а есть	1	1
таком случае	1	1
которое он	3	1
всем его	1	1
такое впечатление	1	1
это понятие	1	1
мы совершенно	1	4
что при	9	2
с мы	1	1
иначе как	1	1
таком понимании	2	1
чтобы выразить	1	1
на язык	1	1
читателя при	1	1
это скрыть	1	1
нашего исследования	1	1
его и	1	2
так и	3	3
решительно все	1	1
к составляющим	2	2
в другой	1	1
как стих	1	1
и т	10	6
искусства которое	1	1
это легко	1	2
как нельзя	2	2
при таком	4	3
нас от	1	3
так называемый	1	1
действующие лица	1	1
когда мы	2	6
тому который	1	1
и у	2	1
за пределы	1	1
чем все	1	1
он же	1	1
указывали на	1	1
и почему	1	2
приходится иметь	4	1
только от	1	1
то что	21	44
но как	3	1
тем самым	1	3
сущности говоря	4	2
в каком	3	8
творчества в	2	1
исследования в	1	1
нам это	1	1
и от	2	2
чтобы сделать	1	2
взятый сам	1	1
из того	2	1
никак не	4	6
не один	1	1
психологических объяснений	1	1
бы это	1	3
себе так	1	1
имеет в	1	1
не сделано	1	1
в особенности	2	1
его так	1	1
от всякого	1	1
и каким	1	1
легче всего	3	1
бы то	2	2
согласии с	3	1
в одном	2	3
в свою	3	1
тот факт	1	1
художник не	1	1
иное как	1	1
тому же	1	3
подходят к	1	1
несмотря на	4	1
гамлет медлит	1	4
той же	8	4
понимать как	1	1
является только	1	1
если бы	6	10
иначе говоря	4	2
та же	3	3
к которому	2	1
мы получим	2	3
нет никакого	1	1
связи с	1	2
заключенное в	1	1
же точно	10	7
ни в	2	3
и той	4	2
то время	3	2
как не	2	1
что в	20	21
совершенно очевидно	1	1
гамлет не	1	8
в руках	2	2
правильнее сказать	1	1
этой цели	1	2
и будем	2	1
двух противоположных	1	2
допустить что	2	1
но совершенно	3	4
а как	1	2
за ним	1	1
в своей	3	4
который говорит	1	3
как раз	5	9
нашего сознания	3	1
но если	1	3
которое было	1	1
друг с	1	4
все в	1	1
же самая	1	1
в основе	11	3
напротив того	1	2
очень легко	1	4
же с	2	1
с его	2	2
первый раз	2	4
как только	2	2
понимать только	1	1
не производит	1	1
что она	16	10
бы если	1	1
бы и	3	2
в той	1	3
этот закон	1	2
было совершенно	1	1
что если	6	3
он эту	1	1
и что	22	25
два разных	1	1
умирает и	1	2
эти три	1	2
на самый	2	1
и все	4	12
что самое	2	5
содержания и	2	1
которое мы	1	1
на этот	2	3
сюжета и	1	2
и повторяет	1	1
бы мы	1	3
и заключается	3	1
или иные	1	1
и другую	1	3
что на	4	1
и о	1	4
жизни и	4	4
он начинает	1	2
себя и	1	1
для чего	1	4
найти в	1	1
сейчас же	5	16
из которых	2	3
король и	1	1
что эта	1	6
в них	2	2
не имея	1	1
что форма	4	2
только не	1	2
этот разговор	1	1
место в	2	2
толстым в	1	2
для понимания	1	2
на деле	8	1
это то	2	3
в основу	1	3
те же	6	2
и так	3	4
не то	1	4
действия и	2	2
как звуки	1	1
что все	9	11
житейской правдоподобности	1	1
понятно что	2	3
не может	17	10
которого мы	3	1
в несколько	1	1
и за	1	3
разработать психологию	1	1
это если	1	1
иметь дело	4	2
там где	2	1
сказать что	7	13
то есть	21	13
не затемняет	1	1
вместе с	2	8
медлительности а	1	1
он должен	1	1
такого рода	1	1
таких трех	1	1
что шиллеру	1	1
мы знаем	7	2
в том	37	21
психологии и	2	1
этого материала	2	1
в его	2	10
верно что	1	2
в нас	3	1
происходит не	1	1
даны в	2	4
на две	1	2
мы имели	1	1
это можно	2	1
и другим	1	2
и может	1	5
с конца	1	2
из всего	1	1
надо сказать	2	3
совершенно невозможно	1	1
мы конечно	1	1
о том	6	20
между тем	4	1
опять совершенно	2	1
совершается в	1	2
трагедия что	1	1
моментов в	2	1
его не	1	2
противоречие с	2	1
с вот	2	1
материал как	1	1
то обстоятельство	1	1
в виду	3	2
на то	11	10
который мы	1	1
в самой	2	6
выразительное значение	1	1
есть от	1	1
есть только	5	2
что задача	1	1
направленных на	1	1
мы и	1	1
утверждал что	1	1
его словам	1	1
в некоторых	1	1
быть не	1	2
что ее	1	2
главным образом	3	1
как мы	1	4
однако не	2	2
так чтобы	1	2
относится к	3	1
может быть	18	22
другом случае	1	1
и его	7	5
бесспорно что	1	1
с или	1	2
в европейской	1	1
произведения и	1	1
нужно было	1	1
с совершенной	1	2
у читателя	1	1
с таким	8	2
однако мы	1	2
согласны в	1	1
мы получаем	2	1
в отношении	3	1
на нас	3	4
эту мысль	1	1
были бы	3	1
вовсе не	2	5
она не	2	3
самый материал	1	1
можно согласиться	1	1
совершенно иное	1	1
мы воспринимаем	1	1
есть не	4	1
была бы	2	2
его от	2	1
искусства в	5	1
в тех	1	2
одну тему	1	1
в виде	1	3
не на	2	2
с тем	11	4
совершенно верно	2	6
это есть	1	1
сам не	1	1
ни было	1	1
только один	1	1
обратиться к	1	3
из этого	4	5
заставляя его	1	1
и верно	1	1
ли он	2	2
от тех	1	1
бы в	1	1
увидим что	2	3
и было	1	1
вслед за	5	3
а о	1	1
чувств и	1	1
так называемое	1	1
к которой	2	3
эти два	1	1
бы приблизительно	1	1
показать как	2	2
на которых	2	1
тот же	6	3
могло быть	1	1
это конечно	1	1
же мы	3	2
и других	3	4
со стороны	1	2
то чтобы	2	2
как он	2	5
тем как	1	1
мы хотели	1	1
мы встречаемся	1	1
весь свой	1	1
в таком	2	4
в стих	1	2
в частности	3	4
их основного	1	1
как говорит	3	2
ряд исследователей	1	1
нет ничего	1	1
в первый	2	3
мы примем	1	1
совершенно обратный	1	1
и до	4	3
т п	8	3
всякий раз	2	6
поймем почему	1	1
и даже	5	1
от этой	1	1
и очень	1	1
но ведь	1	1
нам не	1	1
это произошло	2	1
еще раз	1	3
и гамлет	1	4
шкловский и	1	1
того чтобы	14	22
не остается	2	1
привело к	1	1
то это	3	3
