2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_2gram
и сами	1	2
поэтической конструкции	22	7
все же	8	6
отлично от	1	1
его в	3	7
вытекает из	1	2
является по	1	1
именно на	3	2
все дело	3	1
от всех	2	4
оставаясь в	1	1
от действительности	1	1
не следует	4	3
что тристрам	1	1
внеположной сознанию	1	3
всею полнотою	1	1
пришли к	1	3
от единства	1	1
формалисты не	4	2
есть литература	1	1
в собственном	1	1
выражение в	1	1
всего определяется	1	1
в значительной	3	1
не от	1	2
менее всего	3	4
слова и	7	4
даже в	2	2
литературного факта	1	2
существенно и	1	1
а от	1	1
мы имеем	1	1
к другому	2	2
виду что	1	2
самое понятие	2	3
от этих	2	2
готового материала	1	1
независимо от	4	5
как о	4	2
в развитии	2	1
является и	1	2
таком случае	1	1
кроме того	2	1
именно для	1	2
всякой методологической	1	1
иметь место	1	1
рассказываемого события	1	1
помощью каких	1	1
остается рассмотреть	1	1
художественную конструкцию	3	1
мотивировку для	1	2
исполнения и	1	3
конструкции в	1	2
так и	8	21
предмета а	1	1
и т	14	11
не является	3	5
дело идет	4	3
при таком	1	1
от субъективного	1	2
конструктивные функции	2	1
конечно при	1	1
для формалистов	5	3
период развития	3	1
за пределы	1	2
один и	1	1
в последнем	1	2
них символ	1	1
с читателем	1	1
тем самым	2	1
формалисты в	2	1
то что	6	8
самой поэтической	1	1
не как	4	2
в каком	1	2
всякое высказывание	2	3
с эстрадой	1	1
и от	2	11
не останется	2	2
им в	1	1
элементы художественной	2	1
замыкается в	1	1
из того	1	1
основы их	1	1
этого становления	1	2
от жизненно-практического	2	1
возникает вопрос	1	1
маленьким художественным	1	1
отвлечься от	3	1
в эти	1	1
должна быть	5	3
бы то	1	4
идет не	1	2
творчества и	1	3
в чисто	1	2
в высшей	4	2
произведения а	3	1
общения произведение	1	1
той же	1	3
является только	1	1
лишь для	4	5
если бы	5	12
та же	2	1
к которому	1	2
связи с	13	5
может иметь	1	2
из грамматических	1	1
его значением	1	1
ни в	2	8
е его	1	1
остается подвести	2	1
сделать вывод	1	1
это построение	1	1
к одному	1	1
что в	7	8
как не	1	2
теории формализма	1	1
формалисты и	3	5
совершенно очевидно	1	1
в руках	1	1
как мотивировка	1	4
но отсюда	2	1
все без	2	3
он является	1	2
же является	2	2
в своей	7	6
к сожалению	2	1
как раз	6	8
одного к	1	1
но если	1	2
все в	1	1
на первый	2	1
наивным образом	1	1
в основе	5	3
и отбора	1	1
с его	11	2
произведения является	1	2
этой игры	1	1
формалистов к	2	1
под эту	1	1
этом случае	1	1
элемент художественной	1	2
все более	2	1
в той	2	3
о чем	1	1
себе в	1	1
зависимости от	3	5
приема в	2	2
всего этого	5	1
взяли мы	1	1
дело а	1	1
еще одну	2	1
формалистической истории	1	1
не происходит	2	1
и все	3	8
лишь поскольку	1	1
на что-то	1	1
конструкции поэтического	1	1
и речи	5	2
художественная конструкция	2	1
нам кажется	1	2
равнодушного к	1	1
развития литературы	1	5
общения между	1	1
и о	2	1
жизни и	3	4
общем можно	1	1
единства и	2	3
настойчиво подчеркивают	1	1
из становления	1	1
содержание и	1	2
и притом	1	2
ни взяли	1	2
изучаемого объекта	3	1
как внеположной	1	2
что эта	2	1
в них	1	3
кажется что	1	2
пр являются	1	1
поэтическом произведении	1	2
это положение	2	1
место в	3	10
для понимания	6	1
иметь в	1	1
говорить лишь	1	1
на лингвистику	3	1
не есть	3	4
в основу	2	2
те же	1	3
и так	1	1
лингвист отвлекается	1	1
