2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram
все же	4	6
его в	1	3
является по	1	1
подобно тому	2	1
говорит против	1	1
так точно	2	1
в развитии	26	24
именно для	1	1
мышлением и	7	1
с необходимостью	1	2
интеллектуальную операцию	1	1
не является	9	8
в известном	2	4
то что	20	15
вещи наряду	1	1
основной вывод	1	5
своих исследованиях	1	1
эту черту	1	1
наряду с	2	3
для развития	1	3
следует за	2	1
рода принадлежало	1	1
тому же	1	1
или на	1	1
языка у	2	1
несмотря на	4	1
мышления и	16	23
отношении ребенка	1	2
связи с	9	9
и которые	1	3
между собой	1	13
и той	2	2
речи к	7	1
однако в	1	2
смысле в	1	1
уже и	2	1
эти фигуры	1	1
как возникает	3	1
или об	1	1
на первый	1	2
которые являются	1	2
речевого общения	1	4
принадлежало свое	1	1
все более	1	2
имеет свое	2	2
различные корни	2	1
не происходит	1	2
иеркса и	1	1
и речи	13	20
из которых	3	5
или нет	1	1
вещь имеет	2	1
не есть	1	3
действия и	3	1
понятно что	2	1
могут быть	2	5
формы поведения	2	1
из которого	1	1
связано с	1	1
позволяет нам	1	1
общее значение	1	1
свое имя	3	1
у другого	1	1
и одновременно	1	2
в его	2	15
все равно	2	1
той и	2	1
через эгоцентрическую	2	1
и может	1	2
т.д но	1	1
в процессах	1	1
же решительно	1	1
который мы	1	2
другом месте	2	1
да и	1	1
во всей	5	1
но сама	1	1
развития детского	7	2
что задача	1	2
их ассоциациями	1	1
к которым	4	4
по мере	1	1
не можем	3	3
были бы	2	3
этот раз	1	1
внутренняя речь	3	5
речью в	2	1
между ребенком	1	2
вовсе не	6	1
ребенка эта	1	1
мышления только	1	1
ни было	1	2
переход к	1	1
всего как	1	1
за собой	2	1
этого момента	1	2
для ряда	1	1
бы в	1	2
т.е по	2	1
в мышлении	2	11
от речи	4	3
сравнению с	5	3
действий и	1	1
мышлении взрослого	1	1
а вместе	1	1
слова которые	1	1
всех форм	1	2
уже сказано	3	5
связаны между	1	1
перед ним	1	3
как говорит	2	5
не обладает	1	1
вывод который	1	1
другой стороны	1	3
отношению к	5	2
что уже	1	1
к выводу	6	2
то и	1	4
в роли	1	2
предмету какого	1	1
способы мышления	1	1
к этому	4	3
первых дней	1	1
но для	2	1
говорит не	1	2
и не	7	10
и интеллектом	1	1
нам придется	1	1
таким образом	14	17
и речью	6	1
связанные с	1	2
тогда когда	5	4
тем что	2	8
интеллектуальных операций	2	4
функции являются	1	1
и мышления	3	2
окружающими его	1	2
смысле этого	3	4
что каждая	2	1
комплекс т.е	1	1
все эти	3	7
вот что	1	1
эту пору	3	2
связи или	2	2
для всего	2	2
в данном	3	1
с самого	1	6
мы находим	6	1
что является	1	2
в ход	1	4
возникновения и	3	1
и филогенеза	1	1
как известно	6	3
и этот	1	1
перед нами	2	10
как если	1	1
своем развитии	2	1
говорили выше	2	2
быть может	2	1
сами по	1	3
до конца	1	1
ребенка уже	1	1
отличается от	1	3
значением которое	1	1
человеческой речи	12	1
целым рядом	1	2
существенным для	1	2
прежними исследованиями	1	1
помощью этого	1	2
следующем виде	2	1
величайшее открытие	1	3
своей природе	1	1
и отношение	1	2
эти законы	1	1
в поведении	2	5
вообще как	1	1
в своем	9	4
одного из	1	2
эгоцентрическая речь	10	4
не по	1	1
не являются	1	1
речи с	5	1
в психологии	1	1
и оказывается	1	1
здесь этот	1	1
выводов к	1	1
детского мышления	23	8
как и	6	15
слова ребенка	2	1
с такой	2	1
речи или	2	1
и сообщения	1	2
ребенка являются	1	2
внешней структурой	1	3
поэтому в	1	2
при объяснении	3	1
и в	15	25
при определении	1	1
они вместе	1	1
о факторах	1	1
доречевую стадию	1	1
но не	3	6
развитии детской	2	1
одновременно с	1	1
речи то	1	1
для нас	4	2
его людьми	1	2
степени важные	1	1
первых слов	6	2
или к	2	1
раз когда	1	1
по существу	5	1
не позволяют	1	1
который не	1	1
с этим	3	4
ступенью в	1	2
но это	1	5
процесс развития	3	2
принять за	1	1
в одних	1	1
весь процесс	1	6
когда он	3	3
вообще в	2	1
общего правила	1	1
ребенка но	1	3
человека к	2	1
которые устанавливаются	1	1
способен еще	1	1
здесь в	1	1
должно быть	2	2
года жизни	1	3
функции и	1	2
того как	4	3
бы быть	1	2
более или	2	1
заключающееся в	1	1
мы получили	1	3
нам остается	1	1
прежде всего	4	4
указывает на	2	2
случае существует	1	1
эти момента	1	2
простое пользование	1	1
с самых	1	1
ступень в	3	7
включает в	1	2
ребенка есть	1	1
возникает на	1	2
основных чертах	1	1
речи окружающих	1	1
в зависимости	6	5
что наконец	2	1
слов которые	1	1
совершенно так	1	2
мысль что	6	1
можно видеть	1	1
генетические корни	3	4
постольку поскольку	1	2
в результате	3	3
ее другими	1	1
до наступления	1	1
для той	1	1
когда ребенок	2	2
ребенок сам	2	1
вид мышления	1	1
все что	5	2
с этой	2	3
об этом	3	2
в совершенно	4	2
будем иметь	2	1
ассоциациями а	1	1
корни мышления	1	2
развитие и	1	1
символической функции	2	1
с точностью	2	1
отношения и	1	1
ней но	1	1
значение для	4	1
открытия секунду	1	1
что ребенок	8	7
характерного для	1	1
едва ли	7	2
т.е с	1	1
чем она	1	1
глухонемых детей	1	1
а происходит	1	1
то же	5	2
этот факт	1	1
у высших	1	2
могло бы	1	4
нечто принципиально	1	1
другими словами	1	1
мы могли	4	9
эту тенденцию	1	2
что нам	4	1
в свете	1	2
в опытах	2	1
реакций ребенка	1	1
нас сейчас	1	2
помощью которых	1	7
не объясняет	2	1
мы видим	4	3
но мы	3	1
развития мышления	3	5
в течение	2	2
поведения и	1	1
экспериментального анализа	1	3
основное положение	2	1
может лежать	1	1
примитивного человека	2	1
один из	1	6
через шепот	1	2
экспериментального исследования	1	2
истории развития	3	1
с точки	18	1
к этим	1	1
форм мышления	1	2
но в	6	1
не имеет	4	1
могла бы	1	1
сих пор	1	1
между словом	1	1
всей нашей	1	1
животных и	3	2
которого он	1	1
о которых	3	1
независимы от	1	1
все процессы	1	1
в другом	2	1
речь ребенка	8	1
все основания	1	1
в котором	2	3
для него	3	5
ребенок начинает	3	2
по выражению	1	1
реакций в	1	1
других авторов	1	1
этой проблемы	2	2
с объективной	1	2
можно было	5	6
со всей	4	2
и это	3	4
в тот	1	1
этот вывод	2	3
мы сумеем	4	1
а следовательно	1	1
ничего общего	1	3
в последнее	4	3
так называемая	1	4
связь с	2	3
менее всего	1	1
за него	1	1
речи только	1	1
речи по	1	1
отношении но	1	2
о которой	1	1
внешней речи	3	6
это скорее	1	1
от второго	1	1
с мы	3	4
же типа	1	2
существенную роль	1	1
речь внутренняя	1	2
границу отделяющую	1	1
основного положения	2	1
приводит автора	1	1
и от	1	2
с в	4	1
из того	4	2
бы это	1	1
возраста вопросов	1	1
в интересующей	1	1
в одном	2	2
той же	2	4
иначе говоря	2	2
прийти к	2	1
является определяющим	2	1
интеллекта у	1	1
является продуктом	1	1
может рассматриваться	3	1
имеет никакого	1	1
друг от	2	1
в начале	4	2
друг с	2	5
на других	1	1
с его	4	2
не знаем	1	1
открытие символической	1	1
бы и	3	1
между мышлением	5	3
в той	1	1
ребенка то	1	1
в применении	2	1
и все	3	4
проб и	5	1
на этот	6	2
и заключается	1	2
развитии мышления	5	7
что эта	6	1
в них	4	2
животных но	1	1
но тем	1	2
исходящие из	1	1
это называется	1	1
там где	6	4
внешней к	3	1
к внутренней	5	2
ко всем	1	1
отнюдь не	2	4
в том	33	23
мы знаем	7	4
первая из	1	1
с развитием	4	2
как они	1	2
способа мышления	1	6
от того	2	4
с ребенком	1	2
на вопрос	4	1
основным для	1	1
становится психологически	1	1
что между	2	1
как мы	6	8
социальная среда	3	1
в сфере	1	2
что как	3	2
и обратно	2	1
как его	1	1
в отношении	6	6
употребление знака	3	3
многих других	1	1
у животных	6	3
есть не	1	1
практической проверке	1	1
к установлению	3	2
в виде	1	3
те две	1	1
секунду которого	1	1
обратиться к	1	1
его развитие	1	1
исследований келера	1	1
тот же	7	2
последнее время	5	3
она становится	1	1
как он	6	3
между знаком	3	2
несостоятельности этого	1	1
одно из	1	1
наталкивается на	2	1
самых первых	1	1
не встречает	1	2
рассматриваться как	3	4
каждая вещь	1	1
ребенка совершенно	1	1
целом но	2	1
в своих	1	2
речи мы	4	1
мышление ребенка	7	2
их развития	1	2
мышление взрослого	1	1
материал и	1	1
причину в	1	1
видеть в	1	1
от этого	2	6
в связь	1	2
же момента	1	1
ребенка от	2	1
с так	1	1
ребенка и	4	17
уже в	5	7
в жизни	1	3
по аналогии	1	1
на другой	1	1
желания и	1	1
структурных изменений	1	1
стадии своего	2	1
ребенка в	10	12
особенно в	1	1
развитии и	1	1
ребенка это	3	1
тем мы	1	1
и потому	1	2
и ошибок	5	1
речь эгоцентрическая	2	1
это обстоятельство	2	3
и он	1	1
как на	1	2
развитие ребенка	2	1
по различным	2	2
с их	2	2
на основе	7	22
различным линиям	2	2
в уме	1	1
генетическом отношении	2	3
из них	3	4
с другом	2	5
другой с	1	1
в области	1	7
гласящего что	1	1
которого можно	1	1
различные генетические	2	1
у ребенка	15	19
для экспериментального	1	1
привести к	1	1
речи которая	2	1
же самое	2	1
но на	3	3
взрослыми и	1	1
речи чем	1	1
представляет собой	2	6
речи от	2	1
развитии речи	11	5
иную функцию	1	1
за то	2	1
учении о	5	1
и на	1	6
в ходе	1	1
в объяснении	3	1
речевое мышление	1	2
к другу	1	1
его мышления	1	3
чтобы они	1	1
идет по	1	1
словами мы	1	1
вообще не	1	1
различные линии	1	1
для того	10	7
факт что	1	5
тому как	2	2
в самом	11	3
ожидать что	1	1
по этому	6	3
видит в	2	1
никогда не	8	4
почти исключительно	1	1
высших обезьян	1	1
связаны с	1	3
так же	4	17
и самый	2	1
без всякого	2	1
так что	1	2
указав на	1	1
социальной средой	2	1
ступени ее	1	1
значительно позже	1	2
имеет различные	1	1
не в	8	6
говоря о	1	1
направленной на	1	2
это делают	1	1
форма мышления	1	1
и во	1	2
для которого	3	1
же по	1	1
являются как	1	1
как это	6	7
для ребенка	9	10
нами в	1	2
время является	1	1
речь в	3	2
с чем	1	1
исходить из	1	1
скажем только	1	1
мышления которая	2	3
и наблюдения	3	1
для этого	3	2
и т.д	12	5
деле не	1	1
сигнификативной функции	1	1
этого периода	1	2
которую мы	2	5
мышление становится	1	2
как бы	7	10
в процессе	11	27
и развития	2	1
логики ребенка	2	1
к развитию	3	1
употребление орудий	1	1
выводу что	1	4
на один	1	1
а с	4	3
и структурных	1	1
совершенно ином	1	1
пользу этого	1	2
же что	1	1
в очень	1	1
так можно	1	1
мы можем	10	7
от его	4	1
уже сейчас	1	1
теории образования	1	1
является для	4	2
мышлением ребенка	3	1
этой точки	1	2
к человеческой	1	1
в целом	10	13
что не	1	1
служить средством	1	1
что эти	1	3
а не	3	1
этот вопрос	5	3
собой не	1	1
тот или	1	1
если мы	6	3
все те	2	1
каким образом	2	1
и делает	1	1
или даже	1	1
и речь	2	4
развития не	1	1
здесь у	2	1
культурного развития	1	1
ним задачи	1	1
связь и	1	2
более высоким	1	1
этот автор	1	2
формы интеллектуальной	1	1
эгоцентрическую речь	2	1
в один	2	2
интеллектуальных реакций	4	1
высшей степени	7	6
одних отношениях	1	1
остановились на	1	1
по своей	6	7
могли бы	4	11
мы говорили	1	4
с ее	2	5
не способен	1	1
и другое	2	5
шимпанзе с	2	3
что оно	4	4
и особенно	3	2
детьми на	1	1
он получает	1	2
интеллектуальной и	1	1
действительным быть	1	1
когда в	2	3
при помощи	4	1
деятельность ребенка	2	2
ребенку и	1	1
он приходит	1	1
чем мы	1	1
к изучению	1	2
является не	1	2
специальные исследования	1	1
речевой деятельности	1	1
говорит и	1	2
форм поведения	2	3
все основные	1	1
ребенок в	4	1
ребенок переходит	1	1
не станем	2	4
человека и	3	5
что же	2	1
функцию речи	1	1
и их	5	3
столь же	2	7
утверждает что	3	1
вопрос о	5	1
в которой	4	1
развитии детского	5	1
говорили что	1	2
думаем что	2	1
том числе	3	1
что они	3	10
или знаком	1	1
должен быть	2	1
на эту	2	1
не возникает	2	1
ребенка скорее	1	1
чрезвычайно важно	1	1
по поводу	4	1
каждому предмету	2	1
представлен в	2	2
говорят и	1	1
к другим	1	2
а по	1	2
речи не	2	2
речи он	1	1
том же	2	1
на предмет	1	1
в сущности	9	1
или иной	2	3
с ней	2	3
задачи при	1	1
можем кратко	1	1
речи ребенка	3	4
и закон	1	1
и здесь	1	2
какой степени	1	4
более и	1	1
самого начала	1	6
имя с	2	1
при этом	3	5
того что	17	10
и там	1	1
ребенка вообще	1	1
речи эта	2	1
но что	2	1
у него	2	1
функция а	2	1
одной формы	1	1
предполагает что	1	1
самый вопрос	2	1
в этих	2	2
сама по	2	1
долгое время	1	1
только по	1	1
мышления ребенка	3	7
вступает в	1	2
пути развития	1	3
выступают с	1	1
нисколько не	2	1
он допускает	1	1
входит в	1	5
был бы	1	1
знаком и	3	2
то ни	1	1
перехода от	1	1
что это	6	5
на ряд	1	3
переходит в	1	1
речи но	3	2
друг к	1	1
он ограничивает	1	1
бы схематически	1	1
результаты к	1	1
с которым	1	1
вытекает из	3	2
в собственном	3	6
цели и	1	2
даже в	4	1
мы имеем	3	4
мы внимательно	1	1
им с	1	1
речи для	2	2
того и	1	2
что при	3	1
его психологическую	1	1
исследования пиаже	3	2
в исследовании	4	1
так и	8	5
это очевидно	1	1
речи есть	1	2
тем самым	3	2
пользу того	2	2
но как	1	3
сейчас в	2	1
исследования в	1	1
а отнюдь	1	1
социальной психологии	2	1
штерна и	3	1
слов ребенка	3	2
ребенок приходит	1	1
бы то	1	1
раскрыть его	1	1
в высшей	7	6
это включает	1	1
если бы	8	5
к которому	6	3
что перед	1	4
как раз	4	1
развития с	2	1
келера не	1	1
это рассмотрение	1	1
что она	3	5
и практическом	1	2
слова на	1	1
и что	8	10
вещи не	1	1
считать действительным	1	1
по принципу	1	1
содержания и	1	1
которое мы	3	1
мышление и	3	5
путь приводящий	2	1
видим таким	1	1
он начинает	1	1
ребенка так	1	1
каждой новой	1	2
место в	1	2
на одном	2	1
этому поводу	3	1
на двух	3	1
ряд молекулярных	1	1
между этими	1	1
что все	4	1
употребления знака	1	1
сказать что	6	4
предметов в	1	3
образом до	1	1
виде в	1	2
вместе с	6	14
такого открытия	1	1
гипотеза не	1	1
относятся к	2	2
является то	2	7
понятие с	1	2
без наличия	1	1
речевом развитии	1	1
от внешней	5	3
приводит к	5	4
это важнейшее	1	1
чем он	1	1
моментов в	2	2
сознание а	1	1
самую существенную	1	1
с помощью	5	42
которых он	3	2
т.е все	1	1
склонны видеть	2	2
без которого	1	1
однако не	1	1
так чтобы	1	1
известно что	1	1
и его	4	2
развития в	6	2
с таким	6	1
не необходимо	1	1
по окончании	1	1
чем простое	1	1
вопросу о	1	1
это как	1	1
вещи как	1	1
объединения отдельных	1	1
только один	1	1
момента в	1	2
речи что	1	4
которым приводит	1	1
не выдерживает	1	1
