3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram
голосов даже в	1	1
себе самому герой	1	1
к той же	1	1
герой из подполья	4	1
как мы уже	1	1
то ни было	4	1
твердого образа героя	1	1
чтобы в нем	1	1
во всяком случае	5	3
возвышает его ум	1	1
на котором мы	1	1
макара долгорукого и	1	1
он ни был	3	2
в одном сознании	1	2
слово о слове	1	1
о том что	2	1
ум и сердце	1	1
для того чтобы	1	1
друг с другом	2	1
да ведь это	1	2
в высшей степени	3	1
свое последнее слово	1	1
так чтобы в	1	1
но только в	1	1
в этом случае	2	1
что может быть	1	2
в целом мире	1	1
из подполья и	1	2
в большей или	1	1
на самом деле	10	4
в большинстве случаев	2	2
слово о себе	4	2
и до конца	1	2
не только не	1	1
в его целом	2	6
они ни были	1	1
сам с собою	1	1
в его произведениях	1	2
как раз и	2	3
а так как	1	1
даже тон рассказа	1	1
в каждой мысли	1	1
в себе его	1	1
его к тому	1	1
а вовсе не	2	1
в этом произведении	1	1
даже там где	1	2
мысли в точку	1	2
в одном голосе	1	1
в пределах романа	1	1
может быть и	1	1
т е все	1	1
не входит в	2	3
можно прямо сказать	1	1
что и в	1	1
записок из подполья	3	2
и в то	5	2
к концу даже	1	1
все исторические проблемы	1	1
в отношении к	7	1
к своему предмету	1	1
беспорядочным началом его	1	1
самого героя и	2	3
вопрос кто он?	1	2
долгорукого и наконец	1	1
не появляется в	1	1
к тому что	1	1
и в этом	2	5
в противоречии с	1	1
все это из	1	1
неразрывной связи с	1	1
он должен быть	1	1
что в нем	2	1
того что он	2	1
какой бы то	1	1
диалога у достоевского	1	1
что у вас	1	1
образа героя и	2	1
эту волю в	1	1
с таким же	1	1
со всею ясностью	1	1
резко отличается от	1	1
и не может	2	2
и лишь в	1	1
слово его о	1	1
сравнительно с беспорядочным	1	1
собрать свои мысли	1	1
в том и	1	1
потому что у	1	1
отношении друг к	1	1
в том что	1	6
из одного плана	1	1
появляется в его	1	1
в кругозор самого	1	3
то же время	12	9
на вопрос кто	1	2
его произведениях но	1	1
в сущности не	2	1
хотя и не	1	1
бы он ни	3	2
и т п	6	3
выходит за пределы	2	1
и сердце к	1	1
мы должны были	1	1
дело идет о	1	3
как впрочем и	1	1
но на самом	4	1
и наконец на	1	1
и наконец в	2	1
достоевского как мы	1	1
и его слово	1	1
в себе все	1	1
не может найти	1	1
по крайней мере	3	1
в свою очередь	1	1
при том условии	1	1
именно потому что	2	2
