3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram
себе самому другого	1	1
там говорят что	1	1
все из политики	1	1
чужое слово и	1	4
при этом каждое	1	1
истории известно что	1	1
и заставляет его	1	1
как к другому	1	1
и сам знаю	2	3
герой из подполья	4	1
как мы уже	2	2
странность там говорят	1	1
петухом ну да	1	1
можно было бы	2	2
особенно там где	2	1
увидит что так	1	1
в той или	4	1
во всяком случае	4	1
великие полководцы да	1	1
носит чрезвычайно напряженный	1	1
о том что	1	2
этих двух голосов	1	1
друг с другом	4	5
что так тому	1	1
в высшей степени	3	1
слова не знает	1	1
в этом случае	1	1
но только в	1	1
с самим собой	7	2
лицом к лицу	1	1
я для другого	1	1
мышкин и рогожин	1	1
он только так	1	2
чужого слова с	1	2
только себя и	1	1
в приведенном отрывке	1	2
в большей или	1	2
в большинстве случаев	2	8
слово о себе	4	3
суворов пел петухом	1	1
да зачем их	1	1
в последующих произведениях	1	1
и странность там	1	1
в одном слове	1	3
как и в	1	3
и вместе с	1	1
дело и не	1	1
друг от друга	1	1
точки зрения он	1	1
таким образом как	1	1
как раз и	2	3
у настасьи филипповны	1	1
в себе его	1	1
никак не может	1	1
а вовсе не	1	1
в этом произведении	1	1
их сиамских-то? положим	1	1
слова то есть	1	3
о себе героя	1	1
второго голоса голядкина	3	1
в братьях карамазовых	3	2
что ж полководцы?	1	1
зачем их сиамских-то?	1	1
может быть и	1	1
диалога с самим	2	1
той или иной	4	2
не входит в	1	1
героя к себе	1	1
прежде всего в	1	1
этими двумя пределами	1	1
и в то	2	1
в отношении к	7	2
было бы развернуть	1	1
из политики и	1	1
в свое время	1	2
к своему предмету	1	1
в чужих устах	2	1
в общем не	1	1
героя и слово	2	1
к тому что	1	1
он там это	1	1
как и все	2	4
себе самому он	1	1
боится чтобы не	1	1
слово как бы	1	1
так тому и	1	1
чудо и странность	1	1
что в нем	1	1
кстати ли будет?	1	1
в строгом смысле	1	2
ну да зачем	1	1
говорили в свое	1	1
него как бы	1	1
и следует быть	1	1
из истории известно	1	1
резко отличается от	1	1
второй голос голядкина	4	1
и не может	2	7
на свой предмет	1	6
друг о друге	1	1
мы как бы	1	1
как чужой голос	2	1
себя как бы	1	1
ведь и сам	1	3
но это ничего	1	2
двойника то есть	1	1
и резко слово	1	1
его отношения к	1	1
налегли друг на	1	1
в пределах одного	5	6
в том что	2	2
в позднейшем творчестве	1	1
впрочем что ж	1	1
но именно поэтому	1	1
сплошь да рядом	1	1
да впрочем что	1	1
смотрели даже из	1	1
слово с оглядкой	1	2
и не в	2	2
то же время	10	5
авторское слово не	1	2
да он там	1	1
приносит с собою	1	1
этот второй голос	1	2
что может быть	1	1
мы бы сказали	1	1
в других романах	1	1
о себе не	1	1
самого начала в	1	1
и наконец в	2	1
даже из истории	1	1
достоевского как мы	2	1
я ведь и	2	4
я для себя	1	1
и в этих	1	1
и то же	3	1
те же явления	1	1
он во многом	1	1
в том же	1	1
от чужого слова	1	1
по отношению к	6	5
тему о себе	1	1
сиамских-то? положим они	1	1
освободиться от власти	1	1
стиль и тон	3	1
чужим голосом в	1	1
не подумали что	1	1
ли будет? кстати	1	1
с другой стороны	3	3
сам по себе	2	3
в отличие от	2	3
положим они близнецы	1	1
нем чужой голос	1	1
на чужое слово	1	11
а между тем	3	1
мы чувствуем что	1	1
живет только в	1	1
и не принимает	1	1
друг друга но	1	2
себе и не	1	1
прилично ли будет?	1	1
макара девушкина но	1	1
том что он	1	1
чрезвычайно напряженный характер	1	1
в данном случае	1	1
он не принимает	1	1
в нем не	1	1
и во всем	1	1
то есть это	1	1
но все же	2	1
знаменитый суворов пел	1	1
к другому и	2	1
отношение к чужому	1	1
ну чудо и	1	1
пел петухом ну	1	1
полководцы да впрочем	1	1
как мы сказали	1	3
это вовсе не	1	2
оглядки на чужое	1	1
так и в	2	1
можно сказать что	1	2
большей или меньшей	1	2
по замыслу достоевского	7	1
авторское слово или	1	1
и великие полководцы	1	1
как бы не	1	1
подумали что он	1	1
мы увидим что	2	2
близнецы ну да	1	1
в то же	10	5
к тому же	3	1
приведенном нами отрывке	1	2
человека с человеком	2	1
мышкина и рогожина	1	1
прежде всего как	1	1
великие люди подчас	1	1
настасьи филипповны и	1	1
голосов в одном	1	1
что сиамские близнецы	1	1
о себе самом	5	3
с чужим человеком	1	1
оглядкой и с	1	1
между этими двумя	1	1
ни в одном	1	2
говорят что сиамские	1	1
оно должно быть	1	2
характерный для всего	1	1
слово и на	1	1
с самого начала	8	1
это конечно не	1	1
обращается к себе	2	1
в самом деле	1	4
он сам по	1	1
нет к нему	1	1
двух голосов в	1	2
чтобы не подумали	1	1
слово героя и	2	1
не знает точки	1	1
до сих пор	1	8
среди которых он	1	1
сама по себе	1	2
и свой предмет	1	1
тому и следует	1	1
что он ничего	1	1
в произведениях достоевского	2	2
для него в	1	1
дело в том	1	2
что знаменитый суворов	1	1
с точки зрения	2	9
сам знаю что	2	3
политики и великие	1	1
не интригант и	1	1
к себе самому	13	3
это все из	1	1
сиамские близнецы ну	1	1
в романах достоевского	4	4
а что он	1	1
может до конца	2	1
не может до	2	1
в этом смысле	3	2
почти никогда не	1	1
в нем чужой	1	1
в мире достоевского	3	1
в бедных людях	1	3
если бы он	1	1
или меньшей степени	1	2
и к своему	1	1
подчас чудаками смотрели	1	1
этого замысла но	1	1
свой предмет и	1	1
там это все	1	1
остается той же	1	1
в каждом своем	1	1
но он остается	1	1
как мы знаем	2	1
как бы в	1	3
чужого слова как	1	1
с чужим словом	1	3
люди подчас чудаками	1	1
отношением его к	1	1
рано или поздно	1	1
братьях карамазовых в	1	2
уже сама по	1	1
я вам скажу	1	1
и в других	1	2
себя и свой	1	1
и голос самого	1	1
но в последующих	1	1
друг на друга	2	2
никогда не бывает	1	1
известно что знаменитый	1	1
но в то	4	2
отношению к чужому	1	2
в конце концов	3	1
не может обойтись	1	1
и в нем	3	1
в слове рассказчика	1	1
к одному знаменателю	2	3
с самим собою	7	3
обойтись без другого	1	1
в значительной степени	1	1
может войти в	2	1
что у достоевского	2	1
и великие люди	1	1
будет? кстати ли	1	1
но она не	1	1
голядкина с самим	1	1
и слово рассказа	1	1
одно и то	3	1
ибо и в	1	1
по другую сторону	1	2
ну да он	1	1
как если бы	1	2
эта оглядка на	1	1
не может быть	3	8
в том или	1	1
ведь и великие	1	1
на тему о	2	1
чудаками смотрели даже	1	1
независимость от чужого	1	1
мы уже указывали	1	1
напряженный характер в	1	1
и на меня	1	1
уст в уста	1	1
а затем и	1	1
свои мысли в	1	1
голядка ты этакой	1	1
в самые атомы	1	1
оно стремится быть	1	1
он как бы	1	1
диалог у достоевского	2	1
этого слова и	1	1
как нам кажется	1	2
и углубленной форме	1	1
из уст в	1	1
слово рассказа в	1	1
но в этом	1	1
раз и не	1	1
