2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram
когда они	1	1
и тех	1	1
п и	1	4
все же	12	5
его в	1	2
речи и	5	1
в область	1	2
и хорошо	1	1
об отношении	1	1
культуры но	1	1
так например	2	1
что говоря	1	1
сплошь да	1	2
как формы	1	1
в собственном	2	1
она есть	1	2
языка можно	1	1
без конца	1	1
иной смысл	1	3
менее всего	1	1
язык а	1	1
слова и	4	7
в числе	2	4
даже в	3	1
в прямой	1	1
интерес к	1	1
ни один	1	1
но тогда	1	1
мы имеем	6	2
в данной	1	3
как о	2	3
кроме того	1	2
это понятие	1	1
языка система	1	1
иначе как	2	1
же звук	2	1
он называет	1	1
на язык	4	1
с неба	1	1
то мы	3	3
так и	7	6
общем случае	1	1
в иных	2	1
и т	33	54
этим темам	1	1
лингвистической традиции	1	1
как нельзя	1	2
протестовать против	2	1
мы наблюдаем	2	1
когда мы	2	3
еще и	5	2
жива еще	1	1
в последнем	2	1
известным образом	1	1
конечно в	1	1
в известном	1	2
г и	1	1
тем самым	4	4
то что	9	4
до крайности	1	2
но как	1	3
этом что	1	2
в каком	2	3
пор сказанного	1	1
и от	1	1
имеет смысл	1	3
из того	1	2
никак не	2	2
удобнее всего	1	1
в г	3	1
наряду с	1	1
в особенности	3	2
от всякого	1	1
он действительно	1	1
должна быть	3	3
заглавиях и	1	1
языка является	1	1
в одном	3	2
в свою	3	1
ничего нельзя	1	1
языка так	1	1
тому же	1	3
прямой связи	1	1
несмотря на	3	1
той же	3	3
же есть	2	1
если бы	9	8
иначе говоря	2	2
с уже	1	1
мы получим	1	1
сущности уже	1	1
это уже	1	3
может иметь	2	3
связи с	7	6
раз из	1	1
ни в	2	3
что в	17	13
как не	1	1
речи к	1	1
что целый	1	1
нас в	1	3
эти различения	1	1
собственно говоря	1	1
он является	1	1
друг от	1	1
в начале	1	1
однако в	1	2
языка не	3	1
знают что	2	1
в своей	2	4
как раз	8	4
и стилистика	1	1
но если	2	3
на материале	1	2
же с	1	1
но дело	1	1
собственно и	1	1
от глагола	1	1
пример из	2	1
этом случае	2	4
нужно будет	1	2
соссюр не	2	1
что она	3	5
бы и	2	3
в той	5	4
обратить внимание	2	1
что если	2	2
о чем	2	2
научного языковедения	1	4
есть вещь	1	2
зависимости от	6	8
и что	5	7
самого смысла	1	1
то только	2	1
к языку	5	4
внутренней формы?	1	1
мы говорим	2	4
или менее	3	2
без особых	1	1
на этот	2	2
целом и	2	1
указать на	4	2
или иные	1	1
помощью которого	1	1
что на	1	3
очевидно и	1	1
на первых	1	1
язык может	1	1
после того	1	6
для чего	1	1
стоит на	1	1
только не	1	1
или нет	1	1
мы приходим	1	1
на деле	1	1
язык дворянской	1	1
как увидим	1	1
не есть	4	3
деле так	1	1
и так	1	1
не то	1	2
действия и	2	1
что все	2	2
и вести	1	1
без исключения	1	1
не может	7	6
могут быть	1	6
язык и	1	2
если не	3	1
там где	4	3
связано с	3	1
сказать что	1	7
лишь с	1	4
мы видели	1	3
литературный язык	1	4
отнюдь не	1	3
без особой	1	1
того или	4	3
но тут	1	1
в значении	2	2
слово это	5	2
вместе с	7	2
язык как	9	1
например для	1	1
не могло	1	1
общем смысле	1	1
здесь идет	1	2
языка с	1	1
в том	30	22
точно и	1	1
о языке	8	6
в его	12	11
возразить против	1	1
в научной	1	1
истории языка	5	1
отличия в	1	1
все равно	2	1
одно дело	1	1
мой взгляд	2	3
как они	2	2
это можно	1	1
в систему	1	1
известной мере	1	1
языка это	4	1
к другой	1	2
от того	1	5
речи в	4	7
о том	9	6
между тем	5	4
в моем	1	1
на месте	2	1
отношение к	1	3
науки о	3	1
речи как	1	3
речь здесь	1	1
пушкин и	2	1
то обстоятельство	8	3
на некоторых	1	1
ряду с	1	1
сказали бы	1	1
в виду	5	8
в самой	4	1
с помощью	7	6
е когда	2	1
случаи когда	1	2
имеется в	1	1
ряда других	1	2
должны быть	2	1
мы и	1	1
видеть что	2	1
лингвистического сознания	1	1
в некоторых	1	2
в особую	1	1
не все	2	2
главным образом	1	2
речи является	1	1
а потому	5	2
значение это	1	1
также в	1	1
как я	2	2
в деле	1	1
лингвистического воспитания	1	8
относится к	2	2
как мы	1	5
может быть	13	14
от основной	1	1
случаях когда	2	1
в каких	1	1
вопросом о	1	4
разница между	1	1
в одной	1	1
и его	5	1
правда в	1	1
основной вопрос	1	1
их по	1	1
и правила	1	1
язык только	1	1
у читателя	1	1
в сфере	1	1
с таким	1	1
только тогда	3	4
метод который	1	1
мы получаем	1	1
в крупных	1	1
давно уже	1	1
своем месте	1	1
были бы	2	4
тем чтобы	1	2
так называемым	2	1
вовсе не	10	5
и строго	1	1
ради которого	1	1
структурные моменты	1	2
есть не	1	3
рассматривать с	1	1
приемов и	1	2
в тех	4	2
ответить на	1	2
ли не	3	1
с тем	5	6
какой мере	1	2
эти штампы	1	1
языка на	2	1
качества и	1	1
это есть	2	1
который в	1	1
я не	2	5
том смысле	1	1
а вот	1	2
здесь не	3	2
на той	1	1
нас только	1	1
как очевидно	1	1
каждый из	1	1
той или	1	5
является его	1	1
увидим что	2	2
дворянской интеллигенции	1	2
и было	2	1
еще о	1	1
культуры то	1	1
не ошибаюсь	1	1
фраза в	1	1
говоря уже	1	2
должно составить	1	1
отличие от	1	2
того нужно	1	1
тот же	2	6
вовсе еще	1	1
на те	2	1
а вместе	1	1
со стороны	4	1
литературной речи	1	3
литературе и	2	1
как он	1	2
рассматривать как	1	1
тем как	1	1
перед собою	1	3
для каждой	1	2
уже на	2	1
на наше	1	1
культуры в	1	1
в таком	3	4
именно как	1	1
бы говорить	1	1
что здесь	1	1
да рядом	1	2
в частности	4	2
это потому	1	1
общее достояние	1	1
учения о	1	4
возможно лишь	1	1
сколько угодно	1	1
то он	1	3
помнить что	1	1
в следующем	1	1
т п	18	41
показывает что	1	1
на этой	1	1
здесь можно	1	5
уже быть	1	1
всякий раз	1	1
не было	3	4
вопроса о	1	3
нам не	3	1
представить что	1	1
еще раз	1	2
искусстве но	1	1
и тем	2	6
того чтобы	17	11
и при	2	2
то это	3	3
с ними	4	1
только в	11	6
в смысле	2	1
о тех	1	1
другой стороны	6	3
так сказать	5	2
или иного	3	3
их соотносительности	1	1
сразу же	1	2
т е	38	32
этом слове	1	1
в русском	4	2
отношению к	9	2
само по	1	1
лингвистики xix	1	1
идет о	2	1
то и	2	2
но язык	2	2
русского языка	9	7
всяком случае	5	1
бы что	1	1
свидетельствует о	2	1
значении слова	1	2
том случае	1	4
к вопросу	1	2
к этому	1	1
с большой	1	1
всем тем	1	1
о так	1	1
из предыдущего	2	1
но для	1	3
п т	1	1
так язык	1	1
как в	4	4
языках в	1	1
не случайно	6	4
и не	12	10
во всяком	5	2
деле может	1	1
когда и	1	1
что язык	7	1
например на	1	1
целого а	1	1
сама эта	1	1
таким образом	12	9
тем более	2	5
свое значение	1	1
по своему	1	2
не говоря	2	2
только самая	1	1
языковой культуры	1	1
от практических	1	1
нашей культуры	2	1
как об	2	2
из истории	1	1
связанные с	1	1
а вовсе	1	1
тогда когда	6	4
тем что	8	5
же касается	4	1
пишет он	2	1
уже в	3	3
можно установить	1	1
и после	1	1
с фонетикой	1	1
это и	4	3
можно рассматривать	1	2
речь и	1	1
иных случаях	2	1
не только	10	17
по аналогии	1	1
в наши	1	1
клише как	1	1
который должен	1	1
где это	1	1
он не	2	3
говорит он	1	1
что даже	1	1
смысле этого	3	2
некоторых основных	1	1
е о	2	1
в самых	1	1
все эти	6	7
и идеи	1	1
о внутренней	1	2
сомневаться что	1	1
противном случае	1	1
в данном	4	7
в пределах	4	2
языка было	1	1
приближение к	1	1
