4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_4gram
я всю жизнь мою	1	1
новое отношение к слову	1	1
но тем не менее	1	1
в основе жанра лежит	1	1
в каждом из них	2	2
необходимо еще раз подчеркнуть	1	1
в том числе и	10	2
слову как материалу литературы	1	1
мы еще вернемся в	1	1
и неотделим от него	1	1
в преступлении и наказании	2	2
в нем нет здесь	1	1
образа идеи у достоевского	1	1
еще вернемся в дальнейшем	1	1
в том что на	1	1
образов идей в его	1	2
идея о том что	1	1
и не может быть	1	1
том что все позволено	1	1
до сих пор еще	2	1
которая ведет к творчеству	1	1
с самим собою в	1	1
карнавала и карнавального мироощущения	1	1
по отношению к героям	1	1
в той или иной	1	2
о том что все	1	1
отношение к слову как	1	1
связь с карнавальным мироощущением	1	1
о диалогической природе истины	1	2
в зоне фамильярного контакта	1	1
одной и той же	1	1
можно сказать что в	1	1
большей или меньшей степени	2	1
к слову как материалу	1	1
все позволено если нет	1	1
по последним вопросам мировоззрения	1	1
в то же время	5	3
бы он ни был	1	1
раскрыть в предшествующих главах	1	1
мы можем сказать что	1	2
может быть даже и	1	1
ведет к творчеству достоевского	1	1
смешение прозаической и стихотворной	1	1
в большей или меньшей	2	1
что все позволено если	1	1
но в то же	1	3
нет и не может	1	1
прозаической и стихотворной речи	1	1
представления о диалогической природе	1	1
идеи и человека идеи	1	1
