2gram	Ircho_Komedia_partition_part1_wordlist_2gram	Ircho_Komedia_partition_part2_wordlist_2gram
на войну	1	1
все же	4	3
его в	4	3
основную массу	1	1
v начала	1	1
поставленный на	1	1
времени и	1	2
в драматическом	1	1
связь с	1	1
платон в	2	1
сплошь да	1	1
не следует	2	2
которые были	1	1
комедия является	1	1
творческий путь	1	2
в состоянии	1	2
по свидетельству	1	2
римских грамматиков	1	1
современных ей	1	1
на основании	5	3
даже в	2	3
ко всему	1	1
в античном	1	1
и к	2	1
антиплутократические тенденции	1	1
бога трибалла	1	1
и целые	1	1
независимо от	5	2
на сцену	3	2
уже античная	1	1
этого приема	1	1
материал для	1	1
драматическом искусстве	1	1
комедии iv	5	1
сведения о	1	1
так и	12	5
в древних	1	1
и т	2	9
своей стороны	1	1
политический характер	1	1
и у	2	3
из комедий	3	2
означает что	1	1
до нас	4	5
и почему	2	1
г и	5	3
то что	6	2
в v	5	2
на ленеях	2	5
показательно что	3	1
в каком	1	1
в более	1	3
а их	1	1
времени а	1	1
из того	1	1
не один	1	1
что комедия	1	5
или для	1	1
в г	17	11
трагедии еврипида	1	1
ниже №	1	1
наряду с	6	2
следовало бы	1	1
по которым	2	4
стихов из	1	1
бы то	2	2
не обходится	1	1
все его	1	1
в одном	2	8
аттической комедии	15	9
в свою	1	2
действие комедии	1	1
можно найти	1	1
тому же	11	6
несмотря на	1	4
той же	3	1
мы найдем	3	2
к которому	1	3
это уже	1	1
быть увеличено	1	1
в обоих	3	1
силу этого	2	1
ни в	5	6
зрителям только	1	1
сделать вывод	1	1
из двух	1	1
было сделано	1	1
в годы	1	6
то время	3	5
древнегреческой литературы	1	1
что в	9	6
е а	1	1
в vii	1	3
аристофана в	1	4
этой цели	1	2
нас в	1	2
протяжении всего	1	2
однако в	2	3
друг от	1	1
в начале	4	3
что их	2	1
за ним	1	1
женщин и	1	1
как раз	1	3
но если	3	1
комедий в	2	1
расцвета афинского	2	1
и этическими	1	1
v в	14	13
чуть больше	1	1
что она	2	1
все более	1	3
как правило	3	3
в той	2	1
небом и	1	1
после смерти	3	3
о чем	3	1
и что	2	1
афин и	1	1
ближе к	1	1
в между	1	1
всего этого	1	2
дионисий и	1	2
его для	1	1
самого аристофана	1	1
и все	2	3
в период	3	2
содержания и	1	1
время пелопоннесской	1	1
спустя после	2	1
или менее	1	2
в отражении	1	1
нескольких сотен	1	1
на этот	4	1
никто не	3	1
комедии только	3	1
как две	1	1
что на	3	1
жизни и	3	1
этих комедий	2	1
к человеку	1	1
после того	2	3
в ахарнянах	4	2
комедии в	6	7
из которых	3	2
начале iv	2	1
ст и	2	1
в них	4	3
действующим лицам	1	1
рабовладельческой верхушки	2	1
названных здесь	1	1
место в	4	3
на пиры	1	1
и внутренней	1	2
хуже чем	1	1
и землей	1	1
в демах	2	4
действия и	1	1
государства и	1	1
не может	3	2
выводы о	1	1
и за	2	1
впоследствии к	1	1
в хронологическом	1	2
ли можно	3	1
мы видели	1	2
сказать что	1	1
отнюдь не	2	1
его комедии	2	1
не дали	1	1
в трагедии	1	2
вместе с	9	2
демократии так	1	2
такого рода	1	6
для аттической	1	1
сказать о	2	1
мало чем	1	1
темы в	1	1
ранние комедии	1	1
в том	11	11
мы знаем	3	2
цитат из	1	1
последней трети	1	2
в лисистрате	2	3
в его	4	5
вв до	1	1
это время	3	2
на две	1	2
с младенцем	1	1
iv вв	1	1
г а	1	1
от голода	1	1
его творчество	1	2
уважение к	1	1
приводит к	1	1
от того	2	1
о том	6	8
между тем	4	5
числа афинян	1	1
комедия с	1	2
отношение к	2	3
возможно что	3	1
похожи на	3	1
молодой человек	9	1
отказаться от	1	1
еще в	4	5
да и	3	3
в греческой	1	1
уже о	2	2
большинстве случаев	1	1
одноименная комедия	1	1
при жизни	1	1
у аристофана	2	6
становится ясно	1	1
в комедиях	5	9
для этой	2	1
не все	1	1
главным образом	1	3
как мы	4	4
в духе	2	1
однако не	1	1
также в	2	2
противоречие между	1	1
женщины в	1	1
может быть	11	9
находим в	1	1
и его	12	8
менандром и	1	1
случаях когда	1	1
же комедии	1	2
правда в	1	2
х годов	2	3
афин на	1	1
с достаточной	2	2
этот раз	4	1
даже для	1	1
античная критика	2	1
по стилистическим	1	1
вовсе не	2	2
впрочем независимо	1	1
себя внимание	5	1
из сиракуз	1	1
играли в	1	1
в афинскую	1	1
хоть и	5	2
его от	1	1
первое место	1	3
в тех	3	3
ли не	7	4
дионисию фракийскому	1	1
с тем	5	1
число мелких	1	1
чужеземном происхождении	1	1
демократического строя	2	3
ни было	2	2
богу дионису	1	1
в до	2	2
народном собрании	2	5
за свое	1	1
за собой	2	1
даже если	1	2
нас только	1	1
из других	1	2
первой из	1	1
сцены из	1	1
бы в	2	1
вслед за	2	2
либо все	1	1
афинская демократия	1	3
всем том	1	1
афинах не	1	1
для комедии	2	2
говоря уже	2	2
отличие от	2	2
всей последней	1	1
его комедий	1	2
с негодованием	1	2
тот же	2	3
на которые	1	2
большие деньги	1	1
со стороны	2	2
мира в	4	1
с и	4	1
как он	3	1
свидетельству афинея	1	1
радикальной демократии	1	3
iv и	1	1
больше не	1	1
в частности	4	3
по случаю	2	1
демократии в	2	3
