2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram
и сами	1	2
все же	9	3
его в	6	3
времени и	1	2
как точка	1	1
не мир	1	1
себе не	1	1
в первых	1	1
не следует	1	1
том и	1	1
же самый	1	1
автора голос	1	1
идеи в	9	1
становится предметом	1	1
о мире	6	1
менее всего	6	1
героем достоевского	1	1
слова и	1	12
и имеет	1	1
даже в	4	3
идеологический вывод	1	1
за пределами	1	1
и старается	2	2
и к	2	3
будто и	1	1
к другому	2	5
его романе	1	2
автор действительно	1	1
слышим все	1	1
не становится	5	1
ведь мы	1	1
художественную форму	2	1
того и	1	3
вот он	1	1
кроме того	3	3
себе еще	2	2
его влиянием	1	1
иначе как	1	1
словесного целого	1	1
от нее	1	1
голоса в	2	1
с горы	1	1
в авторский	1	2
его и	2	2
от автора	3	3
так и	7	3
достоевского это	1	3
сознание и	5	2
дело идет	5	1
в другой	3	1
и т	4	13
как человек	1	2
авторская идея	2	1
своими собственными	1	1
чужие слова	1	1
далее и	1	1
за пределы	7	3
тон и	1	5
единство не	1	1
есть нечто	1	1
то что	15	7
оно лишь	1	1
но как	3	1
каждом романе	1	1
не как	14	6
и от	2	1
чтобы сделать	1	2
как слово	3	2
никак не	2	5
не укладывается	2	3
его как	4	1
героя между	1	1
в пределы	3	1
чужих слов	1	5
героев не	1	1
весь роман	1	1
самый факт	2	1
дух и	1	1
изображаются они	2	1
не завершен	1	1
должна быть	5	3
бы то	2	1
все его	3	2
в точке	1	2
в одном	10	12
социальных оценок	1	1
в чисто	2	1
так именно	1	1
несмотря на	6	1
той же	5	3
лишь для	1	1
самосознание героя	5	1
если бы	9	3
та же	1	2
его тон	1	1
структурные особенности	1	1
к которому	1	1
самосознания и	1	3
связи с	2	1
была бы	3	2
ни в	3	2
типа в	1	1
путь его	1	1
героя к	1	1
к одному	1	6
то время	1	2
как не	8	1
слова о	1	2
что в	8	4
в руках	1	2
смысле глубоко	1	1
при всех	1	1
ивана карамазова	4	2
нам важна	2	1
однако в	2	1
он является	1	2
в начале	1	1
а как	7	4
о самом	1	1
выражения в	1	1
к сожалению	1	1
европейского романа	2	2
как раз	6	4
за ним	3	1
уже и	2	2
внешнее и	1	1
произведения достоевского	3	1
в своей	8	4
друг с	2	4
он ищет	1	1
строится так	1	1
авторского слова	8	2
в основе	4	1
макара девушкина	1	8
и самая	1	1
для автора	2	2
с его	9	4
и голосов	1	1
на материале	3	2
художественного замысла	2	2
и больше	1	1
что она	6	1
бы и	4	2
в той	2	5
голоса но	1	1
весь в	1	1
и что	2	5
ощущаться как	1	1
эти три	1	1
увидим дальше	1	1
и все	1	6
сливается с	6	2
монологического романа	1	1
или менее	1	3
с героем	2	1
на этот	2	4
что достоевский	1	1
в авторском	4	1
нам кажется	2	5
слова он	1	2
и о	5	2
жизни и	2	1
авторской речи	1	2
где есть	1	1
сознания достоевский	1	1
не представлен	2	1
себя и	2	3
чужому слову	1	11
понимания мира	2	1
его слово	1	1
из которых	2	1
него в	2	3
в них	3	4
до своих	1	2
души в	1	1
кажется что	2	3
только не	1	1
их взаимоотношения	1	1
автором как	1	1
между сознаниями	1	1
достоевского а	1	1
образом как	1	3
слова его	1	1
иметь в	1	1
может стать	1	4
да так	1	1
не есть	2	2
для понимания	2	2
те же	2	1
и так	1	2
не то	1	1
что все	1	1
раскрыться и	1	1
построение его	1	1
сознания с	2	1
одном голосе	1	1
их мирами	4	2
не может	12	18
понятно что	1	1
этом рассказе	1	1
могут быть	6	3
в чужих	1	1
