2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram
все же	4	2
его в	3	1
необходимо чтобы	2	2
подобно тому	1	4
быть настолько	1	1
этих самых	2	1
кроме того	3	2
мифологии в	1	1
чем не	1	1
налично в	1	1
и т	17	17
личности с	1	3
то что	14	16
на землю	1	1
– с	1	1
его как	1	2
чтобы дать	1	1
д тут	1	2
все его	3	1
степень иерархийности	1	1
нет никакой	4	1
отвлеченной идеей	1	1
мы получим	1	1
нет никакого	2	3
связи с	4	1
себя себе	1	1
же деле	1	1
миф понимать	1	1
и которые	1	1
как не	2	2
и противопоставить	1	1
собственно говоря	2	2
на первый	1	1
когда оно	2	1
и религии	3	3
но символ	1	1
мы говорим	3	2
сама собой	1	1
я показал	2	1
из которых	1	3
или нет	3	3
не есть	47	40
этих последних	2	1
вечности и	1	1
те же	1	1
или иное	4	3
понятно что	2	1
могут быть	4	3
– не	9	5
c наконец	1	1
быть без	2	2
сознания и	5	3
сказать о	1	1
и значит	1	1
свете и	1	1
самой личности	1	1
в его	1	4
все равно	5	2
в нас	1	1
и может	6	2
с нею	3	1
совершенно невозможно	2	2
на месте	1	1
и одинаково	1	1
который мы	1	1
во всей	1	2
да и	6	2
уже о	2	4
имеется в	2	3
есть только	4	3
знаем но	1	1
обязательно с	1	1
личность миф	1	1
на ту	1	1
вообще на	1	1
мы получаем	2	2
были бы	1	1
вовсе не	13	6
понятие мифа	2	3
же тут	1	1
мир тут	1	1
же утверждаю	1	1
возможность и	1	1
из этого	1	1
даже если	1	1
есть осуществленность	1	1
ни о	2	3
сама личность	4	1
и нет	2	3
сравнению с	1	2
ему не	1	1
религии и	1	1
вы не	2	3
религии религия	1	1
становления и	3	1
только благодаря	1	1
реальная личность	1	1
другой стороны	4	2
быть так	1	1
что уже	2	2
идет о	1	1
то и	1	2
и телесность	1	1
не сама	3	1
ощущаемая и	1	1
но для	1	2
и сама	1	1
нет ни	3	3
же о	1	2
и не	30	30
и та	6	3
таким образом	4	5
бытия вообще	1	1
связанные с	1	1
с смысловой	1	1
время не	3	1
тогда когда	6	5
тем что	2	2
одно и	4	1
но ничего	1	1
искусство только	1	1
– так	1	2
мифологию так	1	1
все эти	2	3
и идеи	2	2
в данном	3	3
т д	15	15
мы находим	3	2
мира и	1	1
в одинаковой	1	1
личности в	8	5
– что	2	1
с окружающим	1	1
поэтическое произведение	2	1
перед нами	2	6
в теле	1	1
быть может	1	1
отличается от	1	1
настолько же	1	1
воля ни	1	1
и уже	3	4
но –	5	8
разных планов	1	1
этой мифической	1	1
нами как	2	1
или просто	1	1
по типу	1	2
как принцип	1	1
на них	1	1
и должно	2	1
как ни	2	1
где-то в	1	1
миф и	2	3
своей жизни	1	1
поэтому и	1	1
протекание и	1	2
то уже	2	1
в своем	4	5
стороны и	1	1
одного из	1	1
поэзия и	2	1
но она	1	1
мифе совершенно	1	1
в вечности	6	5
от земли	2	1
являющаяся в	1	1
не по	2	2
и физическая	1	1
по крайней	9	7
них в	1	1
прямо назвать	1	1
как и	10	7
вещественно и	1	1
при всем	1	1
же время	5	6
каком случае	2	1
религиозная форма	1	1
потока становления	1	1
обычных вещей	2	1
и в	19	15
поэтическая действительность	2	1
необходимая категория	2	1
субъекта и	4	5
кроме этого	1	1
зрения и	1	1
по существу	1	1
человек в	1	1
субъект и	1	1
есть сфера	1	1
одинаково суть	1	2
с этим	3	3
но это	7	4
когда вдруг	1	2
сама вещь	1	1
друг другу	1	1
когда он	1	3
ее в	2	2
знаем что	1	1
вещественная реальность	1	1
есть сама	4	1
конечно не	6	2
это не	10	12
а если	1	3
бы ни	2	2
но он	4	1
должно быть	7	2
и совершенно	2	1
новой точки	1	1
научной точки	1	1
того как	2	2
это значит	8	8
прежде всего	8	11
их не	1	1
не предполагает	1	1
отдельных мифов	1	1
есть поэтическое	2	1
смысле не	2	1
содержащая в	1	1
все на	4	3
в зависимости	2	1
я уже	2	3
в результате	2	6
и опять	1	1
не что	3	8
если это	1	1
все что	1	2
с этой	1	2
об этом	3	3
и возможно	1	2
– к	2	1
получается что	1	1
этого вопроса	1	1
религии –	1	3
