3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram
довольно вспомнить что	1	1
не идет далее	1	1
в слове и	5	1
и проч и	1	1
в том чтобы	2	1
для того чтобы	3	2
о том что	1	1
на то что	1	3
а как знак	1	1
на самом деле	1	2
как и в	2	1
более или менее	3	8
как например это	1	1
что и в	3	1
но не только	1	1
каждый из этих	1	1
от того что	5	4
в сознании то	1	1
могли бы быть	1	1
то к чему	1	1
в том смысле	3	4
и в слове	2	1
таком случае они	1	1
в том что	16	7
по всей вероятности	1	1
с таким образом	1	2
для нас смысла	1	1
и то же	5	2
один ряд который	1	1
время его жизни	1	1
нас известными отношениями	1	1
было для него	1	2
потому что без	1	3
ответ на это	2	1
для нас известными	1	1
до тех пор	1	1
или лучше сказать	2	1
что внутренняя форма	2	1
но не в	1	2
может и не	1	1
но тем не	2	3
в то же	5	2
и членораздельный звук	1	2
можно заметить что	1	1
по себе и	1	1
не имели бы	1	1
в собственном смысле	2	1
на все остальные	1	1
не прямо а	1	1
сама по себе	2	2
в таком случае	2	2
мы не в	1	1
то тем самым	3	1
нам остается только	1	1
потому что хотя	1	1
мы не можем	2	3
после того как	1	2
не заключает в	2	2
потому что и	2	1
потому что нельзя	1	1
и в других	1	1
с точки [зрения]	1	1
чего не можем	1	1
именно того что	1	1
и чем более	1	1
в птице которая	1	1
восприятий потому что	1	1
во-первых потому что	1	1
то время когда	1	1
к мысли о	1	1
а не другое	1	2
а потом уже	1	1
тем же словом	3	1
само по себе	3	2
в ряду других	1	1
сами по себе	1	7
и связанное с	1	1
между тем в	1	1
независимо от нашего	1	1
она входит в	1	1
если бы в	1	1
того что она	1	1
этого слова и	2	1
в его сознании	1	1
его душевной жизни	1	1
но эти слова	1	1
не останавливаясь на	1	1
если б мы	1	1
мы выше называли	1	1
при самом своем	1	1
а b с	4	1
в том как	3	1
и может быть	2	2
ним то есть	1	1
на каждом шагу	1	1
что в последнем	1	1
находиться в сознании	1	2
из них не	1	1
как в слове	2	1
том смысле в	1	1
не имеет для	1	1
только один из	1	1
потому что не	3	1
что мы видим	1	1
переходит от одной	1	1
вообще потому что	1	1
связи с другими	1	1
искать в них	1	1
то же время	5	2
своего появления в	1	2
точно так как	6	4
в сознании очень	1	1
в свою очередь	3	6
с другой стороны	4	2
таким образом в	1	2
одно из них	1	1
соединенное с ним	1	1
или же и	1	1
в душе животного	1	1
же что в	1	2
можем заметить что	1	1
в эту минуту	1	3
мы бы не	1	2
содержание это было	1	1
образование в душе	1	1
было в сознании	1	1
в сознание с	1	1
связанное с ним	1	1
внутренняя форма слова	2	1
единственно потому что	1	1
может быть не	1	3
внешняя форма слова	1	1
том смысле что	1	1
что ни одно	1	1
и той же	2	1
в том виде	1	1
lazarus т с	1	1
на предметы и	1	1
в ней самой	1	1
друг друга что	1	1
себе не может	1	1
то все же	1	2
не только от	1	1
во многих случаях	1	1
добывается человеком поздно	1	1
в сознании и	2	1
в данное мгновение	1	1
если б не	1	2
подобно тому как	2	4
связанных между собою	1	1
форма в которой	2	1
в том случае	1	1
нельзя себе представить	1	1
из виду что	1	1
на первых порах	2	1
отсюда можно заключить	2	1
и т д	3	3
осязания и вкуса	1	1
так как чувство	1	1
из того что	1	1
в сознание и	1	2
и не иметь	1	1
