4gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_4gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_4gram
поэтической конструкции и в	1	1
произведения его здесь и	1	1
в нем как в	1	1
мы имеем в виду	1	1
вместе с тем и	2	1
в неразрывной связи с	1	1
в процессе этого становления	1	1
и в то же	3	2
сводится к тому чтобы	1	1
характерно следующее заявление шкловского	1	1
как данность внеположная сознанию	1	1
в той мере в	1	1
времени исполнения и восприятия	1	1
то же время не	1	1
здесь и теперь эта	1	1
но отсюда отнюдь не	2	1
в одной из своих	1	1
произведения как внеположной сознанию	1	1
во всяком случае в	1	2
представляется нам в корне	1	1
метод в истории литературы	1	1
от одного к другому	1	1
все более и более	1	1
как внеположной сознанию данности	1	2
в самом деле ведь	1	1
с помощью каких приемов	1	1
его здесь и теперь	1	1
и не может быть	2	3
всякое конкретное высказывание является	1	1
т п в основе	1	1
не в том что	1	1
в конструкции поэтического произведения	1	1
установка на выражение как	1	1
бы в конструкцию произведения	1	1
т е поэтическая конструкция	1	1
и пр и пр	4	1
входит в поэтическую конструкцию	1	1
т е вовсе не	1	1
иметь в виду что	1	1
и т п в	1	2
реальном времени исполнения и	1	2
в зависимости от характера	1	1
мы ни взяли мы	1	1
и в пределе вовсе	1	1
отнюдь не следует что	2	1
в то же время	5	7
эйхенбаума как сделана шинель	3	1
один и тот же	1	1
в том или ином	1	1
в пределах индивидуального организма	1	1
о языке как о	1	1
отсюда отнюдь не следует	2	1
не есть литература но	1	1
истории формального метода основным	1	1
и во всяком случае	1	2
материал и прием как	1	1
только в связи с	1	1
в такой же степени	1	1
в реальном времени исполнения	1	2
в истории формального метода	1	1
пределах индивидуального организма и	1	1
произведения не может быть	1	1
и теперь эта боязнь	1	1
можно только в целом	1	1
остается подвести некоторые итоги	1	1
язык и его формы	1	1
тема фабула и сюжет	1	1
той мере в какой	1	1
