2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part2_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_2gram
все же	10	9
его в	9	10
делает вид	3	1
в царство	3	7
мифы в	1	1
к тем	1	1
так например	2	1
себе не	1	1
связь с	8	4
этих случаях	8	10
отца или	1	1
подобно тому	1	3
дело происходит	1	1
подобно птицам	1	1
в состоянии	1	3
некоторых случаях	2	2
даже в	2	1
себя за	1	1
как пища	1	1
из него	2	2
мы имеем	14	15
в иное	5	5
и к	1	1
право на	1	3
от обряда	2	1
героя что	1	1
время обряда	2	1
воas неи	1	2
и оно	1	1
подошел к	1	1
виду что	1	1
в северной	1	2
мой сын	1	1
она ему	1	1
вдруг откуда	1	1
как о	1	1
же говорит	1	1
в тело	1	2
что при	3	5
народов у	1	1
мы здесь	4	6
волшебной силы	1	1
змеи или	2	1
то мы	1	2
не описывается	3	2
его и	2	4
связан с	2	5
о гильгамеше	1	2
в другой	3	4
героя за	1	1
избушке и	1	1
этом говорит	1	2
как человек	3	1
и т	20	19
книге мертвых	2	2
всем что	1	1
у них	1	1
думает что	1	1
сон стал	1	1
он же	2	1
я твое	1	1
сам был	1	1
они бросают	1	1
тем самым	1	2
то что	7	12
но как	1	1
из сказки	1	1
и пустил	1	1
в каком	1	1
женщинам и	1	1
в более	3	1
имеем и	1	2
в шаманизме	1	1
на задний	1	1
у яги	1	2
наряду с	4	6
в особенности	3	2
она его	1	1
очень рано	1	2
приведенных нами	1	1
в эти	1	1
другую форму	1	1
представлением о	3	1
в одном	1	5
это представление	2	1
в свою	3	1
они до	1	1
жену в	1	1
можно найти	2	5
же представления	1	1
заключению что	3	1
или на	2	4
ей в	3	1
несмотря на	2	1
той же	1	2
мы перейдем	1	1
пока только	1	1
прийти к	2	1
может иметь	1	1
связи с	8	8
в мифе	7	2
в животных	1	7
более ранних	1	2
человека за	1	1
что в	8	12
избушка но	1	1
только после	3	4
герой попадает	1	1
охотничьих народов	1	1
после своего	1	1
вокруг него	1	1
в сказке	18	21
случаях мы	2	1
рыба и	1	1
он является	1	2
ряда частностей	1	1
собой явление	1	1
и они	2	4
взошли в	1	1
а как	2	1
и и	1	1
за ним	4	1
в своей	2	1
у племени	2	2
посвящаемый пролезал	1	1
но если	1	3
в вавилоне	3	1
вход в	1	6
webster в	1	1
друг с	2	1
случаев в	1	2
на острове	1	2
что можно	1	1
но дело	1	1
его по	2	1
этих двух	1	1
и пришли	1	1
как только	1	1
этом случае	7	5
не знаем	3	1
и социальной	1	2
что она	1	5
ко мне	1	2
особенно часто	1	3
очень часто	1	4
о чем	2	1
в австралии	6	1
себе в	1	1
зависимости от	1	1
и что	8	6
пермской сказке	1	2
в стране	1	1
никто не	3	1
некоторых случаев	1	1
сообщает что	1	1
еще пока	1	1
на земледелие	1	1
переносится на	1	1
что на	1	1
и о	1	1
его убивают	1	1
но когда	3	1
стоим перед	1	1
после того	3	3
уже видели	1	4
или он	2	3
найти в	1	1
это положение	1	1
как можно	2	1
представить дело	1	1
что эта	1	2
в преисподнюю	4	1
о смерти	1	1
иметь в	1	2
часто также	1	1
др все	1	1
и так	1	2
не то	1	1
сам в	2	1
более позднюю	1	1
с обрядом	3	4
выше таким	1	1
не может	6	5
могут быть	6	2
следующим образом	1	1
более ранним	1	1
в дремучий	1	3
там где	6	1
древнейшая форма	1	1
в пермской	1	2
мы видели	7	2
сказать что	2	2
отнюдь не	1	1
в бывшей	2	1
вместе с	22	7
он должен	1	2
в сказаниях	1	1
чтобы попасть	1	1
в лесу	2	15
себя как	1	1
мы знаем	8	11
представлений о	7	1
в том	6	6
герой уходит	1	1
царства мертвых	1	1
происходит в	1	2
в его	12	6
только у	2	2
е у	1	1
д все	1	1
это время	2	1
к следующему	1	1
животный вид	1	1
происходит не	1	1
чем продолжать	1	1
из форм	1	1
давно известно	1	1
не мотивировано	1	1
приводит к	1	2
посвящением в	1	1
в связи	4	5
о том	7	3
ее сердце	1	1
этих обрядов	1	2
живет в	5	2
но после	1	1
см в	1	2
но некоторые	1	1
в избушке	2	9
возможно что	1	2
в подземное	1	1
его не	3	2
есть ли	1	2
этот мотив	6	4
на вопрос	1	2
в виду	1	2
в руки	1	2
на то	2	3
в животное	6	2
этих способностей	1	1
можно сделать	1	1
лес только	1	1
материалов по	1	1
сказках о	1	2
детей и	1	1
впечатление что	1	1
в долганском	1	3
в некоторых	4	2
быть не	1	1
здесь прослеживать	1	1
птиц в	1	1
главным образом	1	2
это верно	1	1
неверно уже	1	1
также в	1	2
идет речь	1	1
по мере	2	3
что умерший	1	1
как мы	5	1
д требует	1	1
может быть	17	17
ягой или	1	1
особого рода	1	1
в каких	1	3
и его	9	3
в одной	1	4
понимать язык	2	1
правда в	1	1
очень многих	1	1
два брата	1	1
его право	1	1
по окончании	1	1
или его	1	2
одном случае	1	2
подробнее мы	1	1
в саду	1	1
в комнату	1	1
с каким	1	1
мифе о	1	1
из воды	2	1
подтверждается материалами	1	1
и могут	1	1
вовсе не	2	1
она не	2	5
у якутов	1	1
мертвых это	1	1
нашей сказке	1	2
на семь	1	1
можно назвать	1	1
есть не	1	1
момент когда	1	2
это явление	1	2
в тех	1	2
этого мотива	8	5
ее тело	2	1
что герой	3	5
с тем	8	9
он бросает	2	1
это показывает	2	1
здесь нет	1	2
будем здесь	2	1
герой никогда	1	2
имеем более	1	1
я не	1	2
за собой	1	1
из этого	1	1
что обряд	2	1
себя где	1	1
здесь не	1	2
как указано	1	3
увидим что	1	3
представления и	1	2
не сам	1	2
вслед за	1	1
выдает себя	1	1
их рассмотрение	1	1
герой сказки	1	1
другой версии	1	1
на куски	1	4
отличие от	1	1
можно бы	3	1
его к	3	1
тот же	1	1
см неи	1	5
формы эти	1	1
неи этот	2	3
и действительно	5	1
можно в	1	1
говорит об	1	1
и других	2	1
здесь нас	1	1
со стороны	2	1
это постоянная	1	2
в этнографии	1	1
одно из	1	2
сложился на	1	1
в таком	1	1
пришли в	1	2
в частности	7	1
что здесь	3	4
как говорит	1	1
по земле	1	1
нет ничего	1	2
с которой	1	2
на небо	6	1
случаи представляют	1	1
другой сказке	2	1
тело его	1	2
очень ясно	2	1
показывает что	5	4
свою жену	1	1
на этой	4	2
здесь можно	2	5
не будем	5	4
ответ на	1	1
не было	1	2
он еще	1	1
мать или	1	1
по дороге	1	1
человек а	1	1
того чтобы	3	2
но чаще	1	1
то это	3	6
только в	7	6
приведем еще	1	1
в этой	3	4
ней и	1	1
посвящаемый как	1	1
другой стороны	8	2
можем здесь	1	1
покажет нам	1	1
в русском	1	2
отношению к	2	3
т е	16	29
после этого	2	4
на мелкие	1	1
труп в	1	1
в мифах	6	4
материал и	1	1
его с	1	1
