4gram	Vygotskiy_Psychologia_partition_part5_wordlist_4gram	Vygotskiy_Psychologia_partition_part3_wordlist_4gram
заключается в том что	4	4
с одной стороны это	1	1
указывает на то что	3	2
если мы перейдем к	1	1
которых мы все время	1	1
с этой точки зрения	1	1
и совершенно ясно что	1	1
и что в этом	1	1
все время как бы	2	1
и в сущности говоря	1	1
же самое видим мы	1	1
мы могли бы сказать	1	2
в то время как	2	1
секрет художника заключается в	1	1
для того чтобы увидеть	2	1
состоит в том что	1	2
с и в самом	2	1
в двух противоположных направлениях	1	2
только обратиться к самому	1	1
время вызывает в нас	1	1
в самом деле если	1	2
и мы увидим что	1	2
не только то что	1	1
образом мы видим что	2	2
именно на этом противоречии	1	1
в том и заключается	1	2
вступить в противоречие с	1	1
том и заключается что	1	1
таким образом мы видим	1	1
и то что в	1	1
могла бы дать повод	1	1
стоит только обратиться к	1	1
одной и той же	1	2
о которых мы говорили	2	1
о которых мы все	1	1
до сих пор не	1	1
замечательно и то что	1	2
мы все время говорим	1	1
одно и то же	2	3
художника заключается в том	1	1
и в самом деле	9	1
тенденцию к тому чтобы	1	1
в том что всякое	1	1
то для того чтобы	1	1
один и тот же	1	1
с другой стороны мы	1	1
все время вызывает в	1	1
настоящий секрет художника заключается	1	1
в двух планах в	1	1
ссылается на то что	1	1
в том чтобы формой	1	1
мы сейчас увидим что	1	2
заключается в том чтобы	1	1
того чтобы увидеть что	2	1
подготовлен к тому что	1	1
заключает в себе непременно	1	1
и мы никогда не	1	1
которых мы говорили выше	1	1
в том что оно	1	1
