3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
что с самого	1	1
удивительно поэтому что	4	1
мы говорили выше	1	2
из того что	4	2
мы стремились показать	1	2
речи от внешней	1	1
изменения и развития	1	1
не могут быть	1	1
речь ребенка представляет	1	2
эгоцентризма детской мысли	1	1
то что с	2	1
как мы уже	3	1
можно было бы	5	1
никогда не может	1	1
сомнений в том	1	1
ребенка представляет собой	1	2
для того чтобы	10	18
во всяком случае	6	1
вне поля зрения	1	1
и речи не	1	1
что мы не	1	1
в современной психологии	1	1
доказательство того что	1	1
сам с собой	2	1
онтогенетического развития мы	1	1
о том что	4	4
с которым мы	1	1
друг с другом	2	2
на то что	6	4
в высшей степени	7	1
условием для того	1	1
мы видим в	2	1
бы показать что	1	1
и то что	1	3
речи идет по	1	1
в фонетическом отношении	1	1
является прямо противоположным	1	1
в самое последнее	1	1
функциональных и структурных	1	1
если мы сумеем	1	1
на самом деле	2	2
если мы примем	1	1
функции эгоцентрической речи	1	1
в том числе	3	1
к внутренней речи	1	3
но сама по	1	1
для себя но	1	1
не только не	1	9
как и в	1	3
зависимости от этого	2	1
интеллектуальную операцию шимпанзе	1	1
с помощью этого	1	1
что все это	1	1
друг от друга	2	2
потому что как	1	1
той ситуации в	1	1
речи к внутренней	3	2
развитии детской речи	2	1
то и другое	1	3
эгоцентрическая речь ребенка	4	5
скажем только что	1	1
той или иной	1	1
которые в своем	1	1
его мысли и	1	1
мы могли бы	4	4
на самом же	1	1
этой точки зрения	1	4
эгоцентрической речи является	1	2
того факта что	1	1
и связи с	1	1
включает в себя	1	1
как раз в	2	2
на первом месте	1	1
в зависимости от	6	1
тот факт что	1	1
к чему приводит	1	1
в детском коллективе	1	1
необходимым условием для	2	1
является необходимым условием	2	1
несмотря на то	1	1
не случайна что	1	1
что эгоцентрическая речь	3	8
он знал что	1	1
совершенно понятно что	1	1
ситуации в которой	1	3
в известный момент	1	1
того чтобы окончательно	1	2
речи для того	1	2
по своей психологической	3	3
все учение о	1	1
по сравнению с	5	7
и ко всем	1	2
которым мы сталкиваемся	1	1
развития в зависимости	1	1
в том и	1	3
об эгоцентрической речи	2	2
эгоцентрической речи с	1	1
в том что	21	13
мы не станем	2	1
речевого развития ребенка	2	2
что мысль ребенка	1	1
к выводу что	1	2
точки зрения теории	2	1
речью для себя	1	1
представление о том	1	2
только в самое	1	1
относительно того что	3	1
в развитии ребенка	3	1
стремились показать что	1	2
одной стороны и	2	3
как в детском	1	1
мы должны были	1	1
с таким образом	3	1
речь не только	1	1
своей природе и	1	1
то что для	1	2
с ней в	1	1
связаны между собой	1	3
между мышлением и	5	2
но вместе с	1	1
дело идет о	1	1
так же как	1	7
должны были бы	2	1
приводит к тому	1	2
самое последнее время	1	1
развитии мышления и	2	1
исходить из того	1	1
эгоцентрической речи ребенка	2	5
в том же	2	1
и другое не	1	1
эгоцентрической речи к	1	3
речи и в	1	3
по отношению к	5	5
в конечном счете	4	2
с другой стороны	1	1
является общим для	1	1
в этом ее	2	1
в отличие от	3	2
основе эгоцентрической речи	1	1
сам по себе	1	1
мышлением и речью	5	2
речи с одной	1	1
мы тем самым	1	1
самом деле если	1	1
т.е по своей	1	1
к еще большему	1	1
что представляет собой	1	1
на всем протяжении	2	4
до некоторой степени	1	1
мы находим в	1	2
смысле этого слова	3	3
она не может	1	1
том что он	1	2
благодаря тому что	1	2
мышления и речи	9	6
от речи и	1	1
в данном случае	3	5
точки зрения нашей	1	1
об одном и	1	1
мышление ребенка и	2	1
случае не только	1	1
только и может	1	1
именно в этом	1	2
того и другого	1	2
нам думается что	2	1
между словом и	1	8
коэффициент эгоцентрической речи	1	3
он говорит что	1	1
социальной функции речи	3	1
в этих опытах	1	2
к выводу о	1	1
в такой же	1	3
можно сказать что	1	3
психологического контакта с	1	1
с одной стороны	7	5
к другу и	1	1
том числе и	3	1
функций и в	1	1
во внутреннюю речь	1	3
психологической функции и	1	1
что эта речь	1	4
детского мышления и	1	2
то что между	1	1
в пользу того	2	1
в этом отношении	3	3
вместо того чтобы	1	1
основного и центрального	1	1
учении о речи	1	1
с несомненностью констатировать	1	1
бы сказать что	1	2
эгоцентрическая речь является	1	1
никогда не могут	1	1
точно так же	1	2
друг к другу	1	1
как мы видели	1	3
учении о мышлении	1	3
речи и к	1	1
детского мышления как	2	1
в начале развития	2	3
анализ приводит нас	1	1
мышление и речь	2	2
в известном смысле	1	2
в собственном смысле	3	3
речи у ребенка	1	1
в опытах келера	1	1
укажем только на	1	1
с самого начала	1	7
в самом деле	4	4
потому что он	2	2
оба эти момента	1	2
той и другой	2	3
до сих пор	1	3
во всем его	1	1
том что перед	1	1
сама по себе	2	1
что они говорят	1	1
учение об эгоцентрической	1	1
шаг за шагом	1	1
своей психологической функции	3	1
на вопрос о	2	1
зрения нашей гипотезы	1	1
потому что его	1	1
в последнее время	4	2
том что в	2	2
если бы мы	2	1
к действительности и	1	1
с точки зрения	18	21
по сути дела	1	1
возникает тогда когда	1	1
мы уже говорили	3	1
существует не только	1	1
точки зрения того	1	1
мы не можем	3	3
мышления как она	1	1
в этом смысле	2	1
что она не	1	1
от социальной речи	3	5
после того как	1	1
развития детской речи	1	1
к мысли взрослого	1	1
в сущности говоря	1	2
пользу того что	1	1
речи таким образом	1	2
и речи в	1	2
если мы обратимся	1	1
тогда когда ребенок	1	1
что в этом	1	2
речь таким образом	1	2
с психологической стороны	1	1
в силу этого	1	1
что он не	2	1
совершенно особую функцию	1	1
речи но сама	1	1
как эгоцентрическая речь	1	1
все что мы	4	3
отношение между мышлением	4	1
зрения того что	1	1
случайна что она	1	1
только в том	1	1
друг на друга	1	1
речи в которой	1	2
по своей природе	1	4
только на то	1	1
в самом простом	1	2
том и заключается	1	1
не может ни	1	1
то же самое	2	5
к этой проблеме	1	1
связь между словом	1	4
говорит по этому	1	1
между ребенком и	1	1
имеет в виду	1	3
установление того факта	1	1
эгоцентрической речи в	1	8
подобно тому как	2	1
что связь между	2	1
мы обратимся к	1	1
по этому поводу	3	3
во всей их	1	1
не может быть	6	4
современной психологии в	1	1
самом же деле	1	1
по ту сторону	2	1
развития с точки	1	1
в целом и	1	1
само по себе	2	1
того чтобы показать	1	1
состоит в том	3	3
и онтогенетического развития	1	1
привело нас к	1	2
остается в силе	1	1
в учении о	4	6
не является побочным	1	1
речи не может	1	1
от внешней речи	3	3
как это делают	1	1
заключается в том	7	4
прийти к выводу	1	1
что с точки	1	1
же самое что	2	2
только тогда когда	2	1
по нашему мнению	1	1
и тем самым	1	4
я не хочу	1	1
точки зрения психологической	1	1
в развитии мышления	4	2
из этих двух	1	1
речи мы можем	1	2
не удивительно поэтому	4	1
в целом но	2	1
внутренней речи и	1	4
и только что	1	1
но мы должны	1	2
почти недоступной для	1	1
