4gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_4gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_4gram
заключается в том что	1	2
в борисе годунове пушкина	1	1
одним и тем же	1	2
в том смысле что	1	1
того чтобы можно было	1	1
в том что в	2	2
пушкина по рукописям и	1	1
на то что в	1	2
виде в каком он	1	1
и т д на	1	1
академического издания сочинений пушкина	1	1
и чернышева по поводу	1	1
в той мере в	2	1
аргументации в и чернышева	1	1
издании бориса годунова г	1	1
достаточно для того чтобы	2	2
совсем не в том	1	1
в и чернышев в	1	5
в начале xix века	1	1
академическое издание сочинений пушкина	1	1
и в этом отношении	1	1
и сам в и	1	2
от издания к изданию	1	1
в и чернышев спрашивает	1	1
о том что пушкин	1	3
словаре академии российской т	1	2
в словаре академии российской	2	3
но все же только	1	1
для в и чернышева	1	2
для того чтобы можно	1	1
между пушкиным и его	2	1
говорит о том что	1	2
к борису годунову в	1	1
и т п в	1	3
сомнений в том что	1	1
не говоря уже о	1	1
не зная пушкинских рукописей	1	1
не имеет ничего общего	1	2
здесь нет и речи	1	1
в то же время	1	4
имеет ничего общего с	1	2
в том-то и дело	1	1
сам в и чернышев	1	2
дело в том что	4	4
во всяком случае не	2	1
но только совсем не	1	1
в и чернышев не	1	6
ни на чем не	1	1
отчета в том что	1	1
уже о том что	1	1
только совсем не в	1	1
без всякого внимания к	1	1
ответ на вопрос о	1	1
в и чернышева по	1	1
критика нового академического издания	1	1
в том что он	2	1
вопрос о том кто	1	1
внимание на то что	1	1
той мере в какой	2	1
