4gram	Potebnia_Myslijsyk_partition_part3_wordlist_4gram	Potebnia_Myslijsyk_partition_part4_wordlist_4gram
у царя трояна козьи	1	1
заключается в том что	1	1
в том смысле что	1	1
но тем не менее	2	2
для меня то что	1	2
по себе независимо от	1	2
согласие в мыслях вместе	1	1
вместе непонимание всякое согласие	1	1
понимание есть вместе непонимание	1	1
и в слове и	1	1
ни действия ни качества	1	1
вместе с тем и	2	2
в слове мы различаем	1	1
том смысле в каком	1	1
значило бы перестать быть	1	1
же следует сказать о	1	1
а в том что	1	1
непонимание всякое согласие в	1	1
между тем и другим	2	1
и проч но не	1	1
меня то что я	1	1
по мере того как	4	3
бы ни был этот	1	1
только в том что	1	2
по крайней мере если	1	1
предложения иначе как в	1	1
царя трояна козьи уши	1	1
не заботясь о том	1	1
всякое понимание есть вместе	1	1
и в том что	1	2
не в том что	1	3
в обыкновенном смысле этого	1	1
этот образ сам по	1	1
не глядя на доску	2	1
не заключает в себе	1	2
то что я представляю	2	2
и что только в	1	1
но и в том	1	1
есть для меня то	2	1
образ сам по себе	1	1
то же следует сказать	1	1
том случае когда мы	1	1
или что то же	1	1
предмет сам по себе	1	1
другой значило бы перестать	1	1
в языке и поэзии	1	1
к одной и той	1	1
иначе как в виде	1	1
одной и той же	1	2
тем а не другим	1	1
обыкновенном смысле этого слова	1	1
по тому одному что	1	1
только тогда когда предшествующие	1	1
и в таком случае	1	1
приведем относящееся сюда место	1	1
разве только тогда когда	1	1
пламя свечи не дробится	1	1
что у царя трояна	1	1
в том смысле в	1	1
что язык есть средство	1	1
в то же время	3	5
то же время и	1	1
то тем самым мы	1	1
что первое слово есть	1	1
один и тот же	2	1
в то время когда	1	1
только до тех пор	1	1
одна и та же	1	1
в приведенном выше примере	1	1
в силу того что	1	1
в том что как	1	1
только после того как	1	1
всякое согласие в мыслях	1	1
выражать уже готовую мысль	1	1
и та и другая	1	1
в том случае когда	1	1
из сказанного ясно что	1	1
уже по тому одному	1	1
в мыслях вместе несогласие	1	1
одним и тем же	1	3
есть вместе непонимание всякое	1	1
в живой речи есть	1	1
по своему влиянию на	1	1
