2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram
п и	1	2
форма слова	1	1
все же	12	7
речи и	5	5
в область	1	1
все дело	1	2
к тем	1	1
так например	2	1
сплошь да	1	2
с полным	1	1
не следует	1	5
основании что	1	1
нас совершенно	1	1
недостаточно для	1	1
том и	2	1
коллектива к	1	1
в точности	1	1
выражение в	1	3
она есть	1	1
зам зав	1	1
языка можно	1	1
общего с	1	1
язык лишен	1	1
слова и	4	5
даже в	3	1
в прямой	1	1
мы имеем	6	5
проще всего	1	2
языка поскольку	1	1
с языком	2	1
в наших	1	1
с такими	1	1
кроме того	1	1
принципиально представляется	1	1
падежные формы	1	1
и далее	1	2
быть понятен	1	1
иначе как	2	1
свой язык	3	1
на язык	4	1
действительно в	1	1
то мы	3	1
его и	1	1
связан с	1	1
так и	7	4
общем случае	1	1
конечно нужно	1	1
в иных	2	2
и т	33	39
как нельзя	1	1
не нов	1	1
когда мы	2	1
еще и	5	2
и у	1	2
как зам	1	1
языкового выражения	1	6
ораторской речи	3	4
есть нечто	1	1
мы с	1	2
в известном	1	1
тем самым	4	2
первая же	1	1
то что	9	9
но как	1	1
примером может	1	1
всегда в	1	1
в каком	2	4
и от	1	2
имеет смысл	1	1
устной речи	2	1
часто и	1	1
который будучи	1	1
никак не	2	3
слово извиняюсь	2	1
строго и	1	1
и некстати	1	2
наряду с	1	1
в особенности	3	4
самый факт	1	1
должна быть	3	5
в одном	3	1
а главное	1	3
в свою	3	2
речи можно	4	1
какой смысл	2	2
языка так	1	1
иное как	2	1
котором идет	2	1
тому же	1	1
что-либо в	2	3
который уже	1	1
прямой связи	1	1
несмотря на	3	5
той же	3	2
обратно в	1	1
от себя	2	1
в обычном	1	2
если бы	9	12
связи с	7	3
может иметь	2	1
ни в	2	4
к одному	1	1
что в	17	10
как не	1	3
речи к	1	1
о таком	1	1
что целый	1	1
нас в	1	1
однако в	1	1
языка не	3	2
которая находит	1	1
бы часть	1	1
в своей	2	2
к сожалению	1	1
как раз	8	3
или же	1	2
которое было	1	2
сказал бы	1	1
что можно	2	3
но дело	1	1
с его	4	1
в противоречии	1	1
как только	1	1
этом случае	2	2
нужно будет	1	1
что она	3	3
все более	1	1
как правило	1	1
в той	5	2
обратить внимание	2	2
бы и	2	4
что если	2	2
слова на	1	1
зависимости от	6	5
и что	5	8
и все	2	2
к языку	5	1
почти ни	1	2
содержания и	1	1
мы говорим	2	2
то только	2	2
