2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
мы станем	2	1
раз наоборот	1	1
последних словах	1	1
все же	7	5
эта трагедия	1	2
речи и	1	1
вытекает из	1	1
времени и	3	2
смотреть на	3	1
к фабуле	1	1
имели дело	1	1
необходимо чтобы	1	1
так например	3	4
это совершенно	2	3
нас совершенно	1	2
том и	2	1
в одну	1	1
сейчас увидим	2	1
и представляет	1	1
что ему	2	2
наконец он	1	1
есть та	1	1
трагедии заключается	1	1
этой трагедии	4	3
каком-то совсем	1	1
его силы	1	1
общего с	1	1
второй раз	1	1
и каждый	1	1
есть к	1	1
преодолевает его	2	1
даже в	1	2
что им	1	1
себя за	1	1
самую трагедию	1	1
огромной силы	1	1
прав когда	5	2
мы имеем	8	2
и к	4	2
лежат на	1	1
европейском мире	1	1
к другому	2	1
конечном счете	1	1
эмоционального действия	1	1
а благодаря	1	1
и попытаться	1	1
высокой степени	1	1
чтобы заставить	1	2
всем его	1	1
с мы	2	1
мы совершенно	1	4
что при	3	2
таком понимании	1	1
на язык	1	1
от нее	1	1
то мы	1	1
нашего исследования	1	1
его и	1	2
шекспира но	1	1
так и	3	3
то здесь	2	1
прямо противоположное	2	1
месте где	1	1
и т	7	6
не является	2	2
характера и	2	8
уже давно	4	1
имеет ли	1	1
при таком	3	3
нас от	1	3
другой совершенно	1	1
действующие лица	4	1
когда мы	6	6
тому который	4	1
что зритель	1	2
указывали на	1	1
и почему	2	2
то что	37	44
стороны он	2	2
но как	1	1
сущности говоря	8	2
что тут	1	1
в каком	3	8
приводит в	1	1
и от	1	2
чтобы сделать	1	2
мы окончательно	1	1
мы пережили	1	1
из того	3	1
никак не	6	6
именно то	4	1
в монологе	1	1
король убит	1	1
поступает иначе	1	1
или трагедию	1	1
которая имеет	1	1
имеет в	1	1
убийстве о	1	1
можно выразить	1	1
в одном	2	3
хочет изобразить	1	1
в свою	3	1
тот факт	4	1
многие критики	1	1
иное как	2	1
тому же	1	3
в воображении	2	1
героя является	1	1
несмотря на	5	1
противоположным тому	1	1
той же	3	4
часто совершенно	1	1
иначе говоря	1	2
та же	1	3
эти отступления	1	4
мы получим	2	3
нет никакого	1	1
связи с	2	2
мы найдем	4	1
же точно	6	7
построения и	1	2
ни в	3	3
нигде не	1	1
легкого дыхания	1	3
полония и	1	3
и той	2	2
то время	1	2
как не	1	1
что в	24	21
совершенно очевидно	5	1
этой цели	1	2
для объяснения	1	1
двух противоположных	6	2
допустить что	1	1
в приложении	1	2
но совершенно	1	4
а как	2	2
о самом	1	1
за ним	1	1
приложении к	1	2
как раз	13	9
в своей	4	4
эстетического факта	1	1
трагической формы	1	1
которое было	1	1
ход событий	1	1
друг с	3	4
на первый	2	1
макбета и	1	1
в основе	7	3
напротив того	2	2
очень легко	3	4
две линии	1	1
с его	2	2
говорит нам	1	2
как только	4	2
что дело	2	1
что она	6	10
бы если	2	1
в той	3	3
этот закон	2	2
что если	6	3
смысл в	1	1
и что	23	25
ближе к	1	1
эти три	2	2
на самый	1	1
и все	4	12
что самое	2	5
содержания и	4	1
никто не	1	4
на этот	3	3
чтобы нам	1	1
которое мы	3	1
сюжета и	1	2
и заключается	4	1
бы мы	3	3
нам кажется	2	2
мы меньше	1	1
вся трагедия	1	1
или иные	1	1
и другую	1	3
мы только	2	1
что на	3	1
еще одно	1	1
и о	3	4
жизни и	6	4
новые исследователи	1	1
то вероятно	1	1
себя и	2	1
для чего	2	4
содержание и	4	1
в пьесе	1	2
которые служат	1	1
из которых	4	3
король и	2	1
сейчас же	8	16
что эта	4	6
в них	4	2
гамлета а	1	3
что форма	1	2
о смерти	5	5
кажется что	1	2
мы хотим	2	1
и сюжета	1	2
только не	5	2
на одном	4	1
для понимания	1	2
этого романа	1	1
на деле	8	1
в основу	4	3
что все	6	11
и так	2	4
говорит сам	1	1
не то	1	4
и ни	2	1
как звуки	1	1
действия и	4	2
понятно что	2	3
не может	9	10
которого мы	2	1
и за	1	3
с психологической	1	2
иметь дело	1	2
там где	4	1
не имея	1	1
сказать что	9	13
то есть	13	13
следует понимать	2	1
дано в	1	1
в трагедии	15	10
если взять	1	2
вместе с	12	8
слово это	1	1
он должен	8	1
но никак	1	1
невозможно потому	1	1
простейший пример	1	1
и поступки	1	1
в том	27	21
мы знаем	2	2
составные части	1	1
психологии и	1	1
этого материала	1	1
в его	4	10
между характером	1	1
верно что	3	2
свое мнение	1	1
они даны	1	1
к следующему	2	1
в нас	13	1
на две	1	2
вступить в	1	1
как они	2	1
мы имели	1	1
мысль о	4	1
бы как	1	1
и другим	1	2
и может	1	5
надо сказать	1	3
совершенно невозможно	1	1
в последней	1	2
о том	10	20
между тем	1	1
бы нарочно	1	1
в моем	1	1
формы как	1	1
совершается в	1	2
который все	1	1
что самая	1	2
противоречие с	2	1
то обстоятельство	1	1
в виду	4	2
в руки	1	2
на то	17	10
по традиции	1	1
к самому	2	2
да и	1	3
в музыке	1	1
которых он	2	1
по смыслу	1	1
есть только	2	2
она построена	1	1
и смысл	1	2
что задача	1	1
мы и	1	1
его словам	1	1
в некоторых	1	1
что ее	1	2
этой точке	1	2
не все	1	2
главным образом	1	1
как мы	5	4
двух планах	3	1
относится к	1	1
трагический поэт	1	1
может быть	11	22
в каких	1	2
и его	6	5
в одной	2	2
не можем	4	3
ритма как	2	1
произведения и	1	1
так мы	1	1
однако мы	1	2
с таким	2	2
согласны в	1	1
в отношении	2	1
эту мысль	2	1
были бы	1	1
из той	1	1
вовсе не	3	5
она не	1	3
всего на	1	1
совершенно иное	1	1
и показывает	1	1
мы воспринимаем	6	1
исходили из	2	1
в поэтике	1	1
есть не	4	1
виде и	1	1
планах с	2	1
была бы	3	2
его от	1	1
противоречие и	1	1
искусства в	2	1
кажется нам	6	3
в виде	1	3
с тем	8	4
совершенно верно	4	6
это есть	3	1
сам не	1	1
трагедия и	2	1
обратиться к	5	3
из этого	2	5
в отдельности	1	1
авторы как	1	1
для стиха	1	1
сходятся два	1	1
образом что	3	2
на той	1	1
говорит она	1	1
ни о	1	1
бы в	5	1
увидим что	9	3
вслед за	1	3
к которой	1	3
чувств и	4	1
простой смысл	1	1
и смысла	1	1
эти два	3	1
показать как	4	2
нем нет	1	2
на которых	2	1
