4gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_4gram
в том смысле что	3	1
можно ли в таком	1	1
с начала до конца	1	1
с этой точки зрения	1	1
в то время как	4	3
необходимо обратить внимание на	1	1
тем не менее в	1	1
также и то что	4	2
не чем иным как	1	2
или по крайней мере	4	1
что бы то ни	1	1
уже по одному тому	1	1
не что иное как	4	3
ли в таком случае	1	1
в том что и	1	1
еще и потому что	1	1
же в конце концов	1	1
бы то ни было	3	1
по крайней мере в	1	1
ни в чем не	2	1
только и состоит из	1	1
ничего общего не имеет	1	1
дело в том что	2	2
только о том что	1	1
бы то ни стало	1	1
только в связи с	1	1
и то и другое	1	1
в связи с теми	1	1
во что бы то	1	1
с другой стороны это	1	1
по одному тому что	1	1
в том что он	1	1
одним и тем же	1	1
мы должны сказать что	2	1
