3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram
перед нами в	2	1
и не потому	1	1
в пределах монологического	1	1
не только в	1	1
романы и повести	1	1
непосредственное выражение в	1	1
можно было бы	1	3
для того чтобы	1	2
полифоническом романе достоевского	2	3
входит в мир	1	1
в одном сознании	1	1
он ни был	1	1
авторским словом и	1	1
значит конечно что	1	2
преступления и наказания	1	1
друг с другом	2	3
о том что	3	2
в высшей степени	1	1
едином объективном мире	1	1
романа но и	1	1
этой точки зрения	2	1
друг друга и	1	1
а не как	1	3
и о своем	1	1
у него не	1	1
авторской художественной воли	1	1
и для него	1	1
сознания с их	1	1
до конца может	1	1
из подполья и	1	2
увидеть и показать	1	1
на самом деле	1	3
в большинстве случаев	2	2
идет не об	3	3
слово о себе	1	1
автор не оставляет	1	1
то есть они	2	1
в его целом	3	5
его сознания и	1	1
творческого процесса и	1	1
постановке идеи в	1	1
но потому что	1	1
в его произведениях	1	2
как раз и	1	1
бы тот же	1	1
полном смысле этого	1	1
как у достоевского	1	1
в пределы одного	2	1
человека в человеке	2	3
даже там где	1	1
в братьях карамазовых	2	1
в одной плоскости	4	3
не входит в	2	1
одной плоскости с	3	1
и окружающий его	1	1
записок из подполья	1	3
в каждом слове	1	1
принципом видения и	1	1
для него не	1	1
но не только	1	1
этом смысле глубоко	1	1
в зависимости от	3	3
и иваном карамазовым	1	1
должно быть раскрыто	1	1
и в этом	6	3
литературе о достоевском	1	1
и в романе	1	2
смерти все это	1	1
тому как в	1	1
и еще не	1	1
потому что не	1	1
и в сущности	1	1
что у вас	1	1
видения и изображения	2	4
том что все	1	1
достоевского вовсе не	1	1
художественного изображения героя	1	1
и не может	2	2
по сравнению с	2	1
себя в чужих	1	1
ивана карамазова и	1	4
достоевского так же	1	1
из авторского замысла	1	1
же как и	2	1
при всей их	1	1
но он не	1	1
в том и	1	1
потому что у	2	1
нам кажется что	1	2
и поступков человека	1	1
героя о себе	1	3
с авторским словом	2	1
в том что	4	7
в то время	1	2
принцип то есть	1	1
то есть без	1	1
как большой диалог	1	1
это не значит	1	2
не потому что	1	2
с чужою мыслью	1	1
идеи у достоевского	3	1
зрения на него	1	1
его художественной формы	1	1
оно может быть	1	1
то же время	3	7
к творчеству достоевского	1	1
в которых может	1	1
хотя и не	1	1
бы он ни	1	1
одинаково не способны	1	1
полифонический роман достоевского	1	2
же авторской позиции	1	1
у самого достоевского	1	2
дело идет о	2	2
а не слово	1	1
герой достоевского не	1	1
в результате такого	1	1
новое отношение к	2	1
так же как	3	1
и его слово	1	1
и как бы	2	1
в себе все	1	1
именно потому что	1	2
по крайней мере	2	2
в его мировоззрении	1	1
то есть в	8	3
в основе построения	1	1
с их мирами	2	4
по отношению к	8	11
с другой стороны	1	2
что дело идет	1	1
слов о нем	1	1
тем более что	1	1
в отличие от	1	2
а потому и	1	1
словесного стиля достоевского	1	1
конца может развить	1	1
для себя самого	1	1
новой романной структуры	1	1
достоевского не только	1	1
для достоевского не	2	1
он не может	1	1
взаимоотношения с другими	1	1
мы уже отмечали	1	1
в нем и	1	1
достоевского таким образом	1	2
двух или нескольких	1	1
здесь мы должны	1	1
они и не	1	1
лишь для героев	1	1
есть если бы	1	1
смысле этого слова	2	1
она не может	2	1
как и герой	1	1
отношению к герою	3	1
но с другой	1	1
не сливается с	1	1
в его романах	4	1
героя и его	1	2
в романе достоевского	1	6
сочетается с ним	1	1
в данном случае	1	2
и другом случае	1	1
в одном из	1	2
но все же	2	1
в то что	1	1
пределы одного сознания	2	1
в момент его	1	1
и других они	1	1
то есть он	1	1
каждого романа достоевского	1	1
в некоторых из	1	1
как мы сказали	3	1
в литературе о	2	1
том и другом	1	1
можно сказать что	2	2
и не входит	1	1
в них в	1	1
они уже не	1	3
в обычном смысле	1	1
особенности произведений достоевского	2	1
здесь конечно не	2	1
в то же	3	7
в этом отношении	2	5
все стороны его	1	1
автора то есть	1	1
к чужому сознанию	1	1
новая авторская позиция	2	1
но как в	1	1
и человек из	1	1
героя и здесь	1	1
сознания героев в	1	1
друг к другу	3	1
себе самом и	1	3
в его мире	1	2
о себе самом	3	6
что в мире	1	1
уже в первом	1	1
его творчества в	1	1
автора по отношению	2	1
в полном смысле	1	1
в первом произведении	1	1
была для него	2	1
в письме к	1	1
вполне понятно что	1	1
человек из подполья	2	3
с самого начала	1	2
литературе о нем	1	1
в самом деле	3	2
творца полифонического романа	1	1
в его творчестве	3	2
тех или иных	1	1
человека из подполья	1	3
такие герои как	1	1
ни один элемент	1	1
авторского изображения и	1	1
видения и понимания	1	3
входит в его	1	1
по природе своей	1	1
до сих пор	2	2
здесь никогда не	1	1
романах достоевского но	1	1
не согласиться с	1	1
со стороны самого	1	1
говорит об этом	1	1
то же что	2	1
раскольникова ивана карамазова	1	2
в произведениях достоевского	3	2
дело в том	1	1
с точки зрения	9	15
в творчестве достоевского	1	4
то что я	1	1
мы уже говорили	2	1
что он сам	1	1
может быть только	2	1
в романах достоевского	5	6
его видения и	1	1
они никогда не	1	1
и герои его	1	1
нести в произведении	2	1
и т.п все	1	1
в этом смысле	5	9
для понимания и	1	1
герои достоевского в	1	1
что она не	1	2
достоевского в этом	2	1
в мире достоевского	2	4
авторской точки зрения	3	1
но именно этот	1	1
три плана в	1	1
почти никогда не	1	1
в бедных людях	1	1
не значит конечно	1	2
с другом в	1	1
же время не	1	2
