2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram
слова только	1	1
все же	6	1
отлично от	1	2
его в	1	4
подобно тому	3	2
человека только	1	1
каждое лицо	1	1
вопрос только	1	1
с языком	2	2
тех и	2	1
в развитии	1	1
а есть	1	1
и противоположность	1	1
которым мы	1	1
иначе как	2	1
как теперь	1	2
членораздельные звуки	1	1
и т	6	7
в известном	1	1
то что	10	29
так а	1	1
общим чувством	4	1
и слушающего	1	1
с понятием	2	1
его как	1	1
все его	1	1
лишь по	1	1
языка так	1	1
потому можно	1	2
связи с	3	3
то время	1	1
и той	3	1
как не	1	1
к познанию	1	1
слово но	1	1
смысле в	4	1
уже и	1	2
что можно	3	1
когда оно	1	2
же с	7	2
при самом	4	1
все более	3	3
с представлением	1	1
виде есть	1	1
не противоречит	1	1
бы кто	1	1
славянские и	1	1
никто не	3	2
должно бы	4	1
нашей мысли	1	3
нам кажется	1	2
не без	1	1
для преобразования	1	1
природы есть	2	1
не есть	10	9
те же	1	3
могут быть	9	7
с психологической	1	2
из которого	3	1
сознания и	1	1
сказать о	1	1
преобразования чувственных	1	1
о языке	3	2
в его	5	5
все равно	1	3
ли мы	1	1
в нас	7	3
мы бы	1	2
и другим	1	3
и может	2	4
с нею	4	3
связан в	1	1
нас самих	1	1
не заключает	1	1
мыслью и	2	1
да и	1	4
деятельности мысли	2	1
языка то	4	2
есть только	11	5
понятие о	1	1
только совокупность	1	1
по мере	6	7
не можем	2	5
образом уже	1	1
были бы	3	1
вовсе не	5	7
к ним	2	2
про себя	1	1
такой степени	1	6
переход к	1	1
из этого	2	2
образом что	2	2
мысли с	3	1
к лицу	1	1
бы в	4	2
до слова	2	1
и нет	1	1
сами не	2	2
языка вообще	1	1
а вместе	3	1
с и	3	2
причем между	1	1
в глазах	3	2
вместе и	9	2
это потому	1	2
могли быть	1	1
в каждой	1	1
эту субъективность	1	1
как предмет	2	1
когда мысль	1	1
каждого слова	1	1
с пути	1	1
другой стороны	5	1
так сказать	2	5
лучи и	1	1
мысли только	1	1
отношению к	13	8
что способность	1	2
предполагаемые этим	1	1
то и	7	4
дойти до	1	1
что содержание	1	1
его с	2	1
явления природы	1	1
и какое	1	1
но для	1	1
до него	1	1
и не	18	18
что язык	16	7
выше мы	1	2
лежит в	1	1
таким образом	13	24
степени разложения	1	1
языкознания это	1	1
тогда когда	9	8
имеет свою	1	2
тем что	9	10
без языка	4	2
смысле этого	1	1
дает нам	1	1
все эти	1	3
которого не	1	1
этот процесс	1	1
в данном	1	4
на словах	1	1
значительной степени	2	2
смысле и	1	1
с самого	3	1
этим последним	3	4
т д	4	3
и того	2	1
на его	1	3
необходим для	1	1
гумбольдтом и	1	1
языка в	6	2
нужно иметь	1	2
перед нами	1	1
зависящее от	2	1
простейших стихий	1	1
языка могли	2	1
быть может	1	4
то будет	1	1
в сравнении	3	4
сами по	1	2
из виду	1	2
в первом	5	3
начале языка	3	1
с членораздельным	1	1
впервые пришел	1	1
к новым	2	1
развивается изнутри	1	1
человеческого развития	1	2
на них	1	1
и звуки	1	1
о влиянии	1	1
дело в	2	1
что человек	5	3
могли только	1	1
в своем	3	8
в нашем	1	2
рассудок разум	1	1
и без	3	2
душевной жизни	9	3
не по	4	1
по крайней	2	5
же следует	1	1
как и	9	14
ее деятельности	1	1
должен был	1	1
или что	1	2
же время	4	3
только содержание	1	1
показаться странным	1	1
и в	39	23
есть вместе	3	2
в греческом	1	2
но не	8	1
язык развивается	1	1
субъекта и	4	1
как скоро	1	3
для нас	9	14
стороны говорящего	1	1
не была	1	1
и об	1	1
при создании	1	1
с этим	7	7
но это	5	3
и образование	1	1
друг другу	3	1
же в	2	1
довольно будет	1	1
нас по	1	1
это не	7	7
бы ни	4	2
но он	2	1
должно быть	7	5
и совершенно	1	1
того как	6	6
это значит	1	1
бы быть	4	1
сказать несколько	1	2
есть много	1	1
прежде всего	4	1
указывает на	1	2
их не	1	1
тем и	1	6
природы то	1	1
этот предмет	1	1
сущности есть	1	1
мы по	1	1
мысль что	5	3
можно видеть	1	2
в науке	1	3
перестает быть	1	1
с течением	1	2
до сознания	3	1
языков и	1	1
не что	2	2
тех пор	1	6
все что	2	2
теряет своей	1	1
объективности мысли	1	1
в образе	1	2
оторваться от	1	2
значения и	1	1
в некотором	2	1
в говорящем	1	2
примыкает к	1	5
с с	1	1
и таким	1	3
которые могут	1	1
и необходимо	1	1
каждый человек	1	1
мы называем	2	1
различия в	2	1
и есть	2	3
знания и	1	1
самом деле	1	3
коренится в	1	1
именно что	2	1
хотя и	3	5
в ребенке	1	2
что обозначено	1	1
например в	1	3
то же	6	14
без слова	2	1
могло бы	3	1
есть всегда	1	3
мысли то	7	4
нельзя сказать	1	3
мы могли	1	2
значение и	2	2
на другие	1	1
бы совершенно	1	1
то она	2	1
дополнения со	3	1
мы видим	4	2
от сравнения	1	1
но при	3	1
что совокупность	1	1
том только	1	1
в течение	2	2
новое слово	1	4
слагаются в	2	1
вне языка	1	1
деятельности так	1	1
один из	1	2
в действительности	4	3
в обществе	1	2
то тем	1	1
слов если	1	1
с точки	3	3
вместе непонимание	1	1
бы предположить	1	1
к этим	1	1
