4gram	Vinokur_KulturaYazyka_partition_part3_wordlist_4gram	Vinokur_KulturaYazyka_partition_part1_wordlist_4gram
заключается в том что	2	1
в том смысле что	1	1
одного и того же	2	2
в прямой связи с	1	1
с этой точки зрения	1	1
и т п так	2	1
в тех случаях когда	2	1
т п и т	1	2
и в то же	1	1
до сих пор сказанного	1	1
и т д и	2	1
я имею в виду	1	2
в той мере в	5	1
и т п т	1	1
ради которого собственно и	1	1
в том что не	1	2
и т п все	1	2
п и т п	1	2
в том что на	1	1
в самом деле в	1	1
д и т д	2	1
лишь после того как	1	1
ничего нельзя возразить против	1	1
только в том случае	1	1
ни в какой мере	1	2
понятно при этом что	1	1
вовсе не в том	1	1
не в том что	1	2
в том чтобы выяснить	1	1
на эту сторону дела	1	1
и т п для	1	1
в собственном смысле слова	1	1
только для того чтобы	1	1
и пр и пр	1	1
то легко убедиться что	1	1
смысл только в том	1	1
т е как бы	2	1
т д и т	2	1
в то же время	2	1
и в самом деле	2	3
и т п и	1	4
в том-то и дело	1	1
а с другой стороны	2	1
том-то и дело что	1	1
общем смысле этого слова	1	1
самом деле в общем	1	1
в общем смысле этого	1	1
той или иной литературной	1	1
я хочу сказать что	1	1
можно было бы сказать	1	3
и вместе с тем	1	1
т п т е	1	1
в силу того что	2	1
заинтересован в том чтобы	1	1
но дело не в	1	1
можно говорить о языке	1	1
уже само по себе	1	1
только тогда когда он	1	1
той мере в какой	5	1
