3gram	Ircho_Komedia_partition_part2_wordlist_3gram	Ircho_Komedia_partition_part3_wordlist_3gram
к этому времени	1	2
в первом случае	1	1
тому что и	1	1
комедии мнесимаха филипп	1	1
афинской комедии iv	1	1
то ни было	2	2
масло из горящих	1	1
из третейского суда	1	1
сделать вывод что	1	1
так и не	1	1
во всяком случае	3	2
iv начала iii	1	2
вина пьем масло	1	1
в v в	1	4
покончить с собой	1	1
качестве вина пьем	1	1
в нравственном плане	1	1
для того чтобы	6	4
таким же образом	1	1
о том что	4	4
точнее не известной	2	1
в комедии мнесимаха	1	1
друг с другом	1	2
да уж не	1	1
вместе с тем	3	4
порядке по первой	1	1
в обоих случаях	1	2
оценка аристофана византийского	1	2
на первый план	1	1
обеда раб приносит	1	1
ли ты с	1	1
которой до сих	1	1
в том числе	1	3
начала iii в	1	2
по первой букве	1	1
раб приносит нам	1	1
плача и умоляя	1	1
под голову мы	1	1
в третейском суде	6	7
названия комедий менандра	1	1
и стрелы а	1	1
таким образом и	1	1
в ноги пращи	1	1
друг от друга	1	1
в уже упоминавшемся	1	1
в первую очередь	1	3
зятя на любовницу	1	1
более или менее	1	1
аттической комедии в	1	1
себя внимание что	1	1
на себя внимание	1	5
важно заручиться согласием	1	1
настаивает на ее	1	1
не говоря уже	1	2
критские дротики вместо	1	1
марафоне и саламине	1	1
в их творчестве	1	1
с какими людьми	1	1
в отношениях с	1	1
из точнее не	2	1
же что и	1	1
на афинской сцене	1	4
катапульт фр ii	1	1
но и здесь	1	1
меньше клянусь афиной	1	1
истории античной литературы	1	3
и в то	1	1
в iv в	1	7
отцом и сыном	1	1
при всем том	2	1
на пути к	1	2
наряду с этим	2	1
у того же	3	2
брак с дочерью	1	1
ты напился больше	1	1
мы знаем их	1	1
к тому что	1	2
на ее возвращении	1	1
панцири в ноги	1	1
с этой целью	1	2
как это было	1	1
события имевшие место	1	1
с известной долей	1	1
имени демея как	1	1
то обстоятельство что	2	1
за пределами ст	1	1
в законный брак	1	1
меньше всего похож	1	1
не известной комедии	3	1
по сравнению с	2	1
там и здесь	1	1
на рабском рынке	2	1
на брак с	2	1
в комедиях менандра	1	1
в том что	9	5
в то время	2	3
приносит нам критские	1	1
после обеда раб	1	1
влюбленного молодого человека	1	2
собой рвет на	1	1
о чем они	1	1
горящих светилен на	1	1
не встретила сочувствия	1	1
iv в и	1	1
то же время	4	3
в аттической комедии	1	2
с дочерью кнемона	1	1
комедии и ее	1	1
дошедший до нас	1	1
предстоит сражение? ведь	1	1
и т п	3	2
само собой разумеется	2	1
а в качестве	1	1
больше чем царь	1	1
нам критские дротики	1	1
и к тому	1	1
на плавтовского пиргополиника	1	1
тем не менее	3	1
обломки от копий	1	1
в соответствии с	1	1
iii ii вв	1	2
мы кладем щиты	1	1
щиты и панцири	1	1
в связи с	3	3
к древнейшему фольклорному	1	1
трагедии интриги еврипида	1	1
законных детей и	1	1
а на пиру	1	1
в свою очередь	6	1
с потерянными некогда	1	1
в том же	1	1
знаешь ли ты	1	1
об этом еще	1	1
бы то ни	2	2
кладем щиты и	1	1
по отношению к	3	3
с другой стороны	2	1
и в силу	1	2
пиру увенчиваемся ремнями	1	1
и еще больше	1	1
и в комедии	1	1
в отличие от	1	2
комической сцене но	1	1
но об этом	1	1
афинах в г	1	1
дочь кормит грудью	2	1
было бы ожидать	1	2
в начале iv	1	1
и панцири в	1	1
между женой и	1	1
голову мы кладем	1	1
на пиру увенчиваемся	1	1
судя по всему	3	2
едва ли в	1	1
наточенными мечами а	1	1
в трагедии и	1	1
ни одно из	1	1
первоначальный толчок развитию	1	1
с собой рвет	1	1
уж не меньше	1	1
ты с какими	1	1
до тех пор	3	3
мечами а в	1	1
узнавания в остриженной	1	1
и в самиянке	1	1
но все же	2	1
и в греческой	1	1
на сладкое после	1	1
что у него	1	2
так и в	1	1
именно об этом	1	1
трагедии и в	2	1
существующем состоянии текста	1	1
в истории античной	1	2
это опять же	1	1
добавим к этому	1	1
в алфавитном порядке	1	1
в глазах всех	1	1
с одной стороны	3	2
в разной степени	1	1
том числе и	1	1
в этой связи	2	1
в ответ на	1	2
при подброшенном ребенке	1	1
сражение? ведь мы	1	1
ироническое отношение к	2	1
стрелы а на	1	1
в то же	4	3
из классических греческих	1	1
его горят диким	1	1
копий под голову	1	1
и с этой	2	2
к тому же	4	10
к благополучному концу	2	1
на себе волосы	1	1
в своем отцовстве	1	1
мы обедаем наточенными	1	1
семячек перемолотые обломки	1	1
новой аттической комедии	5	2
утра до вечера	1	1
ремнями от катапульт	1	1
в конце iv	1	1
пьем масло из	1	1
как бы то	1	1
вступительный монолог фрасонида	2	1
светилен на сладкое	1	1
при существующем состоянии	1	1
лет тому назад	4	1
ответ на что	1	1
с самого начала	4	1
даже не пытался	1	1
то это опять	1	1
в самом деле	6	1
в середине iv	1	1
пифионикой фр iii	1	1
на этот раз	2	4
людьми тебе предстоит	1	1
должен быть не	1	1
из горящих светилен	1	1
сладкое после обеда	1	1
разной степени сохранности	1	1
глаза его горят	1	1
алфавитном порядке по	1	1
до сих пор	9	2
да знаешь ли	1	1
едва ли не	1	5
страшась и дрожа	1	1
вместо семячек перемолотые	1	1
молодого человека в	2	1
расходы зятя на	1	1
ноги пращи и	1	1
так или иначе	2	3
горят диким огнем	1	1
в т е	1	1
иначе обстоит дело	2	1
так как он	1	1
с точки зрения	3	1
не так давно	1	1
iii в н	1	1
речь идет о	3	2
кого-то из его	1	1
говоря уже о	1	2
не одно лишь	1	1
новой комедии и	2	1
из каирского папируса	1	1
обедаем наточенными мечами	1	1
начала iv в	1	1
комедиографов iv в	1	1
после того как	1	2
но в их	1	1
не похож на	1	1
средней и новой	1	3
и в самом	3	1
всю свою жизнь	1	1
все тот же	1	1
в афинах в	2	3
независимо от того	1	2
приводит все к	1	1
в достаточной степени	1	1
не меньше клянусь	1	1
в силу этого	1	2
увенчиваемся ремнями от	1	1
в какой мере	2	1
что он не	2	1
в качестве вина	1	1
по имени демея	1	1
ст и оканчивался	1	1
что и в	2	2
как мы знаем	1	1
с утра до	1	1
при марафоне и	1	1
в н э	1	5
по своему происхождению	1	1
на многие из	1	1
за то что	1	4
напился больше чем	1	1
от копий под	1	1
не в состоянии	1	1
и не удалось	1	1
классических греческих полисов	1	1
перемолотые обломки от	1	1
кто из вас	1	2
то время как	2	2
какими людьми тебе	1	1
рвет на себе	1	1
речь шла о	2	1
аттической комедии с	1	1
в самом начале	1	2
от катапульт фр	1	1
сих пор не	1	1
потому что по	1	1
что в ее	1	1
ведь мы обедаем	1	1
обращает на себя	1	5
чем царь александр	1	1
обстоит дело с	2	1
если говорить о	1	1
и новой комедии	1	4
молодого человека из	1	1
v в когда	1	1
дошедших до нас	2	1
чуть ли не	1	2
