2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
знаком то	1	1
все же	8	1
его в	3	6
и свои	2	1
необходимо чтобы	1	3
огромное значение	1	1
и всякого	1	1
моменты этого	1	1
мы указали	1	1
символ и	1	8
подобно тому	2	2
и знак	4	1
обозначаемого но	1	2
есть функция	1	2
это вовсе	2	2
до последнего	1	1
кроме того	5	2
некоторого рода	7	5
чтобы ее	2	1
и этих	1	1
на язык	1	1
нашего исследования	3	2
и т	6	11
не является	7	5
для такой	1	1
в ту	1	1
и акт	1	2
в известном	1	1
то что	38	42
с понятием	2	1
двух предметов	1	1
нет никакой	2	2
или на	1	3
несмотря на	3	3
мышления и	2	4
общей форме	1	1
связи с	5	5
не имеющий	1	3
же деле	1	1
и которые	2	5
и той	4	1
то время	1	1
только результат	1	1
не всякий	1	4
до наших	2	1
собственно говоря	2	2
он является	2	1
сейчас назвали	1	1
уже и	3	3
которые являются	1	2
на первый	4	2
этом случае	7	2
мы скажем	3	1
мы говорим	4	3
из которых	2	1
общие понятия	1	1
не есть	33	29
оказался бы	1	1
или иное	2	1
обозначений существует	1	1
в значении	1	1
сознания и	2	2
мало ли	1	1
и значит	1	1
в его	7	6
раз уж	1	1
все равно	3	5
нечто единое	1	1
символа с	1	2
мы бы	3	1
только знак	1	2
известной мере	1	1
мы конечно	2	1
и языковедческих	1	1
знак есть	11	2
логика и	1	1
во всей	1	3
да и	10	3
уже о	4	1
имеется в	3	1
есть только	8	8
понимать и	1	1
для этой	1	1
это ясно	1	1
особого рода	1	2
не можем	4	2
или его	2	2
мы получаем	1	3
вовсе не	37	35
который является	1	2
кроме их	2	1
много охотников	1	2
здесь нет	1	2
наше внимание	1	1
ни было	1	1
всего как	1	1
в отдельности	1	4
образом что	1	1
знака мы	2	2
ни о	4	5
и нет	1	1
сами не	1	1
других знаков	1	1
самое же	2	1
есть знак	10	8
невозможно добиться	1	1
связаны между	2	1
учения о	1	2
термина и	1	2
всякого понятия	1	1
другой стороны	5	3
которых она	1	1
самый настоящий	1	1
ли что	1	1
то и	4	6
свидетельствует о	2	3
к этому	1	1
символа в	2	3
и все-таки	3	2
но для	1	3
обозначения не	2	1
же о	3	1
и не	37	31
тоже ведь	1	1
и та	1	1
таким образом	4	6
по своему	5	9
года в	1	1
тогда когда	3	1
тем что	4	7
не обязателен	1	1
исследования а	1	1
хотелось бы	2	1
что-нибудь другое	1	1
дает нам	1	1
все эти	7	8
по содержанию	2	1
есть он	1	1
в данном	10	9
смысле и	1	2
в литературе	1	4
общее чем	1	1
вообще говоря	4	1
т д	6	10
из самых	2	1
и того	3	2
разных типов	1	1
знаков в	1	1
