2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part2_wordlist_2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part1_wordlist_2gram
все же	8	5
его в	3	7
за бортом	1	2
данном языке	1	1
между которыми	1	1
второго направления	27	4
этом как	1	2
с языком	1	1
которое он	1	1
кроме того	6	1
и всей	1	1
но более	1	1
речи может	1	1
к проблеме	2	2
не является	4	8
языка по	1	1
то что	8	4
– с	2	3
конечно эти	1	1
и слушающего	2	1
бытия в	7	2
его как	1	1
его так	1	1
языка является	1	2
все его	1	2
социальных оценок	1	2
нет никакой	2	1
мышления и	1	1
мы получим	1	1
связи с	11	13
же деле	2	3
социальная ситуация	3	2
между собой	2	1
он является	3	1
с условиями	2	1
всею отчетливостью	1	1
слова до	1	1
речевого общения	3	12
этом случае	3	1
все более	1	2
данного слова	1	4
направления философско-лингвистической	10	1
и речи	2	2
громадное значение	2	3
система нормативно	2	3
данности языка	2	2
с проблемою	1	4
следующей главе	1	2
не есть	3	3
понятно что	3	1
могут быть	2	3
– не	6	6
речевых выступлений	2	6
значение все	1	1
сознания и	3	3
как такие	1	1
и стилистики	2	1
от значения	1	1
о языке	8	1
понимается только	1	1
в его	6	5
истории языка	2	3
социальных сил	1	1
и гибкий	2	2
языка лишь	1	1
всех подобных	1	1
знаком а	1	1
становления –	1	1
что система	2	1
науки о	4	2
ее например	1	1
еще в	1	1
во всей	1	1
языка то	1	1
существует для	2	2
и борьбы	1	1
мышления о	1	2
по мере	2	4
языкового явления	2	1
и идеологии	6	1
говорящей особи	1	2
были бы	1	1
вовсе не	5	11
между двумя	3	1
законы творчество	1	1
– социальная	1	1
идеологического оформления	1	1
здесь нет	1	1
ни было	10	6
из этого	2	1
ряде существенных	1	1
сознание –	1	3
бы в	2	4
речевой акт	2	4
понимания в	1	1
синхроническом разрезе	3	1
направления как	2	1
в каком-нибудь	2	1
места для	1	1
организующий центр	1	1
не касается	2	1
как процесс	1	2
ответ на	1	2
и мир	1	1
так сказать	6	14
другой стороны	6	1
отношению к	2	8
эта система	1	2
которые он	1	1
к этому	5	5
но для	2	2
и сама	2	1
начала ясно	2	1
системы языка	3	1
и не	26	19
до настоящего	5	2
слово как	4	2
анализа форм	1	1
те новые	1	1
со всеми	1	1
лежит в	1	2
таким образом	17	14
говорить об	1	1
тогда когда	1	1
имеет свою	3	1
тем что	2	2
внутреннюю жизнь	1	1
увидим в	2	1
переживания мы	2	1
смысле этого	3	4
смысле совокупности	3	2
в материале	3	2
все эти	7	3
для всего	3	3
этот процесс	3	1
в данном	4	5
значительной степени	1	2
знака является	3	1
с самого	4	5
в точном	1	4
и того	6	5
– что	2	1
знаков в	2	1
языка в	14	3
как если	2	4
это мышление	1	3
в неразрывной	2	2
жизненной идеологии	2	12
данное переживание	1	1
сами по	1	1
до конца	5	2
философско-лингвистической мысли	16	4
самое слово	1	1
нужно прибавить	2	1
понимания чтобы	1	1
остальные явления	1	1
в русской	2	1
нам важно	1	2
как ни	1	1
языка –	10	6
в своем	2	2
стороны и	1	2
в нашем	2	2
этом направлении	1	1
лингвистики в	1	1
лежащая в	1	3
социального общения	12	3
как и	12	9
мы были	1	1
только единством	1	1
говорящих индивидов	1	1
же время	3	8
речи или	1	1
языка проблема	1	1
и в	19	19
непререкаемых для	1	1
в корне	3	3
но не	1	2
нее и	1	1
если оно	1	1
и обеспечивает	2	1
xvii и	1	1
с идеологическим	1	1
ситуации переживания	1	1
мы сказали	1	3
как знак	2	1
– а	2	1
ближайшая социальная	1	1
с этим	4	3
то о	1	1
следует ли	1	1
лингвистикой и	1	1
друг другу	1	1
языковая реальность	1	1
ее в	1	1
данной группы	2	1
ведь если	1	4
конечно не	5	4
это не	1	4
здесь в	3	2
лежит за	1	1
должно быть	2	3
есть деятельность	1	1
как такой	4	3
речь? как	1	1
– социальное	1	1
более или	1	2
становления данного	1	1
имеет значение	2	1
прежде всего	13	7
него как	1	1
взаимодействие в	1	1
этот предмет	1	1
лишь там	1	2
по всем	1	1
социально организованными	1	1
язык существует	1	2
и наконец	1	1
части в	1	1
для других	2	3
перестает быть	1	1
широком смысле	1	1
не что	1	1
метода в	1	1
себетождественных форм	1	1
формы а	2	1
поэтому с	1	1
– к	1	2
этого вопроса	1	1
значения и	1	3
в совершенно	1	1
как системы	5	2
почти все	1	1
и внешним	3	1
а только	1	1
общая территория	1	1
это та	1	1
совпадает с	2	1
лингвистика как	1	2
пр но	1	2
самом деле	10	9
т.е с	2	1
социально-экономическими предпосылками	1	1
синтаксиса и	1	1
такая абстракция	1	1
самом же	2	3
хотя и	1	1
– в.в	1	2
данном контексте	1	2
грамматики или	1	1
например в	1	1
как всякое	1	1
то же	7	16
действительности –	2	1
форм языка	1	5
речи являются	1	1
наметить лишь	2	1
другими словами	2	2
ее при	1	1
в данный	2	1
значение и	1	2
переживание и	1	1
мы видим	1	1
это –	4	9
идеологических систем	1	3
речи –	1	2
глава вторая	2	1
spitzer lorck	1	1
сознания как	3	1
основную проблему	1	1
но при	2	1
точку зрения	2	2
почти не	1	1
первого направления	15	5
знака в	5	1
данного языкового	2	1
двух направлениях	1	2
не совпадает	1	1
там и	2	1
в действительности	2	1
ясно что	5	1
с точки	20	13
же и	2	1
можно только	1	1
proton pseudos	2	2
пролить свет	1	1
всецело определяется	1	3
существует таким	1	1
различие между	3	2
индивидуалистического субъективизма	5	7
своей индивидуальности	1	1
и антитезисами	1	1
языка а	3	2
к знаку	2	1
но в	7	7
в контексте	8	5
не имеет	3	3
индивидуалистическим субъективизмом	1	1
история языка	2	2
– оно	1	1
сих пор	8	3
акт –	1	3
тем не	2	1
не значит	1	1
языковую форму	1	3
притом так	1	1
есть прежде	1	1
в потоке	1	1
такая же	1	1
как такое	3	2
в другом	2	3
в котором	3	3
для него	9	9
единичная вещь	1	1
не о	1	1
свою очередь	2	5
совсем не	1	1
поскольку он	1	1
этой проблемы	4	1
понимания и	3	2
более всего	1	1
конкретной ситуации	1	1
и это	3	3
вне его	4	1
мы его	1	1
людей так	2	1
следовательно не	2	1
зрения самого	1	2
а следовательно	1	1
в последнее	1	1
нее не	1	1
так называемая	4	1
так например	1	1
не следует	1	2
и непосредственно	1	2
говорящего на	1	1
индивидуальной психики	3	1
менее всего	2	3
проблему и	1	1
моменты –	1	1
основных направления	1	1
между первым	2	1
совокупность жизненных	1	1
синхронической системе	1	1
жизненных жанров	2	1
всецело определяются	1	1
еще и	1	1
в последнем	1	1
конечно в	2	3
форм речевого	1	1
лингвист в	1	1
и от	3	3
бы это	1	2
в одном	1	1
или поздно	1	1
той же	2	3
лишь для	3	1
является продуктом	2	1
язык –	2	3
друг от	1	1
в начале	5	2
а как	3	4
же является	4	3
или же	1	2
творчество языка	1	2
друг с	1	1
наблюдаем два	1	1
с его	1	8
знаем является	1	1
к конкретным	1	1
этих двух	1	1
в той	1	5
реальность лежит	1	1
есть вещь	1	1
сознание не	1	1
и вторым	2	1
что самое	1	1
и все	5	6
к языку	2	1
организованными людьми	1	1
как такого	1	2
в индивидуальной	1	2
жизни и	2	2
лишь постольку	1	1
для понимания	1	3
может стать	5	2
языковых норм	1	1
т.е те	1	1
и так	1	1
и ни	1	1
в чужих	1	1
там где	2	2
лишь с	4	2
ко всем	1	2
отнюдь не	6	8
язык как	7	6
индивидуальный речевой	2	1
слова но	2	1
свое выражение	2	1
языкового коллектива	2	2
марксистской литературе	1	1
языка с	2	1
мы знаем	5	2
в том	6	7
его социальная	1	1
отсюда следует	2	3
на почве	6	9
и т.п	10	10
определяется в	1	1
как они	1	1
из всего	1	2
от того	4	1
к самому	1	1
слово слово	1	1
данного говорящего	1	2
не все	2	1
как мы	13	15
– общая	1	1
в каких	1	1
социальная среда	1	1
философии языка	29	1
процессе его	1	2
в отношении	4	4
можно назвать	1	1
ответить на	1	1
здесь не	1	1
непрерывный процесс	1	2
нем нет	2	2
тот же	4	1
и осуществляется	1	1
становящегося бытия	1	1
последнее время	1	1
проблемы реальной	2	2
взаимодействия и	1	1
со стороны	1	1
– и	4	5
внутреннего слова	1	2
как он	2	1
и между	4	1
общения так	1	1
языковая форма	1	4
высказываний и	1	2
нет ничего	3	1
направления –	2	1
слова мы	1	1
и единого	1	1
речи мы	1	6
в психике	1	1
нет даже	1	1
чтобы понять	1	2
данном конкретном	2	1
от этого	2	2
конечно совершенно	2	2
на слово	1	2
системы себетождественных	1	1
неизбежно должно	1	1
систем –	1	1
уже в	1	2
психики и	7	1
абстрактного объективизма?	1	1
это и	3	1
именно здесь	2	2
идеологии но	1	1
в истории	3	3
и потому	5	2
себя от	2	1
выражение и	2	2
и он	2	2
с их	1	1
на основе	1	3
во-вне в	2	1
из них	3	1
мысли в	2	1
всего второго	2	1
с другом	1	1
т.п эта	1	1
язык в	4	1
остается изолированным	1	1
высказывание parole	1	1
него не	1	1
одного и	5	4
вполне понятно	3	4
несобственной прямой	1	4
быть ничего	1	1
общения –	1	1
строится между	1	1
не менее	4	1
является социальным	1	1
еще не	4	3
нормативно тождественных	7	5
к его	2	2
же самое	3	6
следовательно и	2	2
на все	1	2
мы полагаем	1	2
каким-либо иным	2	1
форму как	1	1
него язык	1	1
als rede	1	1
конкретном высказывании	1	1
всеми членами	2	1
является языковым	1	1
высказывание таким	1	1
самый момент	1	1
и на	4	5
всегда и	1	2
на которое	1	1
реплики диалога	1	2
возможно только	1	1
зрения языка	3	1
в двух	2	3
вообще не	1	1
для того	4	6
материале слова	5	1
разрыв между	1	2
но вот	1	1
в самом	10	6
становление языка	1	3
в то	3	8
так называемой	1	2
никогда не	2	7
и проблемы	1	1
говорящего как	2	1
как оно	2	1
связаны с	2	1
так же	7	5
и определяют	1	2
говорящих отсюда	1	1
и самый	1	1
так что	1	1
не в	5	10
на границе	3	2
высказывание –	2	4
более широкий	1	1
уже с	1	1
для которого	1	1
на нее	1	1
и иных	2	1
как это	1	1
нами в	1	3
время является	1	1
отношении к	4	5
определении этих	1	1
лишь в	9	14
исходить из	1	1
социальной ориентации	1	4
согласно учению	1	1
время наиболее	1	1
тезисами индивидуалистического	1	1
значение то	1	1
и самого	1	2
и т.д	2	4
нет в	1	1
жизни языка	1	1
слово в	3	3
как от	1	2
к истории	1	1
сплошь идеологично	1	1
и др	2	1
