4gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_4gram
заключается в том что	1	2
для нас не только	1	1
в нашем смысле слова	10	1
во всяком художественном образе	1	1
только при условии их	1	1
общее и единичное в	1	1
взятый в чистом виде	1	1
ни к какому ее	1	1
если иметь в виду	1	1
также и то что	1	4
здесь нам суждено в	1	1
потому что дело здесь	1	1
разлагается в бесконечный ряд	2	2
то же самое время	2	4
никто не скажет что	1	1
взятое само по себе	1	2
о том или другом	1	1
д и т д	1	4
не что иное как	2	4
в той или иной	7	2
на самом же деле	2	4
указывает на нечто иное	1	1
значение сам по себе	1	1
ни в каком случае	3	2
же в конце концов	1	1
уже во всяком случае	1	1
уже символ второй степени	1	1
разложению в бесконечный ряд	1	1
во всяком случае не	1	1
образность или образная идейность	1	3
не указывает ни на	1	2
если принять во внимание	1	1
суждено в европу прорубить	1	1
является не чем иным	1	1
отличается и от типа	1	1
природой здесь нам суждено	1	1
отнюдь не всякий символ	1	1
мы должны сказать что	1	2
в одно нераздельное целое	5	1
в том виде как	2	2
в том смысле что	1	3
в том что всякий	1	1
с начала до конца	1	1
как и во всяком	1	1
с этой точки зрения	1	1
есть не что иное	2	4
то же самое можно	2	1
в то время как	2	4
тем не менее в	1	1
самое можно сказать о	1	1
и т д и	1	4
не чем иным как	2	1
в чем не заинтересованного	1	1
каком случае не является	1	1
что дело здесь не	1	1
говорить о том что	1	1
и ни в чем	1	2
как мы только что	1	1
общее и более абстрактное	1	1
то более то менее	1	1
нечего и говорить о	1	1
это можно было бы	1	1
то это значит что	1	2
еще и потому что	1	1
но отнюдь не всякий	1	1
идейная образность или образная	1	3
бесконечным числом десятичных знаков	1	1
это не значит что	1	1
в связи с той	1	1
от символа и от	1	1
самодовлеющего и ни в	1	1
ни в чем не	1	2
взятые сами по себе	1	4
до сих пор мы	1	1
xix и начала xx	1	1
в войне и мире	1	1
что тут перед нами	1	1
ни аллегория ни олицетворение	1	1
каких бы то ни	1	1
же самое можно сказать	1	1
в каком случае не	3	1
подлежащая разложению в бесконечный	1	1
символа и от мифа	1	1
а может быть даже	1	1
раздался звучный глас петра	1	1
свыше вдохновенный раздался звучный	1	1
нам суждено в европу	1	1
же в таком случае	1	1
на нечто иное чем	2	1
бы даже и не	1	1
так же как и	1	1
не имеет ничего общего	2	3
убеждаемся в том что	1	1
т д и т	1	4
указывает ни на какой	1	1
дело в том что	1	2
вовсе не являются только	1	1
может быть даже и	1	1
чем же в конце	1	1
взятый сам по себе	2	2
уж во всяком случае	2	3
тогда-то свыше вдохновенный раздался	1	1
художественный образ тоже есть	1	1
что он не просто	1	1
мы убеждаемся в том	1	1
чем же в таком	1	1
не всякий символ есть	3	1
вещей лиц и событий	1	1
они вовсе не являются	1	1
и тем не менее	3	3
или по крайней мере	2	4
символ потому что он	1	1
должны сказать что если	1	1
и начала xx в	1	1
более общее и более	1	1
ничего общего ни с	2	1
итак символ отличается от	1	1
в то же самое	2	4
то есть другими словами	1	1
предмета к самому предмету	1	1
бы то ни было	1	3
имеет ничего общего с	1	1
по крайней мере в	1	1
что здесь перед нами	3	1
той или иной мере	3	2
для тех или иных	1	1
а то что здесь	1	1
дело здесь не в	1	2
в европу прорубить окно	1	1
вдохновенный раздался звучный глас	1	1
заключается в том чтобы	1	1
конца xix и начала	1	1
это значит что и	1	1
сливаются в одно нераздельное	1	1
и говорить о том	1	1
с бесконечным числом десятичных	1	1
