2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
и сами	2	1
все же	6	2
его в	3	2
и весьма	1	2
и общества	2	1
необходимо чтобы	1	1
вся эта	3	2
символ и	18	8
только художественный	1	1
которые находятся	1	1
к какому	2	1
это вовсе	4	1
но тогда	3	1
кроме того	3	4
некоторого рода	10	2
выделить в	1	1
с бесконечным	1	1
чем не	3	1
и т	13	4
не является	11	10
и у	2	1
всяком художественном	1	1
в известном	2	2
то что	23	15
взятый сам	2	2
с понятием	3	1
той общности	1	1
его как	3	1
дело вовсе	2	1
отвлечься от	1	1
что мифологический	1	1
исключительно в	1	1
все его	1	1
тому же	1	2
нет никакой	1	4
на отдельные	2	1
несмотря на	1	4
нет никакого	4	3
связи с	8	3
же деле	4	2
действительность кроме	1	1
то время	4	2
между собой	1	2
как известного	1	1
ни сама	1	1
не всякий	1	3
он является	3	1
однако в	2	2
по волнам	1	1
не аллегория	1	2
на первый	4	1
другими соседними	1	1
только метафора	1	1
всего этого	1	1
этом мы	1	2
но символ	1	1
мы скажем	2	1
никто не	2	2
из которых	2	3
не есть	35	12
образная идейность	3	1
художественным образом	7	3
могут быть	2	1
произведения искусства	1	2
но никак	3	2
сказать о	1	3
и значит	1	1
в его	9	3
все равно	3	3
символа с	5	1
и прочие	1	1
и может	2	2
символики и	1	2
тип но	1	1
значимости но	1	1
который мы	1	1
да и	5	5
типом или	1	1
есть только	4	2
отличается и	1	1
эта картина	2	1
от аллегорической	1	1
сам предмет	1	1
что животные	1	1
пушкина только	1	1
были бы	2	3
вовсе не	37	21
символа от	2	2
же тут	1	1
ради которого	1	1
виде и	3	2
стороны это	1	1
ни было	3	2
из этого	3	3
единичностей которые	1	1
в символе	13	6
даже если	2	3
бы в	2	1
ни о	3	4
и нет	2	1
других знаков	1	1
сравнению с	2	1
перестал бы	1	1
символ потому	2	1
самой структуре	1	1
медного всадника	1	3
ни аллегорией	1	1
как предмет	1	2
на нечто	3	2
от символа	4	4
пушкиным и	1	1
натурального ряда	2	1
другой стороны	5	6
самый настоящий	3	2
живые существа	1	1
больше ничего	2	2
к выводу	1	1
то и	5	5
свидетельствует о	1	2
и поскольку	1	1
явления природы	1	1
по-человечески говорят	1	1
символа в	3	6
и все-таки	1	1
но для	1	1
и сама	2	3
говорит не	1	1
и не	35	28
действительности мы	1	2
или тип	1	1
со всеми	1	2
таким образом	9	8
по своему	2	6
символе и	2	1
связанные с	1	1
тем что	4	3
одно и	3	1
с теми	2	1
слова ни	1	1
отвлеченным понятием	1	1
и общественной	1	1
это общее	1	1
другие структурно-семантические	1	2
все эти	7	16
только путем	3	1
есть он	2	1
в общую	2	1
в данном	9	6
оказывается не	1	1
петра i	3	1
в литературе	1	2
вообще говоря	1	1
т д	13	3
мы находим	7	2
что является	2	1
на его	1	2
хотя часто	1	1
математики и	2	3
мы считаем	1	1
по образцу	1	1
и этот	1	3
перед нами	8	13
говорили выше	1	1
и прочих	1	2
в сравнении	2	2
сами по	6	2
до конца	1	1
особенно важно	1	2
сливаются в	1	3
отличается от	4	4
чисто художественные	1	1
в войне	1	1
понятия символа	1	9
как принцип	1	1
первый взгляд	2	1
сейчас и	1	1
символ первой	3	1
бы его	1	1
отражение действительности	1	5
дело в	4	2
поэтому и	2	1
вообще как	1	1
в своем	5	3
в нашем	5	12
и без	4	6
на сцене	1	1
конструирования но	1	1
по крайней	5	6
не являются	2	2
для писателя	1	1
как и	10	6
абстрактного понятия	1	3
или что	1	1
воздействовать на	2	1
но чисто	1	1
есть также	2	1
каком случае	2	3
поэтому в	1	1
не скажет	1	1
на более	1	1
конца xix	2	1
и в	44	20
даже ее	1	1
получает свое	1	1
но не	3	5
порок добродетель	1	1
взятый в	3	1
для нас	16	6
мы сказали	1	1
художественной метафорой	1	1
как знак	1	4
бы он	1	1
и об	1	1
ни только	2	2
ее отражение	1	1
с этим	2	4
действительность не	1	1
каждый такой	1	1
но это	8	6
художественная образность	5	3
сама вещь	1	1
символ но	3	5
когда он	2	1
же в	3	4
есть сама	1	1
произведением но	1	1
назвать символом	1	1
в заключение	3	1
это не	9	7
моделью для	3	2
и образ	2	4
художественной образности	4	2
здесь в	3	5
а если	1	3
в реализме	1	1
этого необходимо	2	1
это значит	4	10
модели и	2	1
общее и	6	3
бы нам	1	1
бы быть	3	2
более или	1	2
казалось бы	1	3
не обязательно	2	2
прежде всего	3	11
указывает на	7	4
общего ни	1	2
символа а	1	1
здесь нам	1	1
одно нераздельное	1	5
смысл этого	1	1
