2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_2gram
свою силу	1	1
теоретической поэтики	3	1
и сами	1	1
особое место	1	1
самой литературы	6	2
все же	3	8
его в	3	3
на поэтику	1	1
два сборника	1	1
основные тенденции	1	2
и хорошо	1	1
п одним	1	1
от всех	3	2
конструктивный элемент	1	1
от действительности	2	1
не следует	1	4
и непосредственно	3	1
из возможных	2	1
метода но	1	1
вся эта	1	1
формалисты не	1	4
работы его	1	1
основных понятий	1	3
не лучше	1	1
не от	2	1
общего с	1	1
менее всего	2	3
одного без	1	1
к какому	1	1
научное направление	1	1
литературного факта	1	1
только теперь	1	1
произведение определяется	1	1
а от	1	1
и к	4	4
поэтического звука	1	4
виду что	2	1
самое понятие	2	2
самостоятельность и	1	1
независимо от	4	4
как о	4	4
а непосредственно	1	1
обычного типа	1	1
до последнего	1	1
материал для	1	1
тенденций и	1	1
кроме того	1	2
сложился в	3	1
с необходимостью	1	1
литературные произведения	2	1
как целого	1	1
словами в	1	1
на язык	3	2
от нее	2	4
художественную конструкцию	2	3
только технически	1	1
так и	18	8
конструкции в	2	1
лишь технически	1	1
другими областями	2	1
дело идет	3	4
и т	12	14
не является	1	3
языком в	1	1
при таком	4	1
для формалистов	1	5
эти вопросы	1	1
период развития	1	3
др однако	1	1
за пределы	2	1
один и	1	1
в последнем	1	1
или другой	1	1
предисловии к	1	2
тем самым	3	2
то что	8	6
в науку	1	2
не как	4	4
могло не	2	1
произведения то	1	1
в более	1	1
и от	7	2
не останется	1	2
поэтики на	1	2
как для	1	1
элементы художественной	3	2
на литературу	6	2
его как	3	2
в особенности	3	4
всего может	1	1
он действительно	1	1
должна быть	7	5
бы то	3	1
в свою	8	1
творчества и	1	1
теории поэтического	1	2
занимает очень	1	1
пр т	1	1
в высшей	1	4
на отдельные	1	1
произведения а	2	3
несмотря на	1	1
той же	1	1
мышления и	1	1
лишь для	2	4
они в	1	1
та же	1	2
специфичность искусства	1	1
к которому	2	1
внешние факторы	1	1
в сборнике	1	1
в самую	2	1
связи с	3	13
если бы	4	5
уже как	2	1
что перед	1	1
ни в	2	2
к одному	1	1
в годы	1	3
нигде не	1	2
что в	4	7
некоторых художественных	2	1
этих основных	1	1
были выработаны	1	2
орудию производства	1	1
он является	1	1
как средство	1	1
и методы	2	2
формалистов не	3	3
а как	2	3
же является	1	2
об особенностях	1	1
в своей	11	7
пункте как	1	1
наука она	1	1
понят и	1	1
как раз	2	6
