3gram	Potebnia_Myslijsyk_partition_part4_wordlist_3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram
имеет для него	1	3
независимо от сознания	1	1
у нас в	1	1
мы при этом	1	1
можно объяснить почему	1	1
не могут быть	3	2
в других языках	1	2
что на то	1	1
в слове и	1	1
при этом мы	1	1
звук может быть	1	1
что есть в	1	1
то что язык	1	1
и проч и	1	3
во всяком случае	7	3
имеет для нас	1	1
в санскрите корень	1	1
в том чтобы	1	1
и того же	6	1
для нас по	1	1
для того чтобы	2	4
на вопрос что	1	1
о том что	1	5
между собою и	1	2
на то что	3	4
вместе с тем	1	3
или что на	1	1
было бы невозможно	5	1
что только в	1	1
в этом случае	1	5
здесь только в	1	1
вероятно что в	1	1
на каждом шагу	1	1
уже в ребенке	1	1
в большинстве случаев	1	2
на самом деле	2	3
до значительной степени	1	1
между тем как	2	2
вопрос о том	1	2
не менее в	1	1
как и в	1	1
что в слове	2	2
друг от друга	1	1
потому что в	1	3
мысли а не	1	1
потому что как	1	2
очевидно что и	1	1
обратить внимание на	1	2
которые могут быть	1	1
то и другое	4	2
его в сознание	1	1
нем воспоминание его	1	1
том смысле в	1	1
представлений lazarus т	1	1
приблизительно так как	2	1
что и в	1	2
в слове есть	1	1
как скоро мы	1	1
мы видели что	1	1
лишь по мере	1	1
не имеет для	1	1
в обществе и	1	1
только после того	1	1
могли бы быть	1	1
как мы их	1	1
которое в эту	1	1
одного и того	6	1
б которое в	1	1
представляем себе содержание	1	1
исходною точкою для	1	1
в том смысле	4	2
в переносном смысле	1	2
потому что не	1	1
отношения между ними	1	1
с первого раза	2	1
и в слове	1	1
не только о	1	1
одной и той	1	1
таким образом можно	1	1
и не может	1	1
мы не знаем	1	1
отлично от него	1	1
это не так	1	1
не было в	1	2
в том что	7	7
эту минуту находится	1	1
в то время	4	1
связи с другими	1	1
и во многих	1	1
к языку и	1	1
может быть названо	2	1
значение то есть	1	2
и в таком	1	1
то же время	2	3
и не в	1	1
мы говорим о	1	1
а вместе и	4	1
может вовсе не	1	1
и т п	3	4
то есть объясняет	1	1
точно так как	4	1
тем не менее	5	4
что это не	1	1
мере того как	4	4
так как мысль	2	1
и как бы	1	2
в связи с	1	1
по крайней мере	5	5
в свою очередь	6	1
то есть в	1	2
это последнее имеет	1	1
но самое это	1	1
но в собственном	1	1
понимание было бы	1	1
с другой стороны	2	1
языка и поэзии	1	1
таким образом в	2	1
и проч но	2	2
и быть может	1	1
и та и	1	1
сам по себе	4	4
большую или меньшую	1	1
бы ни был	1	1
то что в	2	2
а между тем	4	4
мы тем самым	1	1
в себе в	1	1
если бы не	1	2
в состоянии дать	1	1
вне языка или	1	1
вместе с этим	1	2
смысле этого слова	3	1
или быть может	1	1
можем заметить что	1	1
до тех пор	1	6
разумеется мы говорим	1	1
если не исключительно	1	1
в одном из	1	1
было бы возможно	1	1
столь же мало	1	1
бы и в	1	1
в эту минуту	3	1
или лучше сказать	1	1
том виде в	1	1
