3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_3gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_3gram
каждого отдельного человека	1	1
у нее тревожно	1	1
не только в	2	2
в первом случае	1	1
него и в	1	1
по нашему убеждению	1	1
но при этом	1	3
в глазах чехова	1	3
как в анекдоте	2	1
не в ладу	1	1
в ладу с	1	1
жизни то в	1	1
можно было бы	4	2
было видно что	1	1
чехова в т	1	1
но еще и	1	2
а за нею	1	1
о том что	9	7
остановимся подробнее на	1	1
а также и	1	1
видит в нем	1	1
все та же	1	1
которая не в	1	1
каждого из нас	2	1
в смерти чиновника	1	1
со своим характером	1	1
у него сжалось	1	1
не только не	1	2
читателя в самую	1	1
как и в	3	3
за этими словами	1	2
жизнь которая не	1	1
друг от друга	1	1
в финале рассказа	3	2
равнодушии к жизни	1	1
то и другое	2	1
ничего не узнаем	1	1
с утра до	1	1
между я и	1	1
и в то	1	2
дело здесь не	1	1
она в ужасе	1	1
по выражению в	1	1
себя в другом	1	1
покоем и личным	1	1
к тому что	4	4
и в этом	1	2
л н толстой	1	1
на этом свете	1	1
обычно у чехова	1	1
и н сухих	3	1
своей жизни в	1	1
на том что	1	1
в это время	1	1
и личным счастьем	1	1
характер и личность	2	1
мы узнаем что	1	1
в магнитном поле	1	1
стратегии художественного мышления	1	1
на наш взгляд	2	4
же как и	1	1
в том что	6	11
с гуровым в	1	1
и смерти каждого	2	1
героя и читателя	3	1
несмотря на свой	1	1
творец своего счастья	1	1
тот момент когда	2	1
в xix в	1	1
автора и героя	1	1
не было видно	1	1
в своей жизни	1	1
то же время	8	4
и тех же	1	1
не вызывает сомнений	1	1
личности для других	1	1
несет в себе	3	1
и т п	8	2
жизни в то	1	1
одних и тех	1	1
тем не менее	3	3
с его установкой	1	1
в рассказе не	1	1
его установкой на	1	1
зрелого чеховского рассказа	1	2
с собачкой и	2	1
не было ни	1	1
приводит к тому	1	1
первой половины рассказа	2	2
жизни на земле	1	1
близости с анной	1	1
по отношению к	8	7
в конечном счете	2	3
и тот и	1	1
к себе и	1	1
в прозе чехова	1	1
а между тем	1	3
мужа анны сергеевны	1	1
в чужой дом	1	1
человек в футляре	1	2
если бы не	1	1
в глазах других	1	1
сознательная жизнь которая	1	1
чехова как и	1	1
в немалой степени	1	1
личного бытия с	1	1
отношению к другому	1	1
в анекдоте или	1	1
концепции личности в	2	1
видит себя в	1	1
а не человека	1	1
целостного духовного самоопределения	2	1
к числу тех	1	1
определении эстетической доминанты	1	1
с анной сергеевной	2	2
в данном случае	1	2
своей внешней разобщенности	1	1
но все же	1	1
только для нее	1	1
не случайно в	2	2
о личной тайне	1	2
новая нервная сознательная	1	1
две перелетные птицы	1	1
говорила она в	1	1
у чехова как	1	1
он вовсе не	1	1
в художественном мире	1	1
и то и	1	1
с одной стороны	1	3
вихрем носилась пыль	1	1
в противоречие с	1	1
в этой связи	4	2
в ответ на	1	1
в то же	8	4
все же не	1	1
в серьезных рассказах	1	1
он уже не	1	1
в этом отношении	3	1
с покоем и	1	1
в притчу о	1	1
в темной комнате	1	1
утра до вечера	1	1
того или иного	2	2
обнаруживает себя в	1	1
личности представляется в	1	1
в другом и	1	1
отношению к личности	1	1
тому что он	2	2
один из путей	1	1
которым можно было	1	1
художественной концепции личности	1	2
с самого начала	1	1
серая от пыли	1	1
и а гурвичем	1	1
в самом деле	4	3
переводит его в	1	1
самую суть проблемной	1	1
в чеховском рассказе	1	1
и в это	1	1
по преимуществу к	1	1
жизни и смерти	3	1
и героя при	1	1
до сих пор	2	2
в таком случае	1	1
так или иначе	2	1
том что в	2	3
между тем не	1	1
в его жизни	1	1
с точки зрения	3	2
по сути дела	1	1
пока еще не	1	1
в городе с	5	1
а п чудаков	2	1
то что я	1	1
так и остается	1	1
как нам представляется	1	1
включить мысли и	1	1
художественности того или	1	1
мы знакомимся с	1	1
вопреки своей внешней	1	1
дом с мезонином	1	1
что она не	1	2
к чужому я	1	1
и в самом	3	1
содержит в себе	1	1
во второй главе	2	1
нервная сознательная жизнь	1	1
взгляда на человека	1	1
что он не	2	1
как будто бы	1	2
к жизни и	2	1
в учителе словесности	1	1
анекдоте или притче	1	1
как бы в	1	1
и не случайно	1	1
момент когда он	1	1
зрелого чеховского творчества	1	1
том случае если	1	1
только в том	2	2
тогда как в	1	2
в определении эстетической	1	1
ни с какой	1	1
в тот момент	2	1
в самую суть	1	1
инобытие личности для	1	1
что на этом	1	1
то же самое	1	2
были две перелетные	1	1
та или иная	3	1
личности с ее	1	1
в значительной степени	2	1
здесь не в	1	1
а в том	1	1
не сводимой к	1	2
что у нее	1	2
точно это были	1	1
суть проблемной ситуации	1	1
это были две	1	1
человека а не	1	1
в ялтинских главах	1	1
не может быть	2	3
видит в герое	1	1
какая же из	1	1
это своего рода	1	1
к своим персонажам	1	1
тогда в ялте	1	1
самом деле не	1	1
в том случае	1	1
диаметрально противоположны по	1	1
дама с собачкой	3	2
к другому человеку	2	1
дамы с собачкой	4	1
состоит в том	1	2
о том как	2	2
досталось ему даром	1	1
но и для	1	1
и т д	3	2
в такое волнение	1	1
смерти каждого из	2	1
ладу с покоем	1	1
между тем в	1	1
его в разряд	1	1
в глазах автора	3	1
с того что	1	1
к такого рода	1	1
не только для	1	1
или иная эстетическая	2	1
художественного мышления чехова	1	1
на наших глазах	1	1
