4gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_4gram
заключается в том что	1	1
более то менее близких	1	1
можно даже сказать что	1	1
в буквальном смысле слова	1	2
то же самое время	4	2
только потому что она	1	1
д и т д	2	1
не что иное как	2	2
бесконечный ряд или как	1	1
это нужно сказать о	1	1
на самом же деле	1	2
указывает на нечто иное	1	1
ни в каком случае	3	3
должны сказать и о	1	1
уже во всяком случае	1	1
в бесконечный ряд или	1	1
иным как именно символами	1	1
никак нельзя сказать потому	1	1
вещи есть такая ее	1	1
как мы сказали выше	1	1
той или иной общности	1	1
мы должны сказать что	1	1
в этом же романе	1	1
не сам по себе	1	2
не выходит за пределы	1	1
в том что всякий	1	1
есть символ потому что	1	1
есть не что иное	2	2
в то время как	1	2
медного всадника у пушкина	1	1
в литературе и искусстве	3	1
не имеющих ничего общего	1	1
тоже не есть символ	2	1
и т д и	4	1
можно ли сказать что	2	1
свидетельствует о том что	2	1
не чем иным как	1	2
настолько глубоко и всесторонне	1	1
символ как функцию действительности	1	1
здесь в бесконечный ряд	1	1
мы должны сказать и	1	1
ничего не говорит о	1	1
то более то менее	1	1
то это значит что	1	1
но отнюдь не всякий	1	1
еще и потому что	1	1
важно только то что	1	1
и с точки зрения	1	3
это не значит что	1	1
на том что символ	2	1
взятые сами по себе	2	1
имеющих ничего общего с	1	1
едва ли кто-нибудь станет	1	1
и уж тем более	1	1
беднее по своему содержанию	1	1
до сих пор мы	2	1
xix и начала xx	2	1
что тут перед нами	1	1
по себе но как	2	1
в каком случае не	2	3
сам по себе но	3	1
же самое мы должны	1	1
и в то же	1	1
а может быть даже	1	1
же в таком случае	1	1
на нечто иное чем	1	2
тем беднее по своему	1	1
тем не менее он	1	1
в этом смысле есть	1	1
не говоря уже о	1	1
так же как и	1	1
не имеет ничего общего	2	2
т д и т	3	1
дело в том что	3	1
чем сам он не	1	1
вовсе не являются только	2	1
может быть даже и	2	1
взятый сам по себе	1	2
не говоря уже об	1	1
это значит что мы	1	1
нельзя сказать потому что	1	1
на заходящее солнце и	1	1
функции в бесконечный ряд	4	2
сказать что он всегда	1	1
с точки зрения логики	1	1
содержит в себе все	2	1
и тем не менее	8	3
они вовсе не являются	1	1
или по крайней мере	1	2
в настоящее время уже	1	1
и только в таком	1	1
объему тем беднее по	1	1
нечто единое и нераздельное	1	1
только на то что	1	1
этого никак нельзя сказать	1	1
всегда несет с собой	2	1
разложения в бесконечный ряд	1	1
функций в бесконечные ряды	1	1
интереснее всего то что	1	1
сам он не является	1	1
в то же самое	4	2
единства и борьбы противоположностей	1	1
имеет ничего общего с	1	1
чем иным как именно	1	1
то же самое мы	1	1
что символ вещи есть	4	1
самое мы должны сказать	1	1
с другой стороны однако	1	4
конца xix и начала	2	1
