4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_4gram
дело идет о сочетании	1	1
могут быть весьма различны	1	1
с другой стороны и	2	1
оставаясь содержательно теми же	1	1
моменту нашего тезиса к	1	1
по отношению к нему	1	1
в то время как	2	1
в этом смысле глубоко	1	1
в большинстве случаев в	1	1
как и всякое иное	1	1
в одной плоскости с	1	3
то же время не	1	3
видения и понимания мира	1	2
сознаний с их мирами	1	4
как мы уже говорили	1	1
мы остановимся лишь на	1	1
человека по отношению к	1	1
отношению к себе самому	1	1
в художественном мире достоевского	1	2
как точка зрения как	1	1
о себе самом с	1	1
героя а не как	1	1
о себе самом и	1	4
слово о себе самом	1	1
с самим собою но	1	1
сами по себе еще	1	2
как чужое слово как	1	1
большей или меньшей степени	1	1
по отношению к себе	1	1
достоевского в этом смысле	1	1
то же время оно	1	1
бы то ни было	1	1
в то же время	5	9
чужое слово как слово	1	1
по себе еще не	2	2
человека из подполья и	1	1
дело в том что	1	1
полноценных сознаний с их	1	1
ни в одном из	1	1
приходит в столкновение с	1	1
принципом видения и понимания	1	1
лежит в одной плоскости	1	1
в большей или меньшей	1	1
в первых произведениях достоевского	1	1
но в то же	3	5
в том что он	1	4
чужим словом но в	1	1
