3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram
во второй части	1	1
перед нами в	1	1
в этом рассказе	1	1
друг за другом	1	1
герой из подполья	1	1
в пределах того	1	1
как мы уже	1	1
типа а не	1	1
то ни было	1	1
можно было бы	3	2
человека по отношению	1	1
лежит в одной	1	1
в себя как	1	1
его художественную форму	1	1
во всяком случае	1	3
приводит к распадению	1	1
нами в пределах	1	1
в одном сознании	1	2
как и всякое	1	1
о том что	1	1
героя а не	1	1
этой точки зрения	1	1
друг с другом	4	1
по себе еще	2	2
полноценных сознаний с	1	1
что может быть	1	2
а не как	1	4
как и всегда	1	1
сознания с их	1	1
из подполья и	1	2
в большинстве случаев	8	2
на самом деле	1	4
в большей или	1	1
слово о себе	3	2
между тем как	1	4
то перед нами	5	2
не только не	1	1
слова о нем	1	1
таким образом и	1	1
как точка зрения	1	1
одним из героев	1	1
в его романе	1	1
точка зрения как	1	1
более или менее	3	1
как раз и	2	3
в себе его	1	1
вовсе не как	1	1
а вовсе не	1	1
не была бы	1	1
человека в человеке	2	2
в одном голосе	1	1
в одной плоскости	2	5
может быть и	2	1
единство романа достоевского	1	1
не входит в	1	3
одной плоскости с	1	3
и окружающий его	1	1
в каждом слове	2	1
принципом видения и	1	1
в отношении к	2	1
о нем в	1	1
рассказа от автора	1	1
к своему предмету	1	1
т е вступить	1	1
этом смысле глубоко	1	1
слова он сам	1	1
что в нем	1	1
в каждом атоме	1	1
в себе и	1	1
самим собою но	1	1
резко отличается от	1	1
и не может	4	2
идеологии достоевского не	1	1
же как и	1	1
а следовательно и	1	1
в том и	1	1
нам кажется что	2	1
большинстве случаев в	1	1
в том что	1	6
видеть и изображать	2	1
в то время	2	1
может быть лишь	1	1
конечно не в	1	1
то же время	5	9
в сущности не	1	1
в которых может	1	1
хотя и не	2	1
и т п	9	3
дело идет о	1	3
моменту нашего тезиса	1	1
и наконец в	1	1
но и на	1	1
содержательно теми же	1	1
в результате такого	1	1
с горы скатились	1	1
прислушивается к каждому	1	1
словом но в	1	1
и его слово	1	1
точек зрения и	2	1
за их пределы	1	1
в столкновение с	1	1
не может найти	1	1
по крайней мере	1	1
как бы дана	1	1
с их мирами	2	4
предметом изображения в	1	1
в самом предмете	2	1
бы то ни	1	2
мы увидим дальше	1	1
чужим словом но	1	1
по отношению к	5	8
с другой стороны	3	3
в первых произведениях	1	1
стиль и тон	1	1
остановимся лишь на	1	1
для достоевского не	2	1
строится так чтобы	1	1
лишь для героев	1	1
чужому слову о	1	1
том что он	2	4
как и герой	2	1
не сливается с	1	2
в романе достоевского	1	5
и всякое иное	1	1
в одном из	1	1
другой стороны и	2	1
но все же	2	2
в той же	1	2
отношению к себе	1	1
он есть а	1	1
но конечно эта	1	1
как мы сказали	2	1
идет о сочетании	1	1
не есть конечно	1	1
в художественном мире	1	2
как чужое слово	2	1
так и в	1	1
можно сказать что	1	1
не укладывающиеся в	1	1
но не в	1	1
большей или меньшей	1	1
по замыслу достоевского	1	1
и о мире	1	1
в самой структуре	1	2
в то же	5	9
все же не	1	2
т е в	1	2
мы остановимся лишь	1	1
друг к другу	2	1
первых произведениях достоевского	1	1
себе самом и	1	4
о себе самом	3	9
ни в одном	2	1
из этих трех	2	1
дело далеко не	1	1
никогда не довлеет	1	1
чужое слово как	2	1
себе еще не	2	2
вполне понятно что	1	1
быть весьма различны	1	1
самосознания и самовысказывания	1	1
в самом деле	4	2
в его творчестве	1	2
в каждом романе	1	1
слово как слово	1	1
человека из подполья	1	2
видения и понимания	1	3
творчестве достоевского в	1	1
и иван карамазов	1	1
до сих пор	7	2
могут быть весьма	1	1
сама по себе	4	1
не согласиться с	1	1
до настоящего времени	1	1
в произведениях достоевского	3	3
своего социального круга	1	1
для него в	1	1
дело в том	1	1
с точки зрения	8	13
в творчестве достоевского	2	4
к себе самому	3	1
мы уже говорили	3	1
достоевского как мы	2	1
в романах достоевского	2	5
может быть или	1	1
изображенный мир в	1	1
нести в произведении	1	2
в этом смысле	2	10
так чтобы сделать	1	1
он не только	1	1
поэтому слово о	1	1
достоевского в этом	1	1
почти никогда не	1	1
он знает что	1	1
в бедных людях	3	1
или меньшей степени	1	1
адэкватное ему но	1	1
же время не	1	3
ставит нас перед	1	1
если б я	1	1
отношению к нему	1	1
на этот вопрос	2	1
как бы в	4	2
с чужим словом	4	1
у достоевского совершенно	1	1
и в других	1	1
себе самом с	1	1
в мир достоевского	1	1
принципы сочетания голосов	1	1
со своим двойником	1	1
но в то	3	5
и понимания мира	1	2
творчестве достоевского но	1	1
как будто и	1	1
у него в	1	1
в конце концов	2	5
и в нем	1	1
то время как	2	1
из одного куска	2	2
но и эта	1	1
то же самое	1	1
с самим собою	5	1
его художественного видения	1	1
в настоящее время	2	1
нашего тезиса к	1	1
романа достоевского как	1	2
то что было	1	3
как если бы	2	1
не может быть	4	4
оставаясь содержательно теми	1	1
само по себе	1	3
приходит в столкновение	1	1
как один из	1	1
сами по себе	1	3
не в одном	1	1
под его влиянием	1	1
должно ощущаться как	1	1
проявляется и в	1	1
здесь же нам	1	1
художественном мире достоевского	1	2
не изображаются они	1	2
и т д	4	1
достоевский прежде всего	1	1
лишает их всякой	1	1
остается в пределах	1	1
точку зрения на	1	2
тот же самый	1	1
отчетливого теоретического осознания	1	1
хотя бы и	1	2
бы ни были	1	1
как нам кажется	2	1
сознаний с их	1	4
кто он у	1	1
же время оно	1	1
