4gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_4gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_4gram
iv проблема исторической инверсии	1	1
уже за пределами романа	1	1
одного и того же	1	5
плута шута дурака в	1	1
в том числе и	2	2
мы еще вернемся в	2	1
и в греческом романе	1	2
мы имеем в виду	2	1
на протяжении всего романа	2	1
в то время как	1	2
и в то же	2	4
литературы в том числе	1	1
еще вернемся в последующем	1	1
ни с чем не	1	1
как мы уже говорили	1	3
все более и более	1	1
проблема исторической инверсии и	1	1
в последующей истории романа	1	3
к себе самому и	1	1
в пределах отдельных авантюр	2	2
как мы уже сказали	3	2
прежде всего необходимо отметить	1	2
человека и его жизни	1	4
в греческом романе и	2	2
случайных одновременностей и разновременностей	1	1
в той или иной	1	1
и т п наконец	1	1
функции плута шута дурака	1	1
отношения к себе самому	1	1
исторической инверсии и фольклорного	1	1
инверсии и фольклорного хронотопа	1	1
мир в авантюрном времени	1	2
особенно важное значение имеет	1	1
в связи с этим	2	2
одно и то же	1	3
в греческом романе в	1	1
в то же время	4	6
образ человека в литературе	1	1
ни в чем не	1	2
бы он ни был	1	1
шута дурака в романе	1	1
сюда же примыкают и	1	1
vi функции плута шута	1	1
подсматривания и подслушивания частной	1	1
мы не касаемся здесь	1	1
в средние века и	2	1
не может быть и	1	1
по самому своему существу	1	1
не для того чтобы	2	2
может быть и речи	1	1
и подслушивания частной жизни	1	2
но в то же	1	1
те же что и	1	1
и в то время	1	1
его в связи с	1	1
