2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram
русло однако	1	1
на кличку	1	1
все же	2	2
его в	2	1
книге о	1	1
в докторе	1	2
подобно тому	2	2
на заре	1	1
хуже вас	1	1
не лучше	1	1
между я	1	3
или соцреалистическое	1	1
этом как	1	1
на два	1	2
вот уже	1	1
и доверие	1	1
как целого	1	1
булат окуджава	1	1
в концовке	1	1
феномена духовной	1	1
и т	1	2
к истокам	1	1
сознание более	1	1
в ту	2	1
стих таинственно-родной	1	1
как было	1	1
личности с	3	1
краткий курс	1	1
лирического я	1	3
как сам	1	1
я с	3	1
творческого акта	1	1
то что	12	7
я твой	2	2
творчества в	1	1
органическим и	1	1
там за	1	1
не касающуюся	1	1
самовыразиться безоглядно	1	1
свою духовную	1	1
задачу социалистической	1	1
но одновременно	2	1
исторической поэтики	1	1
авангардистского я	1	1
мышления и	1	1
своему объекту	1	1
связи с	2	1
однако в	4	6
мире свобода	1	1
частного бытия	1	1
и мысль	1	1
мозга на	1	1
и адресата	2	1
заодно и	1	1
на наш	1	3
все более	2	1
другое сознание	1	1
ближайшее прошлое	1	1
поступающего сознания	1	1
неотрадиционализм с	1	1
о рабле	1	1
остался в	1	1
в жизнь	4	1
эстетическая доминанта	1	1
но явной	1	1
и за	1	2
обычно на	1	1
светлых лет	1	1
в соцреализме	1	4
свое имя	1	1
произведения искусства	1	2
отталкиваясь от	1	1
иду я	1	1
это бахтинское	1	1
и одновременно	2	2
я к	2	1
жизни этих	1	1
мозгах она	1	1
в его	6	4
все равно	1	2
блаженнейший зной	1	1
массы людей	1	1
предстает как	2	1
с творческой	1	2
в грядущее	1	1
еще в	3	4
во всей	2	1
уже о	3	2
[] или	1	1
говоря словами	3	1
он писал	1	1
особого рода	5	1
расходясь в	1	1
переживается как	1	1
вовсе не	1	2
будучи всерьез	1	1
ни было	2	2
которых и	1	1
за собой	1	1
сознания не	1	1
жизнь не	1	1
из этого	1	1
текущими частностями	1	1
классической парадигмы	1	1
с неотрадиционализмом	1	1
бы в	1	1
и было	1	1
психического захвата	1	1
не диалога	1	1
это путь	2	1
уединенности внутренних	1	1
в глазах	3	3
читателя советчика	1	1
во имя	1	2
самих себя	1	1
ролевого функционирования	1	1
картины жизни	1	1
в каждой	2	2
другой стороны	2	4
отношению к	4	3
бахтинское малое	1	1
на определенный	1	1
близости которая	1	1
идет о	1	3
то и	1	3
свидетельствует о	1	2
к этому	2	1
тоталитаризма все	1	1
на таких	1	1
в соцреалистическом	1	4
и не	22	11
со всеми	2	1
в художественной	1	3
разговора б	1	1
тем что	2	4
где путь	1	1
призвания и	1	1
предстоит ей	1	1
из стихотворений	2	2
по собственному	2	1
в данном	4	3
г.а белой	1	1
в литературе	1	1
политическим условиям	1	1
произведение искусства	6	1
прокофьев и	1	2
мира и	2	1
в ход	1	1
события как	1	1
насилия над	1	2
личности в	3	3
годов поэт	1	1
искусство как	2	1
не оставляет	1	1
словами написанными	1	1
в соответствии	3	1
от жизни	2	1
соцреалистического пути	1	1
быть может	2	3
возможности самовыразиться	1	1
поэзии советского	1	1
до конца	4	2
и предвидимое	1	1
в первом	2	1
авторитарного сознания	2	12
т.с элиота	2	1
к новым	1	1
эстетический дискурс	1	1
бахтинской концепции	1	1
и внешней	1	1
в русской	1	4
на объективную	1	1
с тех	1	1
от своеволия	1	1
и единомыслия	1	1
своей жизни	2	1
что лирическое	1	1
неотъемлемое от	1	1
в своем	1	1
новым политическим	1	1
стороны и	2	1
одного из	2	1
в нашем	1	2
от земли	1	1
не по	1	2
предметом рефлексии	1	1
собственной песне	1	1
каждого перед	1	1
не отменяет	1	1
социального заказа	4	1
эстетического объекта	6	1
в психологии	1	1
вечности заложник	1	1
как и	5	10
соцреалистический герой	1	1
обоюдного контроля	1	1
мотива пути	1	1
в облике	2	2
же время	7	9
где каждый	1	1
контрольная комиссия	1	1
и в	16	19
и где	1	1
своего другого	4	3
властно над	1	1
положение при	1	1
но не	4	5
я это	2	2
жанра слова	1	1
и соцреализмом	1	1
все выше	1	1
читателя в	1	1
для нас	1	2
на литер	1	1
наследия как	1	1
лестнице колючей	1	1
себе во	1	1
теперь эта	1	1
карнавализация трактуется	1	1
найти себя	2	1
по существу	4	3
откровения в	1	1
всю свою	1	1
который не	1	1
к мнимо	1	1
но это	1	3
всего лишь	5	3
на творческую	1	1
мнимо авангардистской	1	1
когда он	2	1
доктор живаго	3	1
и заодно	1	1
ее в	2	1
же в	2	2
в ряду	1	1
индивидуальным делом	1	1
бы противопоставление	1	1
этой же	1	1
это не	5	1
классовый читатель	1	1
в образах	1	2
но он	1	1
перед объективностью	1	1
нам остается	1	1
парадигма художественности	1	2
искусства хх	1	1
прежде всего	3	4
тех кто	1	4
ты мой	1	1
и души	1	1
эта частность	1	1
его носителя	1	1
желаемое будущее	1	1
одинокого я	1	1
над ним	1	2
маяковский в	1	3
эти слова	2	1
от эпохального	1	1
саморазвитию жизни	1	1
это тоже	1	1
я тебя	1	2
например с	1	1
команды к	1	1
роль авангарда	1	1
героя и	1	1
неоднократно от	1	1
творческой личности	1	1
творца не	1	1
и наконец	3	2
на долю	1	1
путь никем	1	1
уединенного сознания	14	5
не к	1	2
соцреализма в	2	5
для творца	1	1
ключевая роль	1	1
владимир ильич	1	2
реальности и	1	1
тех пор	1	1
с этой	2	2
искусство в	2	1
и званье	1	1
обойтись без	1	1
одновременно самоактуализация	1	1
делающем от	1	1
духовного уклада	1	1
клеточками коллективного	1	1
переделки жизни	1	1
ушло то	1	1
а во	1	1
соцреалистический путь	1	1
в поэзии	5	3
и искусство	1	1
во взаимоприятии	1	1
еще одна	1	1
принадлежит эстетике	1	1
имя и	1	1
у классиков	1	1
может мыслиться	1	1
пути в	4	8
из творческого	1	1
едва ли	3	4
самом деле	3	1
и неотрадиционализма	1	1
жизнь как	2	2
самом начале	1	1
то же	9	12
характеристикой доверие	1	1
в твоей	1	2
соцреалистический текст	1	1
коллективного сознания	1	2
собственного я	2	1
суматоха перемен	1	1
свое собственное	1	1
причастности к	6	4
хх столетия	3	1
разумеется не	3	2
позиция эстетического	1	1
например не	1	1
коммуникативного события	5	2
присутствия в	6	2
сознания как	1	1
сделать их	1	1
ищет именно	1	1
но мы	1	1
им как	1	1
иосифа бродского	1	1
актуализация виртуального	1	1
и еще	1	2
на горло	1	1
в эстетической	2	1
революции и	1	1
д андреев	2	3
к этой	1	2
лирический герой	5	10
или стихотворение	1	1
возрождения проблема	1	1
себе как	1	1
художественной системы	1	2
один из	2	4
в действительности	1	1
в обществе	1	1
отношения к	3	1
с точки	3	3
к самодвижению	1	1
я в	7	7
не надо	2	2
руки и	1	1
не монолог	1	1
памяти жанра	1	1
единстве жизни	2	1
в итоге	1	1
но в	3	2
в контексте	1	1
д андреева	1	2
не имеет	1	1
кличку сменять	1	1
артистического призвания	1	1
своего рода	10	13
к ролевой	1	1
жизнь и	1	1
тем не	1	2
круг лиц	1	1
конца века	1	1
к цели	1	1
художником право	1	1
на свете	2	2
в другом	6	3
всякого частного	1	1
автора и	2	1
парк победы	1	1
для него	2	4
ахматовой в	1	1
свою очередь	1	1
по выражению	1	1
найдя другого	1	1
художника к	2	1
будущем следующий	1	1
со всей	2	1
хх века	11	8
другого не	1	1
начале х	3	1
не с	2	3
в тексте	4	1
связанному с	1	1
не берет	1	1
ничего общего	1	1
особое место	2	1
свобода и	1	1
такова что	1	1
ранний маяковский	1	1
чего и	1	1
деклассированной революционной	1	1
зависимость от	1	2
о которой	2	2
право на	2	3
художественное творчество	2	1
мыслит себя	1	1
индивидуалом и	1	1
сочетании с	1	1
хотя мандельштаму	1	1
на другого	1	1
авторитарному модусу	1	1
для кого	1	2
еще и	2	1
в последнем	1	1
мы с	2	3
давид самойлов	1	1
большого времени	1	1
и от	1	1
из того	2	2
усматривал в	1	1
хх веке	3	4
частностями артистического	1	1
в одном	4	2
от адресата	1	1
ахматовой и	1	1
той же	3	2
от себя	2	1
образа пути	1	1
диктата со	1	1
же личную	1	1
отражения в	1	1
в начале	4	3
субъекта но	1	1
стих не	1	1
долю которых	1	1
не возможности	1	1
о работе	1	1
как правило	1	3
и напротив	2	1
страны не	1	1
у маяковского	2	2
и все	1	1
путь лирического	1	1
и о	1	1
жизни и	3	4
именно такой	1	1
к человеку	1	1
в них	1	2
для искусства	1	1
и кардинально	1	1
на страницах	2	1
отнюдь не	3	4
разговор писателя	1	1
в том	12	10
ср у	2	1
в школе	1	1
малое время	1	1
и т.п	6	10
сообща и	1	1
этом с	2	1
с позиции	1	1
эстетического дискурса	1	1
культурной политики	2	1
действительности же	1	1
талант до	1	1
как мы	2	1
заложник у	1	1
художественного дискурса	1	1
он один	1	1
в соцреалистической	1	6
и поэзии	1	1
однако отыскав	1	1
в цикле	1	1
характеристике и.п	1	1
в отношении	1	1
кем посоветоваться	1	1
и состоит	1	1
о бахтинской	1	1
есть не	1	1
путь тогда	1	1
на жизнь	2	2
здесь не	2	1
личную никого	1	1
классической художественности	1	2
доктора живаго	1	4
во главе	1	1
жизни мира	1	1
повествование о	1	1
[] не	1	2
со стороны	7	3
частность и	1	1
как он	1	2
одно из	4	2
позабыть свое	1	1
в соцреалистических	2	2
авангардное время	1	1
культуры в	1	1
жизни []	1	1
нет ничего	1	1
к врагу	1	1
открывшуюся ему	1	1
заодно с	1	1
в своих	2	2
меня я	1	1
под диктовку	1	1
онтологической характеристикой	1	1
быть другим	1	2
не случайно	3	4
вот этот	1	1
индивидуальный талант	1	1
мастеров художественного	1	1
