3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram
в первом случае	3	3
что обществоведческие понятия	1	1
силу того что	1	5
экспериментально и теоретически	1	1
для того чтобы	18	8
в современной психологии	1	1
но с точки	2	1
исследование не могло	1	1
на то что	4	4
этой точки зрения	4	1
мы видим в	1	2
что иное как	1	1
и слово не	1	1
речи и следовательно	2	1
на самом деле	2	1
могли бы сказать	2	2
известные нам факты	1	1
не только не	9	2
как и в	3	1
в единую структуру	1	1
зависимости от этого	1	1
этом и заключается	1	1
от более элементарных	1	1
речи в этом	2	1
не иначе как	2	4
той или иной	1	1
что и в	1	1
мы могли бы	4	9
и связи с	1	1
в зависимости от	1	5
так что в	1	1
по своей психологической	3	1
так же точно	3	3
у ребенка развитие	1	1
в том и	3	1
в том что	13	19
и в своей	1	1
понятий сравнительно с	1	1
тем что оно	2	2
исследования едва ли	1	1
сравнению с устной	1	1
показывает что в	1	1
то что ребенок	1	6
так же как	7	6
по своему значению	2	1
отношение слова к	1	2
заключенного в нем	1	2
в отличие от	2	1
кроме того что	1	1
в себе ничего	2	2
отношений между предметами	1	2
протяжении школьного возраста	1	1
всем протяжении школьного	1	1
только и могут	1	1
мы не смогли	1	1
том числе и	1	1
в соответствующей ситуации	1	1
в сотрудничестве и	1	3
в собственном смысле	3	1
каждой возрастной ступени	1	1
таким образом мы	1	2
с самого начала	7	7
в самом деле	4	1
связи между структурой	1	1
со взрослым в	1	1
умственного развития школьника	1	1
ключ к изучению	1	1
потому что его	1	1
в последнее время	2	2
с точки зрения	21	10
в целом однако	1	1
мы не можем	3	1
в этом смысле	1	2
там где мы	1	1
после того как	1	1
в силу этого	1	1
неизбежно приводит к	2	1
лежащие в основе	1	1
что если бы	1	1
но не может	1	1
не совпадает с	3	1
по тем же	1	1
в ряду других	1	1
опыты показали что	1	1
мы приходим в	1	1
что в момент	1	1
заключается в том	4	5
в свете этого	1	1
в развитии мышления	2	1
необъяснимым с точки	1	1
в огромной степени	1	1
не удивительно поэтому	1	1
оба эти вопроса	1	2
нет и не	2	1
не только в	1	1
данные думается нам	1	1
так как эта	1	1
естественно ожидать что	1	1
высших психических функций	1	2
если мы примем	1	1
фазической и семантической	1	1
в детском возрасте	1	1
как раз и	1	1
никак не может	1	1
скажем только что	1	2
остается еще сказать	1	1
благодаря этому возникает	1	1
было вызвано тем	1	1
тот факт что	1	1
самого себя это	1	1
тем обстоятельством что	1	1
того что он	1	2
то о чем	4	1
в одной и	1	2
же как и	2	1
видим в том	1	1
развития научных понятий	2	5
в нашем примере	1	2
точки зрения есть	1	1
в свою очередь	2	1
по мере роста	1	1
с функциональной стороны	1	1
по отношению к	5	10
с другой стороны	1	2
грамматических форм и	1	1
есть в этом	1	1
и обратно в	1	1
станет ясно что	1	1
и том же	1	2
поэтому мы и	1	1
есть не что	1	1
и во всех	1	1
вместо того чтобы	1	2
бы сказать что	2	2
заключается только в	1	2
точно так же	2	1
друг к другу	1	3
по аналогии с	1	1
отношений и зависимостей	1	1
и той же	2	3
сравнительно с житейскими	1	1
научных понятий наконец	1	1
том что в	2	1
не содержат в	2	1
имеет место на	1	1
о связи между	1	1
таким образом оказывается	1	1
каждой ступени развития	1	3
то новое что	1	1
мы вправе рассматривать	1	1
подобно тому как	1	1
в самом начале	3	4
на первых порах	1	2
в своей спонтанной	1	1
звуковой формой слова	1	1
между ними существует	1	1
внимание на то	1	1
