4gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_4gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_4gram
мы имеем дело уже	1	1
повести покойного ивана петровича	3	1
одного и того же	3	2
покойного ивана петровича белкина	4	1
мы имеем дело с	1	3
кто говорит и как	1	1
представляет собой один из	1	1
есть не что иное	1	3
ивана петровича белкина изданные	3	1
присутствия я в мире	2	1
то же время они	1	1
как предмет научной идентификации	1	1
старик в колпаке и	1	1
из евангелия от луки	1	1
состоит лишь в том	1	1
мысль о том что	1	1
был мертв и ожил	1	1
говорит и как говорит	1	1
не что иное как	1	4
и мешок с деньгами	1	1
в той или иной	1	3
лишь в том что	1	1
идентификации повести покойного ивана	1	1
случае мы имеем дело	1	1
но в таком случае	1	1
одной и той же	2	1
петровича белкина изданные а.п	3	1
не говоря уже о	1	1
в колпаке и шлафорке	1	1
самого произведения в его	1	1
в то же время	3	6
один и тот же	1	1
научной идентификации повести покойного	1	1
предмет научной идентификации повести	1	1
почтенный старик в колпаке	1	1
благословение и мешок с	1	1
принимает на себя конструктивную	1	1
в том что он	2	2
