4gram	Losev_DialektikaMifa_partition_part3_wordlist_4gram	Losev_DialektikaMifa_partition_part1_wordlist_4gram
раз и показывает что	1	1
не есть ни в	1	1
и – больше ничего	1	1
когда мы говорим что	1	1
есть не что иное	1	3
и т д на	1	1
в то время как	1	4
если иметь в виду	2	2
не имеет никакого отношения	1	1
и в то же	2	1
ровно ничего не говорит	2	1
в этом его полная	1	1
ни в коем случае	1	3
что это значит? это	1	2
и т д и	2	6
и тем не менее	1	2
или по крайней мере	2	1
и есть то что	1	1
значит что он –	2	1
миф сам по себе	2	2
д и т д	2	5
не значит что для	1	1
как раз и показывает	1	1
это и значит что	1	1
уже по одному тому	1	2
что в мифе нет	1	1
не что иное как	1	6
в коем случае не	1	3
стать на точку зрения	1	1
вовсе не есть ни	1	1
с одной стороны и	2	1
ни того ни другого	1	1
итак миф не есть	1	2
то это значит что	1	3
есть ни в каком	1	1
коем случае не есть	1	2
одной и той же	1	1
это значит что он	3	4
ни на что не	2	1
с точки зрения самого	2	1
это значит что в	2	1
это не значит что	1	1
т д и т	2	5
в связи с этим	1	1
одно и то же	4	2
в то же время	4	1
по крайней мере в	1	3
это значит? это значит	1	2
убежден в том что	1	1
одна и та же	2	1
никто никогда не воспринимает	1	1
точки зрения самого же	1	1
ни в каком смысле	1	3
жизнь со всеми ее	1	1
с той или иной	1	1
по себе и как	1	1
вещи что же теперь	1	1
по одному тому что	1	2
сам по себе и	1	1
это значит что мы	1	3
значит? это значит что	1	2
