4gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_4gram
заключается в том что	1	2
когда мы говорим что	2	1
сих пор мы рассматривали	1	1
в себе закон для	1	1
то же самое время	4	4
единое и нераздельное целое	1	1
есть нечто более общее	1	1
о самом акте обозначения	1	1
д и т д	2	4
указанные у нас выше	1	1
не обязательна и не	1	1
петра i в полтаве	1	1
а не что-нибудь другое	1	1
мы уже видели что	1	1
смысле слова мы должны	1	1
уже по одному тому	1	1
не что иное как	2	4
символа и если мы	1	1
вовсе не есть ни	1	1
на самом же деле	1	4
указывает на нечто иное	1	1
ни в каком случае	3	2
для нее вовсе не	1	1
что всякий символ обязательно	2	1
нужно сказать и о	2	1
одно и то же	1	3
уже во всяком случае	1	1
не имеют никакого отношения	1	2
мы хорошо знаем что	1	1
но уже во всяком	1	1
по одному тому что	1	1
мы должны сказать что	1	2
хотя символ здесь и	1	1
в понятии символа мы	1	1
же самое нужно сказать	2	1
одного и того же	2	1
в том что всякий	1	1
точно так же и	2	1
есть не что иное	2	4
в то время как	1	4
по себе может быть	1	1
то что вовсе не	1	1
т д все это	1	1
и т д и	4	4
мы до сих пор	1	1
не чем иным как	1	1
даже и в этом	1	1
и это вовсе не	1	2
действительности когда мы говорим	1	1
то более то менее	1	1
то это значит что	1	2
вовсе еще не есть	2	1
но отнюдь не всякий	1	1
еще и потому что	1	1
указывает на нечто такое	1	1
это не значит что	1	1
вовсе не есть символ	1	1
серп и молот не	1	1
взятые сами по себе	2	4
в таком случае не	1	1
одним и тем же	1	1
только то что символ	1	1
просто сам по себе	2	1
всякий символ есть обязательно	1	1
как мы видели выше	1	1
то есть в нем	1	2
xix и начала xx	2	1
до сих пор мы	2	1
что тут перед нами	1	1
что мы выше называли	1	1
сама по себе она	1	1
в каком случае не	2	1
они сливаются в одно	1	1
необходимо обратить внимание на	1	1
а может быть даже	1	1
он есть также и	1	1
если мы выше говорили	1	1
что бы то ни	1	1
же в таком случае	1	1
самом же деле это	1	1
здесь перед нами не	1	1
на нечто иное чем	1	1
так же как и	1	1
не имеет ничего общего	2	3
не имеют ничего общего	4	1
т д и т	3	4
мы выше говорили что	1	1
дело в том что	3	2
вовсе не являются только	2	1
может быть даже и	2	1
имеют никакого отношения к	1	2
но все дело в	1	1
взятый сам по себе	1	2
которое мы находим в	1	1
к тому или иному	1	1
и т д все	1	1
ничего символического в себе	3	1
они вовсе не являются	1	1
все дело в том	1	1
и тем не менее	8	3
или по крайней мере	1	4
не только то что	1	1
то же самое нужно	2	1
ничего общего с тем	2	2
самое нужно сказать и	2	1
он уже перестанет быть	1	1
в себе не содержат	1	1
символического в себе не	3	1
в то же самое	4	4
он есть принцип конструирования	1	1
ни к каким другим	1	1
если же мы возьмем	1	1
символа которое мы находим	1	1
имеет ничего общего с	1	1
бы то ни стало	1	1
во что бы то	1	1
имеют ничего общего с	1	1
содержит в себе закон	1	1
самом акте обозначения который	1	1
конца xix и начала	2	1
себе закон для получения	1	1
